concept_id,concept_name,keep_entry_in_codeset,comments,condition_count,patient_count,standard_concept,invalid_reason,concept_code,vocabulary_id,concept_class_id,domain_id
1551193,prednisone 1 MG/ML Oral Solution,TRUE,,,,S,,315187,RxNorm,Clinical Drug,Drug
1551195,prednisone 2.5 MG,TRUE,,,,S,,316581,RxNorm,Clinical Drug Comp,Drug
1551196,prednisone 20 MG,TRUE,,,,S,,316582,RxNorm,Clinical Drug Comp,Drug
1551197,prednisone 25 MG,TRUE,,,,S,,316583,RxNorm,Clinical Drug Comp,Drug
1551198,prednisone 5 MG,TRUE,,20,20,S,,316584,RxNorm,Clinical Drug Comp,Drug
1551199,prednisone 5 MG/ML,TRUE,,,,S,,316585,RxNorm,Clinical Drug Comp,Drug
1551200,prednisone 50 MG,TRUE,,,,S,,316586,RxNorm,Clinical Drug Comp,Drug
1551201,prednisone 1 MG,TRUE,,20,20,S,,317475,RxNorm,Clinical Drug Comp,Drug
1551232,prednisone 10 MG,TRUE,,,,S,,317663,RxNorm,Clinical Drug Comp,Drug
1551233,prednisone 2 MG,TRUE,,20,20,S,,335473,RxNorm,Clinical Drug Comp,Drug
1551234,prednisone 5 MG Oral Tablet [Prednicot],TRUE,,,,S,,351399,RxNorm,Branded Drug,Drug
19078115,prednisone 5 MG [Prednicen-M],TRUE,,,,S,,567757,RxNorm,Branded Drug Comp,Drug
19080181,methylprednisolone 62.5 MG/ML Injectable Solution,TRUE,,,,S,,314099,RxNorm,Clinical Drug,Drug
19081625,prednisone 5 MG [Sterapred],TRUE,,,,S,,567758,RxNorm,Branded Drug Comp,Drug
19081627,prednisone 10 MG [Sterapred DS],TRUE,,,,S,,567786,RxNorm,Branded Drug Comp,Drug
19081860,prednisone 1 MG/ML,TRUE,,,,S,,316580,RxNorm,Clinical Drug Comp,Drug
19084229,methylprednisolone 40 MG,TRUE,,20,20,S,,330037,RxNorm,Clinical Drug Comp,Drug
19087427,prednisone 1 MG/ML [Liquid Pred],TRUE,,,,S,,539946,RxNorm,Branded Drug Comp,Drug
19087429,prednisone 1 MG [Meticorten],TRUE,,,,S,,567565,RxNorm,Branded Drug Comp,Drug
19087451,prednisone 1 MG [Orasone],TRUE,,,,S,,567566,RxNorm,Branded Drug Comp,Drug
19087452,prednisone 5 MG [Orasone],TRUE,,,,S,,567756,RxNorm,Branded Drug Comp,Drug
19087453,prednisone 10 MG [Orasone],TRUE,,,,S,,567785,RxNorm,Branded Drug Comp,Drug
19087454,prednisone 20 MG [Orasone],TRUE,,,,S,,567794,RxNorm,Branded Drug Comp,Drug
19087455,prednisone 50 MG [Orasone],TRUE,,,,S,,567842,RxNorm,Branded Drug Comp,Drug
19089061,prednisone 2.5 MG [Deltasone],TRUE,,,,S,,567645,RxNorm,Branded Drug Comp,Drug
19089062,prednisone 5 MG [Deltasone],TRUE,,,,S,,567755,RxNorm,Branded Drug Comp,Drug
19089063,prednisone 10 MG [Deltasone],TRUE,,,,S,,567784,RxNorm,Branded Drug Comp,Drug
19089064,prednisone 20 MG [Deltasone],TRUE,,,,S,,567793,RxNorm,Branded Drug Comp,Drug
19089065,prednisone 50 MG [Deltasone],TRUE,,,,S,,567841,RxNorm,Branded Drug Comp,Drug
19090523,meprednisone 4 MG/ML,TRUE,,,,S,,334021,RxNorm,Clinical Drug Comp,Drug
19090524,meprednisone 4 MG,TRUE,,,,S,,334022,RxNorm,Clinical Drug Comp,Drug
19090525,meprednisone 40 MG,TRUE,,,,S,,334023,RxNorm,Clinical Drug Comp,Drug
19090526,meprednisone 8 MG,TRUE,,,,S,,334024,RxNorm,Clinical Drug Comp,Drug
19090623,methylprednisolone 1.5 MG,TRUE,,,,S,,334064,RxNorm,Clinical Drug Comp,Drug
19093831,methylprednisolone 1 MG/ML,TRUE,,,,S,,340167,RxNorm,Clinical Drug Comp,Drug
19098197,prednisone 10 MG Oral Tablet [Prednicot],TRUE,,,,S,,351400,RxNorm,Branded Drug,Drug
19098198,prednisone 20 MG Oral Tablet [Prednicot],TRUE,,,,S,,351401,RxNorm,Branded Drug,Drug
19099970,methylprednisolone 50 MG/ML,TRUE,,,,S,,360536,RxNorm,Clinical Drug Comp,Drug
19104623,methylprednisolone 20 MG/ML Injectable Solution,TRUE,,,,S,,415817,RxNorm,Clinical Drug,Drug
19104629,methylprednisolone 5 MG/ML Injectable Solution,TRUE,,,,S,,415856,RxNorm,Clinical Drug,Drug
19104630,methylprednisolone 10 MG/ML Injectable Solution,TRUE,,,,S,,415857,RxNorm,Clinical Drug,Drug
19105235,chloramphenicol 0.002 MG/MG / prednisone 0.005 MG/MG Topical Ointment,FALSE,delete,,,S,,418863,RxNorm,Clinical Drug,Drug
19105412,piroxicam 10 MG / prednisone 2 MG Rectal Suppository,FALSE,delete,,,S,,420639,RxNorm,Clinical Drug,Drug
19105447,prednisone 5 MG Rectal Suppository,FALSE,delete,,,S,,420771,RxNorm,Clinical Drug,Drug
19105448,prednisone 30 MG Rectal Suppository,FALSE,delete,,,S,,420772,RxNorm,Clinical Drug,Drug
19105449,prednisone 100 MG Rectal Suppository,FALSE,delete,,,S,,420773,RxNorm,Clinical Drug,Drug
19007004,methylprednisolone 50 MG/ML Injectable Solution,TRUE,,,,S,,105404,RxNorm,Clinical Drug,Drug
19007010,prednisone 5 MG Oral Tablet [Decortisyl],TRUE,,,,S,,105412,RxNorm,Branded Drug,Drug
19009116,meprednisone,TRUE,,,,S,,29523,RxNorm,Ingredient,Drug
19009117,meprednisone 8 MG Oral Tablet,TRUE,,,,S,,248682,RxNorm,Clinical Drug,Drug
19009119,meprednisone 4 MG Oral Tablet,TRUE,,,,S,,248725,RxNorm,Clinical Drug,Drug
19009120,meprednisone 4 MG/ML Oral Solution,TRUE,,,,S,,248794,RxNorm,Clinical Drug,Drug
19019158,methylprednisolone 24 MG Oral Tablet,TRUE,,,,S,,197970,RxNorm,Clinical Drug,Drug
19024533,prednisone 1 MG Oral Tablet [Econosone],TRUE,,,,S,,201082,RxNorm,Branded Drug,Drug
19024534,prednisone 5 MG Oral Tablet [Econosone],TRUE,,,,S,,201083,RxNorm,Branded Drug,Drug
19028933,prednisone 5 MG/ML Oral Solution,TRUE,,,,S,,205301,RxNorm,Clinical Drug,Drug
19031623,prednisone 1 MG/ML Oral Solution [Liquid Pred],TRUE,,,,S,,206199,RxNorm,Branded Drug,Drug
19033379,prednisone 1 MG Oral Tablet [Meticorten],TRUE,,,,S,,206754,RxNorm,Branded Drug,Drug
19033380,prednisone 1 MG Oral Tablet [Orasone],TRUE,,,,S,,206755,RxNorm,Branded Drug,Drug
19033622,prednisone 2.5 MG Oral Tablet [Deltasone],TRUE,,,,S,,206837,RxNorm,Branded Drug,Drug
19034011,prednisone 5 MG Oral Tablet [Deltasone],TRUE,,,,S,,206954,RxNorm,Branded Drug,Drug
19034012,prednisone 5 MG Oral Tablet [Orasone],TRUE,,,,S,,206955,RxNorm,Branded Drug,Drug
19034013,prednisone 5 MG Oral Tablet [Prednicen-M],TRUE,,,,S,,206956,RxNorm,Branded Drug,Drug
19034014,prednisone 5 MG Oral Tablet [Sterapred],TRUE,,,,S,,206957,RxNorm,Branded Drug,Drug
19034196,prednisone 10 MG [Prednicot],TRUE,,,,S,,575331,RxNorm,Branded Drug Comp,Drug
19034197,prednisone 20 MG [Prednicot],TRUE,,,,S,,575332,RxNorm,Branded Drug Comp,Drug
19034203,prednisone 10 MG Oral Tablet [Deltasone],TRUE,,,,S,,206988,RxNorm,Branded Drug,Drug
19034204,prednisone 10 MG Oral Tablet [Orasone],TRUE,,,,S,,206989,RxNorm,Branded Drug,Drug
19034205,prednisone 10 MG Oral Tablet [Sterapred DS],TRUE,,,,S,,206990,RxNorm,Branded Drug,Drug
19034231,prednisone 20 MG Oral Tablet [Deltasone],TRUE,,,,S,,206997,RxNorm,Branded Drug,Drug
19034232,prednisone 20 MG Oral Tablet [Orasone],TRUE,,,,S,,206998,RxNorm,Branded Drug,Drug
19034327,prednisone 50 MG Oral Tablet [Deltasone],TRUE,,,,S,,207048,RxNorm,Branded Drug,Drug
19034328,prednisone 50 MG Oral Tablet [Orasone],TRUE,,,,S,,207049,RxNorm,Branded Drug,Drug
19034645,methylprednisolone 2 MG Oral Tablet [Medrol],TRUE,,1484,426,S,,207136,RxNorm,Branded Drug,Drug
19034646,methylprednisolone 8 MG Oral Tablet [Medrol],TRUE,,,,S,,207137,RxNorm,Branded Drug,Drug
19034647,methylprednisolone 16 MG Oral Tablet [Medrol],TRUE,,5591,1671,S,,207138,RxNorm,Branded Drug,Drug
19034648,methylprednisolone 24 MG Oral Tablet [Medrol],TRUE,,,,S,,207139,RxNorm,Branded Drug,Drug
19034650,methylprednisolone 32 MG Oral Tablet [Medrol],TRUE,,,,S,,207141,RxNorm,Branded Drug,Drug
19034804,methylprednisolone 40 MG Injection [A-MethaPred],TRUE,,125234,16372,S,,207190,RxNorm,Branded Drug,Drug
19034805,methylprednisolone 40 MG Injection [Solu-Medrol],TRUE,,256982,35730,S,,207191,RxNorm,Branded Drug,Drug
19034806,methylprednisolone 125 MG Injection [A-MethaPred],TRUE,,187122,33158,S,,207192,RxNorm,Branded Drug,Drug
19034807,methylprednisolone 62.5 MG/ML Injectable Solution [Solu-Medrol],TRUE,,,,S,,207193,RxNorm,Branded Drug,Drug
19043507,methylprednisolone 2 MG [Medrol],TRUE,,,,S,,567927,RxNorm,Branded Drug Comp,Drug
19043508,methylprednisolone 8 MG [Medrol],TRUE,,,,S,,567928,RxNorm,Branded Drug Comp,Drug
19043509,methylprednisolone 16 MG [Medrol],TRUE,,,,S,,567929,RxNorm,Branded Drug Comp,Drug
19043531,methylprednisolone 32 MG [Medrol],TRUE,,,,S,,567932,RxNorm,Branded Drug Comp,Drug
19043532,methylprednisolone 4 MG [Medrol],TRUE,,,,S,,574125,RxNorm,Branded Drug Comp,Drug
19048394,methylprednisolone 62.5 MG/ML [Solu-Medrol],TRUE,,,,S,,567984,RxNorm,Branded Drug Comp,Drug
19060038,methylprednisolone 1 MG/ML Ophthalmic Solution,FALSE,delete,,,S,,246024,RxNorm,Clinical Drug,Drug
19061425,meprednisone 40 MG Oral Tablet,TRUE,,,,S,,248702,RxNorm,Clinical Drug,Drug
19064110,piroxicam 10 MG / prednisone 2 MG Delayed Release Oral Tablet,TRUE,,,,S,,250996,RxNorm,Clinical Drug,Drug
19067555,methylprednisolone 4 MG Oral Tablet [Medrol],TRUE,,19320,3875,S,,260330,RxNorm,Branded Drug,Drug
19129398,{21 (methylprednisolone 4 MG Oral Tablet) } Pack,TRUE,,526482,199326,S,,762675,RxNorm,Clinical Pack,Drug
19129511,{48 (prednisone 5 MG Oral Tablet) } Pack,TRUE,,,,S,,763179,RxNorm,Clinical Pack,Drug
19129512,{21 (prednisone 5 MG Oral Tablet) } Pack,TRUE,,,,S,,763181,RxNorm,Clinical Pack,Drug
19129513,{48 (prednisone 10 MG Oral Tablet) } Pack,TRUE,,,,S,,763183,RxNorm,Clinical Pack,Drug
19129514,{21 (prednisone 10 MG Oral Tablet) } Pack,TRUE,,,,S,,763185,RxNorm,Clinical Pack,Drug
19130164,{12 (prednisone 5 MG Oral Tablet) } Pack,TRUE,,,,S,,795854,RxNorm,Clinical Pack,Drug
19130165,{12 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred Uni-Pak 12 Day],TRUE,,,,S,,795855,RxNorm,Branded Pack,Drug
19130166,{6 (prednisone 5 MG Oral Tablet) } Pack,TRUE,,,,S,,795856,RxNorm,Clinical Pack,Drug
19130167,{6 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred Uni-Pak 6 Day],TRUE,,,,S,,795857,RxNorm,Branded Pack,Drug
19130170,{6 (prednisone 10 MG Oral Tablet) } Pack,TRUE,,,,S,,795860,RxNorm,Clinical Pack,Drug
19130171,{6 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS Uni-Pak 6 Day],TRUE,,,,S,,795861,RxNorm,Branded Pack,Drug
19131653,{14 (methylprednisolone 16 MG Oral Tablet) } Pack,TRUE,,20,20,S,,804173,RxNorm,Clinical Pack,Drug
19133854,{21 (methylprednisolone 4 MG Oral Tablet [Medrol]) } Pack [Medrol Dosepak],TRUE,,68891,46767,S,,834023,RxNorm,Branded Pack,Drug
19133985,{25 (prednisone 10 MG Oral Tablet) } Pack,TRUE,,,,S,,834395,RxNorm,Clinical Pack,Drug
19135072,{48 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred 5 MG 12 Day Uni-Pak],TRUE,,,,S,,845491,RxNorm,Branded Pack,Drug
19135073,{21 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred 5 MG Uni-Pak],TRUE,,,,S,,845492,RxNorm,Branded Pack,Drug
19135074,{48 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS 12 Day Uni-Pak],TRUE,,,,S,,845493,RxNorm,Branded Pack,Drug
19135075,{21 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS Uni-Pak],TRUE,,,,S,,845494,RxNorm,Branded Pack,Drug
35606531,methylprednisolone 125 MG,TRUE,,20,20,S,,1743702,RxNorm,Clinical Drug Comp,Drug
19105450,prednisone 10 MG Rectal Suppository,FALSE,delete,,,S,,420774,RxNorm,Clinical Drug,Drug
19106650,methylprednisolone 40 MG Oral Tablet,TRUE,,,,S,,429197,RxNorm,Clinical Drug,Drug
19106693,prednisone 8 MG Oral Tablet,TRUE,,,,S,,429331,RxNorm,Clinical Drug,Drug
19106694,prednisone 40 MG Oral Tablet,TRUE,,,,S,,429332,RxNorm,Clinical Drug,Drug
19109240,prednisone 0.005 MG/MG,FALSE,delete,,,S,,438434,RxNorm,Clinical Drug Comp,Drug
19110847,methylprednisolone 10 MG/ML,TRUE,,,,S,,446407,RxNorm,Clinical Drug Comp,Drug
19110848,methylprednisolone 5 MG/ML,TRUE,,,,S,,446408,RxNorm,Clinical Drug Comp,Drug
19111642,prednisone 100 MG,TRUE,,,,S,,451141,RxNorm,Clinical Drug Comp,Drug
19111643,prednisone 30 MG,TRUE,,,,S,,451143,RxNorm,Clinical Drug Comp,Drug
19111644,prednisone 40 MG,TRUE,,,,S,,451144,RxNorm,Clinical Drug Comp,Drug
19111647,prednisone 8 MG,TRUE,,,,S,,451147,RxNorm,Clinical Drug Comp,Drug
19113790,prednisone 10 MG [Predone],TRUE,,,,S,,541813,RxNorm,Branded Drug Comp,Drug
19113791,prednisone 10 MG Oral Tablet [Predone],TRUE,,,,S,,541815,RxNorm,Branded Drug,Drug
19113805,prednisone 20 MG [Predone],TRUE,,,,S,,541871,RxNorm,Branded Drug Comp,Drug
19113806,prednisone 20 MG Oral Tablet [Predone],TRUE,,,,S,,541872,RxNorm,Branded Drug,Drug
19116164,prednisone 5 MG [Decortisyl],TRUE,,,,S,,564054,RxNorm,Branded Drug Comp,Drug
19117427,prednisone 1 MG [Econosone],TRUE,,,,S,,565678,RxNorm,Branded Drug Comp,Drug
19117428,prednisone 5 MG [Econosone],TRUE,,,,S,,565679,RxNorm,Branded Drug Comp,Drug
19118280,methylprednisolone 24 MG [Medrol],TRUE,,,,S,,567930,RxNorm,Branded Drug Comp,Drug
19120864,prednisone 5 MG [Prednicot],TRUE,,,,S,,575330,RxNorm,Branded Drug Comp,Drug
19121837,prednisone 5 MG/ML [Prednisone Intensol],TRUE,,,,S,,582601,RxNorm,Branded Drug Comp,Drug
19121838,prednisone 5 MG/ML Oral Solution [Prednisone Intensol],TRUE,,,,S,,582603,RxNorm,Branded Drug,Drug
19127696,prednisone 10 MG Oral Capsule,TRUE,,,,S,,746380,RxNorm,Clinical Drug,Drug
19127774,prednisone 20 MG Oral Capsule,TRUE,,,,S,,746836,RxNorm,Clinical Drug,Drug
19127775,prednisone 5 MG Oral Capsule,TRUE,,,,S,,746837,RxNorm,Clinical Drug,Drug
40055571,meprednisone Oral Solution,TRUE,,,,S,,372772,RxNorm,Clinical Drug Form,Drug
40055572,meprednisone Oral Tablet,TRUE,,,,S,,372773,RxNorm,Clinical Drug Form,Drug
40060699,methylprednisolone Enema,FALSE,delete,,,S,,372865,RxNorm,Clinical Drug Form,Drug
40060701,methylprednisolone Injectable Solution,TRUE,,,,S,,376656,RxNorm,Clinical Drug Form,Drug
40060704,methylprednisolone Injectable Solution [Solu-Medrol],TRUE,,,,S,,362772,RxNorm,Branded Drug Form,Drug
40060705,methylprednisolone Injectable Suspension,TRUE,,,,S,,372866,RxNorm,Clinical Drug Form,Drug
40060710,methylprednisolone Injectable Suspension [Depo-Medrol],TRUE,,,,S,,365570,RxNorm,Branded Drug Form,Drug
40060727,methylprednisolone Ophthalmic Solution,FALSE,delete,,,S,,372867,RxNorm,Clinical Drug Form,Drug
40060728,methylprednisolone Oral Tablet,TRUE,,20,20,S,,372868,RxNorm,Clinical Drug Form,Drug
40060730,methylprednisolone Oral Tablet [Medrol],TRUE,,,,S,,368772,RxNorm,Branded Drug Form,Drug
40060734,methylprednisolone Topical Cream,FALSE,delete,,,S,,377758,RxNorm,Clinical Drug Form,Drug
40060736,methylprednisolone Topical Ointment,FALSE,delete,,,S,,372863,RxNorm,Clinical Drug Form,Drug
40066583,methylprednisolone / neomycin Topical Cream,FALSE,delete,,,S,,376403,RxNorm,Clinical Drug Form,Drug
40066585,methylprednisolone / neomycin Topical Ointment,FALSE,delete,,,S,,376326,RxNorm,Clinical Drug Form,Drug
40073529,prednisone Oral Solution,TRUE,,,,S,,373583,RxNorm,Clinical Drug Form,Drug
40073530,prednisone Oral Solution [Liquid Pred],TRUE,,,,S,,364008,RxNorm,Branded Drug Form,Drug
40073531,prednisone Oral Tablet,TRUE,,,,S,,373585,RxNorm,Clinical Drug Form,Drug
40073532,prednisone Oral Tablet [Decortisyl],TRUE,,,,S,,380828,RxNorm,Branded Drug Form,Drug
40073533,prednisone Oral Tablet [Deltasone],TRUE,,,,S,,92354,RxNorm,Branded Drug Form,Drug
40073806,prednisone Oral Tablet [Econosone],TRUE,,,,S,,380827,RxNorm,Branded Drug Form,Drug
40073807,prednisone Oral Tablet [Meticorten],TRUE,,,,S,,368867,RxNorm,Branded Drug Form,Drug
40073808,prednisone Oral Tablet [Orasone],TRUE,,,,S,,368790,RxNorm,Branded Drug Form,Drug
40073809,prednisone Oral Tablet [Prednicen-M],TRUE,,,,S,,368813,RxNorm,Branded Drug Form,Drug
40073810,prednisone Oral Tablet [Prednicot],TRUE,,,,S,,368654,RxNorm,Branded Drug Form,Drug
40073811,prednisone Oral Tablet [Sterapred DS],TRUE,,,,S,,368806,RxNorm,Branded Drug Form,Drug
40073812,prednisone Oral Tablet [Sterapred],TRUE,,,,S,,368812,RxNorm,Branded Drug Form,Drug
40073813,prednisone Rectal Suppository,FALSE,delete,,,S,,451142,RxNorm,Clinical Drug Form,Drug
40077886,piroxicam / prednisone Delayed Release Oral Tablet,TRUE,,,,S,,373495,RxNorm,Clinical Drug Form,Drug
40077887,piroxicam / prednisone Oral Tablet,TRUE,,,,S,,376283,RxNorm,Clinical Drug Form,Drug
40077888,piroxicam / prednisone Rectal Suppository,FALSE,delete,,,S,,450881,RxNorm,Clinical Drug Form,Drug
40119172,prednisone Oral Tablet [Predone],TRUE,,,,S,,541814,RxNorm,Branded Drug Form,Drug
40127030,prednisone Oral Solution [Prednisone Intensol],TRUE,,,,S,,582602,RxNorm,Branded Drug Form,Drug
40143531,prednisone Oral Capsule,TRUE,,,,S,,746379,RxNorm,Clinical Drug Form,Drug
42873418,prednisone Delayed Release Oral Tablet,TRUE,,20,20,S,,1303124,RxNorm,Clinical Drug Form,Drug
42873420,prednisone 1 MG [Rayos],TRUE,,,,S,,1303127,RxNorm,Branded Drug Comp,Drug
42873421,prednisone Delayed Release Oral Tablet [Rayos],TRUE,,,,S,,1303128,RxNorm,Branded Drug Form,Drug
42873422,prednisone 2 MG [Rayos],TRUE,,,,S,,1303133,RxNorm,Branded Drug Comp,Drug
42873423,prednisone 5 MG [Rayos],TRUE,,,,S,,1303136,RxNorm,Branded Drug Comp,Drug
42873627,prednisone 1 MG Delayed Release Oral Tablet,TRUE,,416181,31249,S,,1303125,RxNorm,Clinical Drug,Drug
42873628,prednisone 1 MG Delayed Release Oral Tablet [Rayos],TRUE,,96,49,S,,1303131,RxNorm,Branded Drug,Drug
42873629,prednisone 2 MG Delayed Release Oral Tablet,TRUE,,323,188,S,,1303132,RxNorm,Clinical Drug,Drug
42873630,prednisone 2 MG Delayed Release Oral Tablet [Rayos],TRUE,,239,102,S,,1303134,RxNorm,Branded Drug,Drug
42873631,prednisone 5 MG Delayed Release Oral Tablet,TRUE,,2855575,122617,S,,1303135,RxNorm,Clinical Drug,Drug
42873632,prednisone 5 MG Delayed Release Oral Tablet [Rayos],TRUE,,744,334,S,,1303137,RxNorm,Branded Drug,Drug
35606532,methylprednisolone Injection,TRUE,,99078,37776,S,,1743703,RxNorm,Clinical Drug Form,Drug
35606533,methylprednisolone 125 MG Injection,TRUE,,398373,99371,S,,1743704,RxNorm,Clinical Drug,Drug
35606534,methylprednisolone 125 MG [Solu-Medrol],TRUE,,,,S,,1743705,RxNorm,Branded Drug Comp,Drug
35606535,methylprednisolone Injection [Solu-Medrol],TRUE,,,,S,,1743706,RxNorm,Branded Drug Form,Drug
35606536,methylprednisolone 125 MG Injection [Solu-Medrol],TRUE,,246727,68099,S,,1743707,RxNorm,Branded Drug,Drug
35606537,methylprednisolone 500 MG,TRUE,,20,20,S,,1743719,RxNorm,Clinical Drug Comp,Drug
35606538,methylprednisolone 500 MG Injection,TRUE,,10609,4621,S,,1743720,RxNorm,Clinical Drug,Drug
35606539,methylprednisolone 500 MG [Solu-Medrol],TRUE,,,,S,,1743721,RxNorm,Branded Drug Comp,Drug
35606540,methylprednisolone 500 MG Injection [Solu-Medrol],TRUE,,4883,1716,S,,1743722,RxNorm,Branded Drug,Drug
35606541,methylprednisolone 1000 MG,TRUE,,20,20,S,,1743725,RxNorm,Clinical Drug Comp,Drug
35606542,methylprednisolone 1000 MG Injection,TRUE,,3259,1309,S,,1743726,RxNorm,Clinical Drug,Drug
35606543,methylprednisolone 1000 MG [Solu-Medrol],TRUE,,,,S,,1743727,RxNorm,Branded Drug Comp,Drug
35606544,methylprednisolone 1000 MG Injection [Solu-Medrol],TRUE,,3254,955,S,,1743729,RxNorm,Branded Drug,Drug
35606545,1 ML methylprednisolone acetate 40 MG/ML Injection,TRUE,,87545,23791,S,,1743779,RxNorm,Quant Clinical Drug,Drug
35606546,methylprednisolone Injection [Depo-Medrol],TRUE,,,,S,,1743780,RxNorm,Branded Drug Form,Drug
35606547,1 ML methylprednisolone acetate 40 MG/ML Injection [Depo-Medrol],TRUE,,43052,22513,S,,1743781,RxNorm,Quant Branded Drug,Drug
35606548,methylprednisolone acetate 40 MG/ML Injection,TRUE,,20,20,S,,1743782,RxNorm,Clinical Drug,Drug
35606549,methylprednisolone acetate 40 MG/ML Injection [Depo-Medrol],TRUE,,,,S,,1743783,RxNorm,Branded Drug,Drug
35606554,1 ML methylprednisolone acetate 80 MG/ML Injection,TRUE,,,,S,,1743855,RxNorm,Quant Clinical Drug,Drug
35606555,1 ML methylprednisolone acetate 80 MG/ML Injection [Depo-Medrol],TRUE,,,,S,,1743856,RxNorm,Quant Branded Drug,Drug
35606556,methylprednisolone acetate 80 MG/ML Injection,TRUE,,,,S,,1743857,RxNorm,Clinical Drug,Drug
35606557,methylprednisolone acetate 80 MG/ML Injection [Depo-Medrol],TRUE,,,,S,,1743858,RxNorm,Branded Drug,Drug
35606592,methylprednisolone 2000 MG,TRUE,,20,20,S,,1744013,RxNorm,Clinical Drug Comp,Drug
35606593,methylprednisolone 2000 MG [Solu-Medrol],TRUE,,,,S,,1744015,RxNorm,Branded Drug Comp,Drug
35606594,methylprednisolone 40 MG [Solu-Medrol],TRUE,,,,S,,1744018,RxNorm,Branded Drug Comp,Drug
35606595,methylprednisolone 40 MG [A-MethaPred],TRUE,,,,S,,1744020,RxNorm,Branded Drug Comp,Drug
35606596,methylprednisolone Injection [A-MethaPred],TRUE,,,,S,,1744021,RxNorm,Branded Drug Form,Drug
35606597,methylprednisolone 125 MG [A-MethaPred],TRUE,,,,S,,1744024,RxNorm,Branded Drug Comp,Drug
40012593,aspirin / methylprednisolone Oral Tablet,TRUE,,,,S,,372870,RxNorm,Clinical Drug Form,Drug
40022944,chloramphenicol / prednisone Topical Ointment,FALSE,delete,,,S,,438435,RxNorm,Clinical Drug Form,Drug
40239145,methylprednisolone acetate 0.01 MG/MG,FALSE,delete,,,S,,1100385,RxNorm,Clinical Drug Comp,Drug
