concept_name,concept_id,desired,comments,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id
Hydrocortisone 10 MG Oral Tablet Box of 100 by Sanofi,40854568,TRUE,,8/24/2017,,RxNorm Extension,OMOP2052530,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Sanofi,Drug
Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50 by Shire,40854569,TRUE,,8/24/2017,,RxNorm Extension,OMOP2052531,Marketed Product,S,Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50 by Shire,Drug
Hydrocortisone 0.00333 MG/ML,40858137,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2056099,Clinical Drug Comp,S,Hydrocortisone 0.00333 MG/ML,Drug
Hydrocortisone 0.0333 MG/ML,40858138,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2056100,Clinical Drug Comp,S,Hydrocortisone 0.0333 MG/ML,Drug
Hydrocortisone 0.001 MG/MG [Alfason],40860120,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2058082,Branded Drug Comp,S,Hydrocortisone 0.001 MG/MG [Alfason],Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50,40907295,TRUE,,8/24/2017,,RxNorm Extension,OMOP2105257,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100,40907303,TRUE,,8/24/2017,,RxNorm Extension,OMOP2105265,Branded Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100,Drug
Hydrocortisone 10 MG Oral Tablet Box of 20 by Sanofi,40916776,TRUE,,8/24/2017,,RxNorm Extension,OMOP2114738,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Sanofi,Drug
Hydrocortisone 4 MG/ML,40920407,TRUE,,8/24/2017,,RxNorm Extension,OMOP2118369,Clinical Drug Comp,S,Hydrocortisone 4 MG/ML,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100 by DermaPharm,40885884,TRUE,,8/24/2017,,RxNorm Extension,OMOP2083846,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100 by DermaPharm,Drug
hydrocortisone acetate 100 MG/ML,45774728,TRUE,,12/1/2014,,RxNorm,1545171,Clinical Drug Comp,S,hydrocortisone acetate 100 MG/ML,Drug
hydrocortisone acetate 15 MG/ML,45776722,TRUE,,12/1/2014,,RxNorm,1549473,Clinical Drug Comp,S,hydrocortisone acetate 15 MG/ML,Drug
hydrocortisone 10 MG Oral Tablet,975168,TRUE,,1/1/1970,,RxNorm,197782,Clinical Drug,S,hydrocortisone 10 MG Oral Tablet,Drug
hydrocortisone 20 MG Oral Tablet,975169,TRUE,,1/1/1970,,RxNorm,197783,Clinical Drug,S,hydrocortisone 20 MG Oral Tablet,Drug
hydrocortisone 5 MG Oral Tablet,975193,TRUE,,1/1/1970,,RxNorm,197787,Clinical Drug,S,hydrocortisone 5 MG Oral Tablet,Drug
hydrocortisone 4 MG Oral Tablet,19021571,TRUE,,1/1/1970,,RxNorm,199320,Clinical Drug,S,hydrocortisone 4 MG Oral Tablet,Drug
hydrocortisone probutate 1 MG/ML,43014077,TRUE,delete,3/4/2013,,RxNorm,1370745,Clinical Drug Comp,S,hydrocortisone probutate 1 MG/ML,Drug
hydrocortisone butyrate 0.001 MG/MG,43013655,TRUE,delete,3/4/2013,,RxNorm,1370757,Clinical Drug Comp,S,hydrocortisone butyrate 0.001 MG/MG,Drug
hydrocortisone butyrate 1 MG/ML,43013659,TRUE,delete,3/4/2013,,RxNorm,1370762,Clinical Drug Comp,S,hydrocortisone butyrate 1 MG/ML,Drug
hydrocortisone butyrate 1 MG/ML [Locoid],43013666,TRUE,delete,3/4/2013,,RxNorm,1370764,Branded Drug Comp,S,hydrocortisone butyrate 1 MG/ML [Locoid],Drug
hydrocortisone 10 MG [Hydrocortone],19116155,TRUE,,9/11/2005,,RxNorm,564045,Branded Drug Comp,S,hydrocortisone 10 MG [Hydrocortone],Drug
hydrocortisone 20 MG [Hydrocortone],19116156,TRUE,,9/11/2005,,RxNorm,564046,Branded Drug Comp,S,hydrocortisone 20 MG [Hydrocortone],Drug
hydrocortisone 0.0009 MG/MG,19110032,TRUE,delete,1/1/1970,,RxNorm,439820,Clinical Drug Comp,S,hydrocortisone 0.0009 MG/MG,Drug
hydrocortisone 0.0033 MG/MG,19110247,TRUE,delete,1/1/1970,,RxNorm,440442,Clinical Drug Comp,S,hydrocortisone 0.0033 MG/MG,Drug
hydrocortisone 0.004 MG/MG,19110256,TRUE,delete,1/1/1970,,RxNorm,440461,Clinical Drug Comp,S,hydrocortisone 0.004 MG/MG,Drug
hydrocortisone 250 MG,19110892,TRUE,,1/1/1970,,RxNorm,446496,Clinical Drug Comp,S,hydrocortisone 250 MG,Drug
hydrocortisone Oral Suspension [Cortef],40049699,TRUE,,1/1/1970,,RxNorm,365876,Branded Drug Form,S,hydrocortisone Oral Suspension [Cortef],Drug
hydrocortisone 5 MG Oral Tablet [Cortef],19039286,TRUE,,1/1/1970,,RxNorm,208680,Branded Drug,S,hydrocortisone 5 MG Oral Tablet [Cortef],Drug
hydrocortisone 10 MG Oral Tablet [Cortef],19039383,TRUE,,1/1/1970,,RxNorm,208712,Branded Drug,S,hydrocortisone 10 MG Oral Tablet [Cortef],Drug
hydrocortisone 20 MG Oral Tablet [Cortef],19039743,TRUE,,1/1/1970,,RxNorm,208816,Branded Drug,S,hydrocortisone 20 MG Oral Tablet [Cortef],Drug
hydrocortisone 2 MG/ML Oral Suspension [Cortef],19040967,TRUE,,1/1/1970,,RxNorm,209245,Branded Drug,S,hydrocortisone 2 MG/ML Oral Suspension [Cortef],Drug
hydrocortisone 0.5 MG/ML,975984,TRUE,delete,1/1/1970,,RxNorm,334971,Clinical Drug Comp,S,hydrocortisone 0.5 MG/ML,Drug
hydrocortisone 2.5 MG,975985,TRUE,,1/1/1970,,RxNorm,334972,Clinical Drug Comp,S,hydrocortisone 2.5 MG,Drug
hydrocortisone 0.005 MG/MG,19093396,TRUE,delete,1/1/1970,,RxNorm,339990,Clinical Drug Comp,S,hydrocortisone 0.005 MG/MG,Drug
hydrocortisone 2.5 MG/ML,976014,TRUE,delete,1/1/1970,,RxNorm,343175,Clinical Drug Comp,S,hydrocortisone 2.5 MG/ML,Drug
hydrocortisone 1.27 MG/ML,976016,TRUE,,1/1/1970,,RxNorm,343481,Clinical Drug Comp,S,hydrocortisone 1.27 MG/ML,Drug
hydrocortisone 1.25 MG/ML,976017,TRUE,,1/1/1970,,RxNorm,343482,Clinical Drug Comp,S,hydrocortisone 1.25 MG/ML,Drug
hydrocortisone 2.5 MG Oral Tablet,975588,TRUE,,1/1/1970,,RxNorm,249569,Clinical Drug,S,hydrocortisone 2.5 MG Oral Tablet,Drug
hydrocortisone 2.5 MG Oral Lozenge,975644,TRUE,,1/1/1970,,RxNorm,251452,Clinical Drug,S,hydrocortisone 2.5 MG Oral Lozenge,Drug
hydrocortisone 0.0025 MG/MG,975931,TRUE,delete,1/1/1970,,RxNorm,329448,Clinical Drug Comp,S,hydrocortisone 0.0025 MG/MG,Drug
hydrocortisone 2 MG/ML,19086249,TRUE,,1/1/1970,,RxNorm,330825,Clinical Drug Comp,S,hydrocortisone 2 MG/ML,Drug
hydrocortisone 4 MG,19088174,TRUE,,1/1/1970,,RxNorm,332093,Clinical Drug Comp,S,hydrocortisone 4 MG,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan],40938635,TRUE,,8/24/2017,,RxNorm Extension,OMOP2136597,Branded Drug,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan],Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20,40938636,TRUE,,8/24/2017,,RxNorm Extension,OMOP2136598,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20,Drug
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100,40938651,TRUE,,8/24/2017,,RxNorm Extension,OMOP2136613,Branded Drug Box,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50,40969685,TRUE,,8/24/2017,,RxNorm Extension,OMOP2167647,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20,40969686,TRUE,,8/24/2017,,RxNorm Extension,OMOP2167648,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20,Drug
Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 100,40969704,TRUE,,8/24/2017,,RxNorm Extension,OMOP2167666,Branded Drug Box,S,Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 100,Drug
Hydrocortisone Oral Powder [Endomethasone],40925593,TRUE,,8/24/2017,,RxNorm Extension,OMOP2123555,Branded Drug Form,S,Hydrocortisone Oral Powder [Endomethasone],Drug
Hydrocortisone 10 MG Oral Tablet Box of 150,40929193,TRUE,,8/24/2017,,RxNorm Extension,OMOP2127155,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 150,Drug
Hydrocortisone Oral Tablet [Hydrocutan],40956862,TRUE,,8/24/2017,,RxNorm Extension,OMOP2154824,Branded Drug Form,S,Hydrocortisone Oral Tablet [Hydrocutan],Drug
Hydrocortisone 10 MG Oral Tablet Box of 50 by Galen,40948171,TRUE,,8/24/2017,,RxNorm Extension,OMOP2146133,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Galen,Drug
hydrocortisone 250 MG [Solu-Cortef],35604735,TRUE,,5/2/2016,,RxNorm,1738591,Branded Drug Comp,S,hydrocortisone 250 MG [Solu-Cortef],Drug
hydrocortisone 5 MG [Cortef],19043315,TRUE,,9/11/2005,,RxNorm,569343,Branded Drug Comp,S,hydrocortisone 5 MG [Cortef],Drug
Hydrocortisone 5 MG Oral Tablet Box of 100,41303657,TRUE,,8/24/2017,,RxNorm Extension,OMOP2501619,Clinical Drug Box,S,Hydrocortisone 5 MG Oral Tablet Box of 100,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet Box of 100,41303658,TRUE,,8/24/2017,,RxNorm Extension,OMOP2501620,Clinical Drug Box,S,Hydrocortisone 5 MG Extended Release Oral Tablet Box of 100,Drug
Hydrocortisone 5 MG Oral Tablet Box of 50,41303659,TRUE,,8/24/2017,,RxNorm Extension,OMOP2501621,Clinical Drug Box,S,Hydrocortisone 5 MG Oral Tablet Box of 50,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20 by Acis,41260196,TRUE,,8/24/2017,,RxNorm Extension,OMOP2458158,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20 by Acis,Drug
Hydrocortisone 10 MG Oral Tablet Box of 50 by Sanofi,41260197,TRUE,,8/24/2017,,RxNorm Extension,OMOP2458159,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Sanofi,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100,41126087,TRUE,,8/24/2017,,RxNorm Extension,OMOP2324049,Branded Drug Box,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100,Drug
Hydrocortisone 10 MG [Hydrocutan],41141261,TRUE,,8/24/2017,,RxNorm Extension,OMOP2339223,Branded Drug Comp,S,Hydrocortisone 10 MG [Hydrocutan],Drug
Hydrocortisone Oral Powder,41142946,TRUE,,8/24/2017,,RxNorm Extension,OMOP2340908,Clinical Drug Form,S,Hydrocortisone Oral Powder,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20 by DermaPharm,41166957,TRUE,,8/24/2017,,RxNorm Extension,OMOP2364919,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20 by DermaPharm,Drug
Hydrocortisone 10 MG Oral Tablet Box of 300 by Sanofi,41166958,TRUE,,8/24/2017,,RxNorm Extension,OMOP2364920,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 300 by Sanofi,Drug
Hydrocortisone 10 MG Oral Tablet Box of 20 by Galen,41166959,TRUE,,8/24/2017,,RxNorm Extension,OMOP2364921,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Galen,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Kohlpharma,41166960,TRUE,,8/24/2017,,RxNorm Extension,OMOP2364922,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Kohlpharma,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Kohlpharma,41166961,TRUE,,8/24/2017,,RxNorm Extension,OMOP2364923,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Kohlpharma,Drug
Hydrocortisone 0.1 MG/ML [Hydrogalen],41172376,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2370338,Branded Drug Comp,S,Hydrocortisone 0.1 MG/ML [Hydrogalen],Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson],41157554,TRUE,,8/24/2017,,RxNorm Extension,OMOP2355516,Branded Drug,S,Hydrocortisone 10 MG Oral Tablet [Hydroson],Drug
Hydrocortisone 10 MG Oral Tablet Box of 150 by Sanofi,41104285,TRUE,,8/24/2017,,RxNorm Extension,OMOP2302247,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 150 by Sanofi,Drug
Hydrocortisone 10 MG Oral Tablet Box of 20 by Jenapharm,41104286,TRUE,,8/24/2017,,RxNorm Extension,OMOP2302248,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Jenapharm,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 100,40991743,TRUE,,8/24/2017,,RxNorm Extension,OMOP2189705,Clinical Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 100,Drug
Hydrocortisone 20 MG Oral Tablet Box of 50,40991744,TRUE,,8/24/2017,,RxNorm Extension,OMOP2189706,Clinical Drug Box,S,Hydrocortisone 20 MG Oral Tablet Box of 50,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,41072807,TRUE,,8/24/2017,,RxNorm Extension,OMOP2270769,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Cc,41072808,TRUE,,8/24/2017,,RxNorm Extension,OMOP2270770,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Cc,Drug
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,41072809,TRUE,,8/24/2017,,RxNorm Extension,OMOP2270771,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50 by DermaPharm,41135694,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333656,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50 by DermaPharm,Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20 by DermaPharm,41135695,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333657,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20 by DermaPharm,Drug
Hydrocortisone 10 MG Oral Tablet Box of 50 by Jenapharm,41135696,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333658,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Jenapharm,Drug
Hydrocortisone 10 MG Oral Tablet Box of 20 by Teofarma,41135697,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333659,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Teofarma,Drug
Hydrocortisone 10 MG Oral Tablet Box of 20 by Mibe,41135698,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333660,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Mibe,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,41135699,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333661,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,41135700,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333662,Marketed Product,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,41135701,TRUE,,8/24/2017,,RxNorm Extension,OMOP2333663,Marketed Product,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20,41313064,TRUE,,8/24/2017,,RxNorm Extension,OMOP2511026,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20,Drug
Hydrocortisone 5 MG Oral Tablet [Plenadren],41313092,TRUE,,8/24/2017,,RxNorm Extension,OMOP2511054,Branded Drug,S,Hydrocortisone 5 MG Oral Tablet [Plenadren],Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100 by DermaPharm,41322619,TRUE,,8/24/2017,,RxNorm Extension,OMOP2520581,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100 by DermaPharm,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50 by Acis,41322620,TRUE,,8/24/2017,,RxNorm Extension,OMOP2520582,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50 by Acis,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100,41000998,TRUE,,8/24/2017,,RxNorm Extension,OMOP2198960,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100,Drug
Hydrocortisone 10 MG Oral Tablet Box of 300,41022680,TRUE,,8/24/2017,,RxNorm Extension,OMOP2220642,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 300,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50 by DermaPharm,41041544,TRUE,,8/24/2017,,RxNorm Extension,OMOP2239506,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50 by DermaPharm,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,41041545,TRUE,,8/24/2017,,RxNorm Extension,OMOP2239507,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100,41094833,TRUE,,8/24/2017,,RxNorm Extension,OMOP2292795,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100,41250844,TRUE,,8/24/2017,,RxNorm Extension,OMOP2448806,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100,Drug
Hydrocortisone 10 MG Oral Tablet Box of 100 by Jenapharm,41291287,TRUE,,8/24/2017,,RxNorm Extension,OMOP2489249,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Jenapharm,Drug
Hydrocortisone 10 MG Oral Tablet Box of 300 by Teofarma,41229380,TRUE,,8/24/2017,,RxNorm Extension,OMOP2427342,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 300 by Teofarma,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Orifarm Leverkus,41229381,TRUE,,8/24/2017,,RxNorm Extension,OMOP2427343,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Orifarm Leverkus,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Axicorp,41229382,TRUE,,8/24/2017,,RxNorm Extension,OMOP2427344,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Axicorp,Drug
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100 by Acis,40979100,TRUE,,8/24/2017,,RxNorm Extension,OMOP2177062,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100 by Acis,Drug
Hydrocortisone 10 MG Oral Tablet Box of 100 by Teofarma,40979101,TRUE,,8/24/2017,,RxNorm Extension,OMOP2177063,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Teofarma,Drug
Hydrocortisone 10 MG Oral Tablet Box of 100 by Mibe,40979102,TRUE,,8/24/2017,,RxNorm Extension,OMOP2177064,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Mibe,Drug
Hydrocortisone 10 MG Oral Tablet Box of 100 by Galen,40979103,TRUE,,8/24/2017,,RxNorm Extension,OMOP2177065,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Galen,Drug
Hydrocortisone 10 MG Oral Tablet Box of 20,41053973,TRUE,,8/24/2017,,RxNorm Extension,OMOP2251935,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 20,Drug
Hydrocortisone 0.0333 MG/ML [Alfason],41015865,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2213827,Branded Drug Comp,S,Hydrocortisone 0.0333 MG/ML [Alfason],Drug
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50,41032084,TRUE,,8/24/2017,,RxNorm Extension,OMOP2230046,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50,Drug
Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50,41032119,TRUE,,8/24/2017,,RxNorm Extension,OMOP2230081,Branded Drug Box,S,Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50,Drug
hydrocortisone 10 MG [Cortef],19043316,TRUE,,9/11/2005,,RxNorm,569375,Branded Drug Comp,S,hydrocortisone 10 MG [Cortef],Drug
hydrocortisone 20 MG [Cortef],19043317,TRUE,,9/11/2005,,RxNorm,569465,Branded Drug Comp,S,hydrocortisone 20 MG [Cortef],Drug
hydrocortisone 2 MG/ML [Cortef],19043318,TRUE,,9/11/2005,,RxNorm,569869,Branded Drug Comp,S,hydrocortisone 2 MG/ML [Cortef],Drug
hydrocortisone Oral Tablet [Hydrocortone],40049702,TRUE,,1/1/1970,,RxNorm,369182,Branded Drug Form,S,hydrocortisone Oral Tablet [Hydrocortone],Drug
hydrocortisone Oral Tablet [Cortef],40049701,TRUE,,1/1/1970,,RxNorm,369183,Branded Drug Form,S,hydrocortisone Oral Tablet [Cortef],Drug
hydrocortisone Oral Suspension,40049698,TRUE,,1/1/1970,,RxNorm,370647,Clinical Drug Form,S,hydrocortisone Oral Suspension,Drug
hydrocortisone Oral Tablet,40049700,TRUE,,1/1/1970,,RxNorm,370649,Clinical Drug Form,S,hydrocortisone Oral Tablet,Drug
hydrocortisone Oral Lozenge,40049693,TRUE,delete,1/1/1970,,RxNorm,372422,Clinical Drug Form,S,hydrocortisone Oral Lozenge,Drug
hydrocortisone 0.1 MG/ML,19114612,TRUE,delete,9/11/2005,,RxNorm,544998,Clinical Drug Comp,S,hydrocortisone 0.1 MG/ML,Drug
hydrocortisone,975125,TRUE,,1/1/1970,,RxNorm,5492,Ingredient,S,hydrocortisone,Drug
hydrocortisone acetate 10 MG/ML,19133287,TRUE,,1/4/2009,,RxNorm,828360,Clinical Drug Comp,S,hydrocortisone acetate 10 MG/ML,Drug
hydrocortisone 2 MG/ML Oral Suspension,19078350,TRUE,,1/1/1970,,RxNorm,310899,Clinical Drug,S,hydrocortisone 2 MG/ML Oral Suspension,Drug
hydrocortisone 10 MG,19081460,TRUE,,1/1/1970,,RxNorm,316056,Clinical Drug Comp,S,hydrocortisone 10 MG,Drug
hydrocortisone 20 MG,19081472,TRUE,,1/1/1970,,RxNorm,316058,Clinical Drug Comp,S,hydrocortisone 20 MG,Drug
hydrocortisone 5 MG,975926,TRUE,,1/1/1970,,RxNorm,317387,Clinical Drug Comp,S,hydrocortisone 5 MG,Drug
Hydrocortisone 20 MG Oral Tablet [Cortef] by Pfizer,44076142,TRUE,,8/24/2017,,RxNorm Extension,OMOP1070773,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Cortef] by Pfizer,Drug
Hydrocortisone 10 MG Oral Tablet [Cortef] by Pfizer,44128016,TRUE,,8/24/2017,,RxNorm Extension,OMOP1122647,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Cortef] by Pfizer,Drug
Hydrocortisone 250 MG [A-Hydrocort],44093189,TRUE,,8/24/2017,,RxNorm Extension,OMOP1087820,Branded Drug Comp,S,Hydrocortisone 250 MG [A-Hydrocort],Drug
