concept_id,concept_name,keep_entry_in_codeset,comments,condition_count,patient_count,concept_code,vocabulary_id,concept_class_id,domain_id
793918,fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler,FALSE,,39,28,1941537,RxNorm,Clinical Drug,Drug
793919,fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler [Armonair],FALSE,,20,20,1941538,RxNorm,Branded Drug,Drug
793931,60 ACTUAT fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler,FALSE,,22,20,1941605,RxNorm,Quant Clinical Drug,Drug
793932,fluticasone propionate 0.232 MG/ACTUAT [Armonair],FALSE,,20,20,1941606,RxNorm,Branded Drug Comp,Drug
793933,60 ACTUAT fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler [Armonair],FALSE,,21,20,1941607,RxNorm,Quant Branded Drug,Drug
793934,fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler,FALSE,,27,22,1941608,RxNorm,Clinical Drug,Drug
793935,fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler [Armonair],FALSE,,20,20,1941609,RxNorm,Branded Drug,Drug
793936,60 ACTUAT fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler,FALSE,,30,23,1941611,RxNorm,Quant Clinical Drug,Drug
793937,fluticasone propionate 0.055 MG/ACTUAT [Armonair],FALSE,,20,20,1941612,RxNorm,Branded Drug Comp,Drug
793938,60 ACTUAT fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler [Armonair],FALSE,,20,20,1941613,RxNorm,Quant Branded Drug,Drug
793939,fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler,FALSE,,20,20,1941614,RxNorm,Clinical Drug,Drug
793940,fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler [Armonair],FALSE,,20,20,1941615,RxNorm,Branded Drug,Drug
1146317,ciclesonide 0.343 MG/ACTUAT,TRUE,,20,20,2377376,RxNorm,Clinical Drug Comp,Drug
1146318,ciclesonide 0.343 MG/ACTUAT Metered Dose Nasal Spray,TRUE,,20,20,2377377,RxNorm,Clinical Drug,Drug
1146320,ciclesonide 0.343 MG/ACTUAT [Aservo],TRUE,,20,20,2377379,RxNorm,Branded Drug Comp,Drug
902938,ciclesonide,TRUE,,4506,338,274964,RxNorm,Ingredient,Drug
902939,ciclesonide 0.16 MG/ACTUAT,TRUE,,20,20,597915,RxNorm,Clinical Drug Comp,Drug
902941,ciclesonide 0.08 MG/ACTUAT,TRUE,,20,20,597917,RxNorm,Clinical Drug Comp,Drug
902963,ciclesonide 0.05 MG/ACTUAT,TRUE,,20,20,687254,RxNorm,Clinical Drug Comp,Drug
902971,120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler,FALSE,,93,22,825318,RxNorm,Quant Clinical Drug,Drug
903963,triamcinolone,FALSE,,1930075,128567,10759,RxNorm,Ingredient,Drug
904131,triamcinolone 0.055 MG/ACTUAT Nasal Spray,TRUE,,3990,3347,245785,RxNorm,Clinical Drug,Drug
904163,triamcinolone 0.1 MG/ACTUAT Nasal Spray,TRUE,,20,20,248626,RxNorm,Clinical Drug,Drug
904164,neomycin 0.00385 MG/MG / triamcinolone 0.00105 MG/MG Topical Ointment,FALSE,,20,20,249817,RxNorm,Clinical Drug,Drug
904170,triamcinolone 0.1 MG/ML Topical Cream,FALSE,,8115,242,251917,RxNorm,Clinical Drug,Drug
904171,triamcinolone 6 MG/ML Injectable Suspension,FALSE,,20,20,251931,RxNorm,Clinical Drug,Drug
904262,triamcinolone 0.01 MG/MG Ophthalmic Ointment,FALSE,,20,20,252266,RxNorm,Clinical Drug,Drug
904324,triamcinolone 0.0025 MG/MG Topical Ointment,FALSE,,20,20,313456,RxNorm,Clinical Drug,Drug
904331,triamcinolone 2 MG,FALSE,,20,20,316851,RxNorm,Clinical Drug Comp,Drug
904332,triamcinolone 1 MG,FALSE,,4704,1919,317524,RxNorm,Clinical Drug Comp,Drug
904333,triamcinolone 8 MG,FALSE,,20,20,317525,RxNorm,Clinical Drug Comp,Drug
904335,triamcinolone 0.001 MG/MG,FALSE,,20,20,328439,RxNorm,Clinical Drug Comp,Drug
904338,triamcinolone 0.00025 MG/MG,FALSE,,20,20,328761,RxNorm,Clinical Drug Comp,Drug
904385,triamcinolone 6 MG/ML,FALSE,,20,20,335769,RxNorm,Clinical Drug Comp,Drug
904387,triamcinolone 0.00105 MG/MG,FALSE,,20,20,337314,RxNorm,Clinical Drug Comp,Drug
904392,triamcinolone 1 MG/ML,FALSE,,20,20,339994,RxNorm,Clinical Drug Comp,Drug
904395,triamcinolone 4 MG,FALSE,,20,20,345865,RxNorm,Clinical Drug Comp,Drug
904427,triamcinolone 0.5 MG/ML,FALSE,,20,20,353417,RxNorm,Clinical Drug Comp,Drug
904435,triamcinolone 0.001 MG/MG Paste,FALSE,,2396,930,544643,RxNorm,Clinical Drug,Drug
904436,triamcinolone 0.066 MG/ML,FALSE,,20,20,639496,RxNorm,Clinical Drug Comp,Drug
904437,triamcinolone 0.066 MG/ML Topical Spray,FALSE,,126,21,639497,RxNorm,Clinical Drug,Drug
904506,triamcinolone acetonide 0.05 MG/ACTUAT,FALSE,,20,20,833244,RxNorm,Clinical Drug Comp,Drug
904509,triamcinolone acetonide 80 MG/ML,FALSE,,20,20,833448,RxNorm,Clinical Drug Comp,Drug
904510,0.1 ML triamcinolone acetonide 80 MG/ML Prefilled Syringe,FALSE,,20,20,833449,RxNorm,Quant Clinical Drug,Drug
904511,0.1 ML triamcinolone acetonide 80 MG/ML Prefilled Syringe [Trivaris],FALSE,,20,20,835559,RxNorm,Quant Branded Drug,Drug
905233,mometasone,FALSE,,252492,18627,108118,RxNorm,Ingredient,Drug
905236,mometasone furoate 1 MG/ML Topical Cream,FALSE,,37923,15465,311753,RxNorm,Clinical Drug,Drug
905238,mometasone furoate 0.001 MG/MG,FALSE,,20,20,336758,RxNorm,Clinical Drug Comp,Drug
905240,mometasone furoate 0.05 MG/ACTUAT,FALSE,,20,20,358793,RxNorm,Clinical Drug Comp,Drug
905264,mometasone furoate 0.2 MG/ACTUAT,FALSE,,20,20,617269,RxNorm,Clinical Drug Comp,Drug
905271,14 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],FALSE,,4827,692,746811,RxNorm,Quant Branded Drug,Drug
905292,30 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,FALSE,,9124,1867,746812,RxNorm,Quant Clinical Drug,Drug
905293,30 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],FALSE,,4636,963,746813,RxNorm,Quant Branded Drug,Drug
905294,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,FALSE,,10520,2197,746814,RxNorm,Quant Clinical Drug,Drug
905295,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],FALSE,,6358,1006,746815,RxNorm,Quant Branded Drug,Drug
905343,mometasone furoate 1 MG/ML Topical Cream [Elocon],FALSE,,12494,6075,92582,RxNorm,Branded Drug,Drug
905344,mometasone furoate 1 MG/ML Topical Lotion [Elocon],FALSE,,1975,1324,92583,RxNorm,Branded Drug,Drug
905345,mometasone furoate 0.001 MG/MG Topical Ointment [Elocon],FALSE,,7028,4037,92584,RxNorm,Branded Drug,Drug
939259,budesonide,FALSE,,812521,59168,19831,RxNorm,Ingredient,Drug
939294,budesonide 0.02 MG/ML Enema,FALSE,,20,20,153173,RxNorm,Clinical Drug,Drug
939300,budesonide 0.032 MG/ACTUAT Nasal Spray,TRUE,,5154,2699,247551,RxNorm,Clinical Drug,Drug
939301,budesonide 0.1 MG/ACTUAT Nasal Spray,TRUE,,20,20,247691,RxNorm,Clinical Drug,Drug
939352,budesonide 3 MG Oral Tablet,FALSE,,20,20,249241,RxNorm,Clinical Drug,Drug
939359,budesonide 0.5 MG/ML Inhalation Suspension,FALSE,,25494,5052,252559,RxNorm,Clinical Drug,Drug
939361,budesonide 0.032 MG/ACTUAT,FALSE,,20,20,315498,RxNorm,Clinical Drug Comp,Drug
939393,budesonide 3 MG,FALSE,,20,20,332685,RxNorm,Clinical Drug Comp,Drug
939394,budesonide 0.1 MG/ACTUAT,FALSE,,20,20,332686,RxNorm,Clinical Drug Comp,Drug
939395,budesonide 0.05 MG/ACTUAT,FALSE,,20,20,332687,RxNorm,Clinical Drug Comp,Drug
939396,budesonide 0.064 MG/ACTUAT,FALSE,,20,20,332688,RxNorm,Clinical Drug Comp,Drug
939398,budesonide 0.25 MG/ML,FALSE,,20,20,346148,RxNorm,Clinical Drug Comp,Drug
939422,budesonide 0.5 MG/ML,FALSE,,20,20,358545,RxNorm,Clinical Drug Comp,Drug
939426,budesonide 0.16 MG/ACTUAT,FALSE,,7724,2863,393396,RxNorm,Clinical Drug Comp,Drug
939427,budesonide 0.08 MG/ACTUAT,FALSE,,20,20,393399,RxNorm,Clinical Drug Comp,Drug
939542,budesonide 0.25 MG/ML Inhalation Suspension [Pulmicort],FALSE,,219257,17898,616817,RxNorm,Branded Drug,Drug
939543,budesonide 0.5 MG/ML Inhalation Suspension [Pulmicort],FALSE,,4147,875,616819,RxNorm,Branded Drug,Drug
939545,budesonide 0.18 MG/ACTUAT,FALSE,,20,20,692474,RxNorm,Clinical Drug Comp,Drug
939547,budesonide 0.09 MG/ACTUAT,FALSE,,20,20,692476,RxNorm,Clinical Drug Comp,Drug
948638,polymyxin B 16.2 UNT/MG / triamcinolone 0.001 MG/MG Ophthalmic Ointment,FALSE,,20,20,246731,RxNorm,Clinical Drug,Drug
964919,salicylic acid 0.05 MG/MG / triamcinolone 0.0005 MG/MG Topical Ointment,FALSE,,20,20,251588,RxNorm,Clinical Drug,Drug
980897,clioquinol 30 MG/ML / triamcinolone 0.1 MG/ML Topical Cream,FALSE,,20,20,246758,RxNorm,Clinical Drug,Drug
980898,clioquinol 30 MG/ML / triamcinolone 1 MG/ML Topical Cream,FALSE,,20,20,246759,RxNorm,Clinical Drug,Drug
1001218,coal tar 10 MG/ML / triamcinolone 1 MG/ML Topical Cream,FALSE,,,,252392,RxNorm,Clinical Drug,Drug
1355732,mometasone / orbifloxacin / posaconazole Otic Suspension,FALSE,,20,20,2105735,RxNorm,Clinical Drug Form,Drug
1355733,mometasone furoate 1 MG/ML / orbifloxacin 10 MG/ML / posaconazole 1 MG/ML Otic Suspension,FALSE,,20,20,2105737,RxNorm,Clinical Drug,Drug
1355735,mometasone furoate 1 MG/ML / orbifloxacin 10 MG/ML / posaconazole 1 MG/ML [Posatex],FALSE,,20,20,2105739,RxNorm,Branded Drug Comp,Drug
1355736,mometasone / orbifloxacin / posaconazole Otic Suspension [Posatex],FALSE,,20,20,2105740,RxNorm,Branded Drug Form,Drug
1355738,mometasone furoate 1 MG/ML / orbifloxacin 10 MG/ML / posaconazole 1 MG/ML Otic Suspension [Posatex],FALSE,,20,20,2105742,RxNorm,Branded Drug,Drug
1355743,neomycin / nystatin / thiostrepton / triamcinolone Topical Ointment,FALSE,,,,2105779,RxNorm,Clinical Drug Form,Drug
1355744,neomycin 0.025 MG/MG / nystatin 100 UNT/MG / thiostrepton 2.5 UNT/MG / triamcinolone 0.001 MG/MG Topical Ointment,FALSE,,,,2105780,RxNorm,Clinical Drug,Drug
1355746,neomycin 0.025 MG/MG / nystatin 100 UNT/MG / thiostrepton 2.5 UNT/MG / triamcinolone 0.001 MG/MG [Dermalone],FALSE,,,,2105782,RxNorm,Branded Drug Comp,Drug
1355747,neomycin / nystatin / thiostrepton / triamcinolone Topical Ointment [Dermalone],FALSE,,,,2105783,RxNorm,Branded Drug Form,Drug
1355749,neomycin 0.025 MG/MG / nystatin 100 UNT/MG / thiostrepton 2.5 UNT/MG / triamcinolone 0.001 MG/MG Topical Ointment [Dermalone],FALSE,,,,2105785,RxNorm,Branded Drug,Drug
1356140,budesonide Inhalation Suspension,FALSE,,20,20,2108295,RxNorm,Clinical Drug Form,Drug
1356141,budesonide Inhalation Suspension [Pulmicort],FALSE,,20,20,2108297,RxNorm,Branded Drug Form,Drug
1356142,budesonide 0.2 MG,FALSE,,20,20,2108301,RxNorm,Clinical Drug Comp,Drug
1356143,budesonide Inhalation Powder,FALSE,,20,20,2108302,RxNorm,Clinical Drug Form,Drug
1356374,budesonide 0.2 MG [Pulmicort],FALSE,,20,20,2109079,RxNorm,Branded Drug Comp,Drug
1356375,budesonide Inhalation Powder [Pulmicort],FALSE,,20,20,2109080,RxNorm,Branded Drug Form,Drug
1356376,budesonide 0.2 MG Inhalation Powder [Pulmicort],FALSE,,20,20,2109081,RxNorm,Branded Drug,Drug
1361589,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT [Dulera],FALSE,,20,20,2196591,RxNorm,Branded Drug Comp,Drug
1361590,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler,FALSE,,20,20,2196593,RxNorm,Clinical Drug,Drug
1361591,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Dulera],FALSE,,20,20,2196690,RxNorm,Branded Drug,Drug
1361592,mometasone furoate 0.05 MG/ACTUAT [Asmanex],FALSE,,20,20,2196791,RxNorm,Branded Drug Comp,Drug
1361593,mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler,FALSE,,20,20,2196793,RxNorm,Clinical Drug,Drug
1361594,mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Asmanex],FALSE,,20,20,2196794,RxNorm,Branded Drug,Drug
1361703,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler,FALSE,,111,75,2196590,RxNorm,Quant Clinical Drug,Drug
1361704,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Dulera],FALSE,,354,98,2196592,RxNorm,Quant Branded Drug,Drug
1361705,120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler,FALSE,,86,63,2196790,RxNorm,Quant Clinical Drug,Drug
1361706,120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Asmanex],FALSE,,171,73,2196792,RxNorm,Quant Branded Drug,Drug
1366410,fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT [Wixela],FALSE,,20,20,2110507,RxNorm,Branded Drug Comp,Drug
1366411,fluticasone / salmeterol Dry Powder Inhaler [Wixela],FALSE,,20,20,2110508,RxNorm,Branded Drug Form,Drug
1366413,fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela],FALSE,,20,20,2110511,RxNorm,Branded Drug,Drug
1366414,fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT [Wixela],FALSE,,20,20,2110512,RxNorm,Branded Drug Comp,Drug
1366415,fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela],FALSE,,20,20,2110514,RxNorm,Branded Drug,Drug
1366416,fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT [Wixela],FALSE,,20,20,2110515,RxNorm,Branded Drug Comp,Drug
1366417,fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela],FALSE,,20,20,2110517,RxNorm,Branded Drug,Drug
1366746,60 ACTUAT fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela],FALSE,,10876,1560,2110510,RxNorm,Quant Branded Drug,Drug
1366747,60 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela],FALSE,,31015,4367,2110513,RxNorm,Quant Branded Drug,Drug
1366748,60 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela],FALSE,,13403,1617,2110516,RxNorm,Quant Branded Drug,Drug
1510419,fluticasone furoate 0.05 MG/ACTUAT,FALSE,,20,20,2045376,RxNorm,Clinical Drug Comp,Drug
1510420,fluticasone furoate 0.05 MG/ACTUAT Dry Powder Inhaler,FALSE,,2493,202,2045383,RxNorm,Clinical Drug,Drug
1510421,fluticasone furoate 0.05 MG/ACTUAT Dry Powder Inhaler [Arnuity],FALSE,,68,49,2045384,RxNorm,Branded Drug,Drug
1510710,fluticasone furoate 0.05 MG/ACTUAT [Arnuity],FALSE,,20,20,2047720,RxNorm,Branded Drug Comp,Drug
1510779,30 ACTUAT fluticasone furoate 0.05 MG/ACTUAT Dry Powder Inhaler,FALSE,,982,507,2045377,RxNorm,Quant Clinical Drug,Drug
1510780,30 ACTUAT fluticasone furoate 0.05 MG/ACTUAT Dry Powder Inhaler [Arnuity],FALSE,,1294,249,2045382,RxNorm,Quant Branded Drug,Drug
1510935,fluticasone propionate 0.5 MG/ML [Beser],FALSE,,20,20,2121407,RxNorm,Branded Drug Comp,Drug
1510936,fluticasone Topical Lotion [Beser],FALSE,,20,20,2121408,RxNorm,Branded Drug Form,Drug
1510938,fluticasone propionate 0.5 MG/ML Topical Lotion [Beser],FALSE,,20,20,2121410,RxNorm,Branded Drug,Drug
1511378,clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML [Maxi-Otic],FALSE,,20,20,2166109,RxNorm,Branded Drug Comp,Drug
1511379,clotrimazole / gentamicin / mometasone Otic Suspension [Maxi-Otic],FALSE,,20,20,2166110,RxNorm,Branded Drug Form,Drug
1511381,clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML Otic Suspension [Maxi-Otic],FALSE,,20,20,2166112,RxNorm,Branded Drug,Drug
1559863,triamcinolone acetonide 0.5 MG [Vetalog],FALSE,,,,2048889,RxNorm,Branded Drug Comp,Drug
1559864,triamcinolone Oral Tablet [Vetalog],FALSE,,,,2048890,RxNorm,Branded Drug Form,Drug
1559867,triamcinolone acetonide 0.5 MG Oral Tablet [Vetalog],FALSE,,,,2048893,RxNorm,Branded Drug,Drug
1559868,triamcinolone acetonide 1.5 MG [Vetalog],FALSE,,,,2048894,RxNorm,Branded Drug Comp,Drug
1559869,triamcinolone acetonide 1.5 MG Oral Tablet [Vetalog],FALSE,,,,2048895,RxNorm,Branded Drug,Drug
1146321,ciclesonide Metered Dose Nasal Spray [Aservo],TRUE,,20,20,2377380,RxNorm,Branded Drug Form,Drug
1146324,ciclesonide 0.343 MG/ACTUAT Metered Dose Nasal Spray [Aservo],TRUE,,20,20,2377383,RxNorm,Branded Drug,Drug
1149380,fluticasone,TRUE,,3702481,190922,41126,RxNorm,Ingredient,Drug
1592230,clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML [Pattotic],FALSE,,20,20,1870810,RxNorm,Branded Drug Comp,Drug
1592698,fluticasone propionate 0.05 MG/ACTUAT [Nasopro 24],TRUE,,20,20,1872963,RxNorm,Branded Drug Comp,Drug
1592699,fluticasone Metered Dose Nasal Spray [Nasopro 24],TRUE,,20,20,1872964,RxNorm,Branded Drug Form,Drug
1592702,fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Nasopro 24],TRUE,,7169,2510,1872967,RxNorm,Branded Drug,Drug
1593605,fluticasone propionate 0.0275 MG/ACTUAT,TRUE,,20,20,1866621,RxNorm,Clinical Drug Comp,Drug
1593606,fluticasone propionate 0.0275 MG/ACTUAT Metered Dose Nasal Spray,TRUE,,20,20,1866622,RxNorm,Clinical Drug,Drug
1593607,fluticasone propionate 0.0275 MG/ACTUAT [Flonase],TRUE,,20,20,1866623,RxNorm,Branded Drug Comp,Drug
1593608,fluticasone propionate 0.0275 MG/ACTUAT Metered Dose Nasal Spray [Flonase],TRUE,,20,20,1866624,RxNorm,Branded Drug,Drug
1593823,fluticasone propionate 0.113 MG/ACTUAT,TRUE,,20,20,1918192,RxNorm,Clinical Drug Comp,Drug
1593825,60 ACTUAT fluticasone propionate 0.113 MG/ACTUAT / salmeterol 0.014 MG/ACTUAT Dry Powder Inhaler,FALSE,,19824,4433,1918194,RxNorm,Quant Clinical Drug,Drug
1593828,fluticasone / salmeterol Dry Powder Inhaler [AirDuo],FALSE,,20,20,1918197,RxNorm,Branded Drug Form,Drug
1593830,60 ACTUAT fluticasone propionate 0.113 MG/ACTUAT / salmeterol 0.014 MG/ACTUAT Dry Powder Inhaler [AirDuo],FALSE,,1432,701,1918199,RxNorm,Quant Branded Drug,Drug
1593831,fluticasone propionate 0.113 MG/ACTUAT / salmeterol 0.014 MG/ACTUAT Dry Powder Inhaler,FALSE,,20,20,1918200,RxNorm,Clinical Drug,Drug
1593832,fluticasone propionate 0.113 MG/ACTUAT / salmeterol 0.014 MG/ACTUAT Dry Powder Inhaler [AirDuo],FALSE,,20,20,1918201,RxNorm,Branded Drug,Drug
1593833,fluticasone propionate 0.232 MG/ACTUAT,FALSE,,20,20,1918202,RxNorm,Clinical Drug Comp,Drug
1593834,60 ACTUAT fluticasone propionate 0.232 MG/ACTUAT / salmeterol 0.014 MG/ACTUAT Dry Powder Inhaler,FALSE,,16689,3493,1918203,RxNorm,Quant Clinical Drug,Drug
1593836,60 ACTUAT fluticasone propionate 0.232 MG/ACTUAT / salmeterol 0.014 MG/ACTUAT Dry Powder Inhaler [AirDuo],FALSE,,1233,554,1918205,RxNorm,Quant Branded Drug,Drug
