concept_id,include_guess,include_override,dx_core_concept_ids,dx_core_concept_names,dx_core_count,concept_name,vocabulary_id,concept_class_id,standard_concept
10524,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness",ICD10CM,6-char nonbill code,NULL
45592527,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, initial encounter",ICD10CM,7-char billing code,NULL
45577900,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, sequela",ICD10CM,7-char billing code,NULL
45553840,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, subsequent encounter",ICD10CM,7-char billing code,NULL
1572421,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum,ICD10CM,5-char nonbill code,NULL
10519,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,ICD10CM,6-char nonbill code,NULL
45539453,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ICD10CM,7-char billing code,NULL
45587608,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",ICD10CM,7-char billing code,NULL
45558585,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ICD10CM,7-char billing code,NULL
10520,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,ICD10CM,6-char nonbill code,NULL
45606910,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ICD10CM,7-char billing code,NULL
45606911,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ICD10CM,7-char billing code,NULL
45534556,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ICD10CM,7-char billing code,NULL
10517,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes,ICD10CM,6-char nonbill code,NULL
45558584,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45592525,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45597284,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10515,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less,ICD10CM,6-char nonbill code,NULL
45563402,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter",ICD10CM,7-char billing code,NULL
45592524,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, sequela",ICD10CM,7-char billing code,NULL
45592523,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter",ICD10CM,7-char billing code,NULL
10516,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes,ICD10CM,6-char nonbill code,NULL
45587607,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45606908,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45539452,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10518,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours,ICD10CM,6-char nonbill code,NULL
45606909,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",ICD10CM,7-char billing code,NULL
45553839,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",ICD10CM,7-char billing code,NULL
45549072,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ICD10CM,7-char billing code,NULL
10521,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,ICD10CM,6-char nonbill code,NULL
45539454,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10522,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,ICD10CM,6-char nonbill code,NULL
45558586,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10523,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration,ICD10CM,6-char nonbill code,NULL
45573130,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, initial encounter",ICD10CM,7-char billing code,NULL
45582815,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, sequela",ICD10CM,7-char billing code,NULL
45606912,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, subsequent encounter",ICD10CM,7-char billing code,NULL
37402994,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum with loss of consciousness status unknown,ICD10CM,6-char nonbill code,NULL
37402995,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness status unknown, initial encounter",ICD10CM,7-char billing code,NULL
37402997,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness status unknown, sequela",ICD10CM,7-char billing code,NULL
37402996,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum with loss of consciousness status unknown, subsequent encounter",ICD10CM,7-char billing code,NULL
10514,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of left cerebrum without loss of consciousness,ICD10CM,6-char nonbill code,NULL
45568239,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum without loss of consciousness, initial encounter",ICD10CM,7-char billing code,NULL
45549071,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum without loss of consciousness, sequela",ICD10CM,7-char billing code,NULL
45568240,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of left cerebrum without loss of consciousness, subsequent encounter",ICD10CM,7-char billing code,NULL
1572420,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum,ICD10CM,5-char nonbill code,NULL
10509,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,ICD10CM,6-char nonbill code,NULL
45606906,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ICD10CM,7-char billing code,NULL
45553838,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",ICD10CM,7-char billing code,NULL
45592521,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ICD10CM,7-char billing code,NULL
10510,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,ICD10CM,6-char nonbill code,NULL
45606907,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ICD10CM,7-char billing code,NULL
45539450,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ICD10CM,7-char billing code,NULL
45602101,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ICD10CM,7-char billing code,NULL
10507,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes,ICD10CM,6-char nonbill code,NULL
45577899,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45539449,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45553837,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10505,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less,ICD10CM,6-char nonbill code,NULL
45573125,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter",ICD10CM,7-char billing code,NULL
45573127,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, sequela",ICD10CM,7-char billing code,NULL
45573126,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter",ICD10CM,7-char billing code,NULL
10506,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes,ICD10CM,6-char nonbill code,NULL
45577897,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45577898,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45558583,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10508,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours,ICD10CM,6-char nonbill code,NULL
45549069,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",ICD10CM,7-char billing code,NULL
45568238,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",ICD10CM,7-char billing code,NULL
45568237,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ICD10CM,7-char billing code,NULL
10511,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,ICD10CM,6-char nonbill code,NULL
45587606,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10512,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,ICD10CM,6-char nonbill code,NULL
45582814,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10513,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration,ICD10CM,6-char nonbill code,NULL
45573129,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, initial encounter",ICD10CM,7-char billing code,NULL
45549070,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, sequela",ICD10CM,7-char billing code,NULL
45597283,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, subsequent encounter",ICD10CM,7-char billing code,NULL
37402990,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum with loss of consciousness status unknown,ICD10CM,6-char nonbill code,NULL
37402991,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness status unknown, initial encounter",ICD10CM,7-char billing code,NULL
37402993,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness status unknown, sequela",ICD10CM,7-char billing code,NULL
37402992,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum with loss of consciousness status unknown, subsequent encounter",ICD10CM,7-char billing code,NULL
10504,TRUE,,1572413,Intracranial injury,1,Contusion and laceration of right cerebrum without loss of consciousness,ICD10CM,6-char nonbill code,NULL
45544254,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum without loss of consciousness, initial encounter",ICD10CM,7-char billing code,NULL
45568236,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum without loss of consciousness, sequela",ICD10CM,7-char billing code,NULL
45573124,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of right cerebrum without loss of consciousness, subsequent encounter",ICD10CM,7-char billing code,NULL
1572427,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem",ICD10CM,5-char nonbill code,NULL
10579,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level",ICD10CM,6-char nonbill code,NULL
45582827,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ICD10CM,7-char billing code,NULL
45553856,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",ICD10CM,7-char billing code,NULL
45563414,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ICD10CM,7-char billing code,NULL
10580,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving",ICD10CM,6-char nonbill code,NULL
45597299,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ICD10CM,7-char billing code,NULL
45549086,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ICD10CM,7-char billing code,NULL
45568256,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ICD10CM,7-char billing code,NULL
10577,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes",ICD10CM,6-char nonbill code,NULL
45549085,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45558592,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45553855,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10575,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less",ICD10CM,6-char nonbill code,NULL
45573137,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, initial encounter",ICD10CM,7-char billing code,NULL
45606924,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, sequela",ICD10CM,7-char billing code,NULL
45573138,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, subsequent encounter",ICD10CM,7-char billing code,NULL
10576,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes",ICD10CM,6-char nonbill code,NULL
45587617,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45606925,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45577905,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10578,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours",ICD10CM,6-char nonbill code,NULL
45597298,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, initial encounter",ICD10CM,7-char billing code,NULL
45573139,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, sequela",ICD10CM,7-char billing code,NULL
45587618,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ICD10CM,7-char billing code,NULL
10581,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",ICD10CM,6-char nonbill code,NULL
45563415,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10582,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",ICD10CM,6-char nonbill code,NULL
45587620,TRUE,,1572413,Intracranial injury,1,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
