concept_id,desired,comments,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id
19006966,TRUE,,hydrocortisone 100 MG/ML Injectable Solution [Efcortesol],S,,NULL,,105397,Drug,RxNorm,Branded Drug
19006967,TRUE,,hydrocortisone 100 MG Injection [Solu-Cortef],S,,NULL,,105398,Drug,RxNorm,Branded Drug
19020402,TRUE,,hydrocortisone 25 MG/ML [Anusol HC],S,,NULL,,574115,Drug,RxNorm,Branded Drug Comp
19021571,TRUE,,hydrocortisone 4 MG Oral Tablet,S,,NULL,,199320,Drug,RxNorm,Clinical Drug
19022881,TRUE,,hydrocortisone 25 MG/ML [Procto-Kit],S,,NULL,,759715,Drug,RxNorm,Branded Drug Comp
19022882,TRUE,,hydrocortisone 10 MG/ML [Procto-Kit],S,,NULL,,759718,Drug,RxNorm,Branded Drug Comp
19022929,TRUE,,hydrocortisone 10 MG/ML [Itch-X Maximum Strength],S,,NULL,,761647,Drug,RxNorm,Branded Drug Comp
19023479,TRUE,,hydrocortisone 20 MG/ML [Coraz],S,,NULL,,763541,Drug,RxNorm,Branded Drug Comp
19027280,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otocidin],S,,NULL,,792117,Drug,RxNorm,Branded Drug Comp
19027430,TRUE,,hydrocortisone 0.005 MG/MG Paste,S,,NULL,,204420,Drug,RxNorm,Clinical Drug
19028399,TRUE,,hydrocortisone 5 MG/ML [Massengill],S,,NULL,,797859,Drug,RxNorm,Branded Drug Comp
19029017,TRUE,,hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML [Proctofoam-HC],S,,NULL,,828363,Drug,RxNorm,Branded Drug Comp
19032195,TRUE,,hydrocortisone 0.005 MG/MG Oral Paste [Orabase HCA],S,,NULL,,206375,Drug,RxNorm,Branded Drug
19032378,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cort-Biotic],S,,NULL,,575293,Drug,RxNorm,Branded Drug Comp
19032573,TRUE,,hydrocortisone 10 MG/ML / iodoquinol 10 MG/ML [Dermazene],S,,NULL,,575554,Drug,RxNorm,Branded Drug Comp
19034021,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Ocutricin HC],S,,NULL,,575547,Drug,RxNorm,Branded Drug Comp
19034027,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Oti-sone],S,,NULL,,575294,Drug,RxNorm,Branded Drug Comp
19034029,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Oticot HC],S,,NULL,,575645,Drug,RxNorm,Branded Drug Comp
19037464,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otocort],S,,NULL,,567348,Drug,RxNorm,Branded Drug Comp
19039286,TRUE,,hydrocortisone 5 MG Oral Tablet [Cortef],S,,NULL,,208680,Drug,RxNorm,Branded Drug
19039383,TRUE,,hydrocortisone 10 MG Oral Tablet [Cortef],S,,NULL,,208712,Drug,RxNorm,Branded Drug
19039743,TRUE,,hydrocortisone 20 MG Oral Tablet [Cortef],S,,NULL,,208816,Drug,RxNorm,Branded Drug
19040156,TRUE,,hydrocortisone 100 MG Injection [A-Hydrocort],S,,NULL,,208947,Drug,RxNorm,Branded Drug
19040967,TRUE,,hydrocortisone 2 MG/ML Oral Suspension [Cortef],S,,NULL,,209245,Drug,RxNorm,Branded Drug
19041535,TRUE,,hydrocortisone 15 MG/ML / oxytetracycline 5 MG/ML [Terra-Cortril],S,,NULL,,567244,Drug,RxNorm,Branded Drug Comp
19042519,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Masporin],S,,NULL,,567352,Drug,RxNorm,Branded Drug Comp
19043285,TRUE,,hydrocortisone 1.67 MG/ML [Cortenema],S,,NULL,,562955,Drug,RxNorm,Branded Drug Comp
19043287,TRUE,,hydrocortisone 5 MG/ML [Aeroseb-HC],S,,NULL,,567183,Drug,RxNorm,Branded Drug Comp
19043289,TRUE,,hydrocortisone 2.5 MG/ML [Cetacort],S,,NULL,,543679,Drug,RxNorm,Branded Drug Comp
19043290,TRUE,,hydrocortisone 5 MG/ML [Cetacort],S,,NULL,,567143,Drug,RxNorm,Branded Drug Comp
19043313,TRUE,,hydrocortisone 5 MG/ML [Cort-Dome],S,,NULL,,571949,Drug,RxNorm,Branded Drug Comp
19043315,TRUE,,hydrocortisone 5 MG [Cortef],S,,NULL,,569343,Drug,RxNorm,Branded Drug Comp
19043316,TRUE,,hydrocortisone 10 MG [Cortef],S,,NULL,,569375,Drug,RxNorm,Branded Drug Comp
19043317,TRUE,,hydrocortisone 20 MG [Cortef],S,,NULL,,569465,Drug,RxNorm,Branded Drug Comp
19043318,TRUE,,hydrocortisone 2 MG/ML [Cortef],S,,NULL,,569869,Drug,RxNorm,Branded Drug Comp
19043320,TRUE,,hydrocortisone 10 MG/ML [Dermacort],S,,NULL,,567198,Drug,RxNorm,Branded Drug Comp
19043346,TRUE,,hydrocortisone 25 MG/ML [Hytone],S,,NULL,,567135,Drug,RxNorm,Branded Drug Comp
19043347,TRUE,,hydrocortisone 0.01 MG/MG [Hytone],S,,NULL,,567163,Drug,RxNorm,Branded Drug Comp
19043348,TRUE,,hydrocortisone 0.025 MG/MG [Hytone],S,,NULL,,567166,Drug,RxNorm,Branded Drug Comp
19043349,TRUE,,hydrocortisone 10 MG/ML [Hytone],S,,NULL,,567173,Drug,RxNorm,Branded Drug Comp
19043371,TRUE,,hydrocortisone 25 MG/ML [Nutracort],S,,NULL,,567138,Drug,RxNorm,Branded Drug Comp
19043372,TRUE,,hydrocortisone 10 MG/ML [Nutracort],S,,NULL,,567213,Drug,RxNorm,Branded Drug Comp
19043374,TRUE,,hydrocortisone 10 MG/ML [Proctocort],S,,NULL,,543689,Drug,RxNorm,Branded Drug Comp
19043850,TRUE,,hydrocortisone 20 MG/ML [Nucort],S,,NULL,,827344,Drug,RxNorm,Branded Drug Comp
19052272,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [AK-Spore HC],S,,NULL,,567349,Drug,RxNorm,Branded Drug Comp
19052473,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Acetasol HC],S,,NULL,,573411,Drug,RxNorm,Branded Drug Comp
19052580,TRUE,,hydrocortisone 10 MG/ML [Acticort 100],S,,NULL,,567167,Drug,RxNorm,Branded Drug Comp
19053009,TRUE,,hydrocortisone 10 MG/ML [Ala-Cort],S,,NULL,,567191,Drug,RxNorm,Branded Drug Comp
19053476,TRUE,,hydrocortisone 5 MG/ML [Aloe Cort],S,,NULL,,571947,Drug,RxNorm,Branded Drug Comp
19054922,TRUE,,hydrocortisone 10 MG/ML [Aquanil HC],S,,NULL,,567169,Drug,RxNorm,Branded Drug Comp
19057671,TRUE,,hydrocortisone 5 MG/ML [Caldecort],S,,NULL,,571948,Drug,RxNorm,Branded Drug Comp
19058668,TRUE,,ciprofloxacin 2 MG/ML / hydrocortisone 10 MG/ML [Cipro HC],S,,NULL,,573221,Drug,RxNorm,Branded Drug Comp
19059580,TRUE,,hydrocortisone 10 MG/ML [Cortaid],S,,NULL,,567171,Drug,RxNorm,Branded Drug Comp
19059601,TRUE,,hydrocortisone 5 MG/ML [Cortaid],S,,NULL,,571951,Drug,RxNorm,Branded Drug Comp
19059604,TRUE,,hydrocortisone 10 MG/ML [Cortane],S,,NULL,,567211,Drug,RxNorm,Branded Drug Comp
19059610,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cortratigen],S,,NULL,,567341,Drug,RxNorm,Branded Drug Comp
19059634,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cortisporin],S,,NULL,,825188,Drug,RxNorm,Branded Drug Comp
19059688,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cortomycin],S,,NULL,,567343,Drug,RxNorm,Branded Drug Comp
19059726,TRUE,,hydrocortisone 5 MG/ML [Cotacort],S,,NULL,,567144,Drug,RxNorm,Branded Drug Comp
19061353,TRUE,,hydrocortisone 5 MG/ML [Dermolate],S,,NULL,,571956,Drug,RxNorm,Branded Drug Comp
19061357,TRUE,,hydrocortisone 5 MG/ML [Dermtex HC],S,,NULL,,567145,Drug,RxNorm,Branded Drug Comp
19061358,TRUE,,hydrocortisone 10 MG/ML [Dermtex HC],S,,NULL,,576137,Drug,RxNorm,Branded Drug Comp
19061952,TRUE,,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG [Cortisporin Ointment],S,,NULL,,688699,Drug,RxNorm,Branded Drug Comp
19063117,TRUE,,chloramphenicol 0.01 MG/MG / hydrocortisone 0.005 MG/MG / polymyxin B 10 UNT/MG [Ophthocort],S,,NULL,,569915,Drug,RxNorm,Branded Drug Comp
19063119,TRUE,,hydrocortisone 0.005 MG/MG [Orabase HCA],S,,NULL,,545756,Drug,RxNorm,Branded Drug Comp
19063153,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Drotic],S,,NULL,,567344,Drug,RxNorm,Branded Drug Comp
19063670,TRUE,,hydrocortisone 100 MG/ML Injectable Solution,S,,NULL,,250788,Drug,RxNorm,Clinical Drug
19063870,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Ear-Eze],S,,NULL,,567345,Drug,RxNorm,Branded Drug Comp
19063892,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Earsol-HC],S,,NULL,,573412,Drug,RxNorm,Branded Drug Comp
19066846,TRUE,,hydrocortisone 5 MG/ML [Genasone/Aloe],S,,NULL,,571957,Drug,RxNorm,Branded Drug Comp
19067155,TRUE,,hydrocortisone 10 MG/ML [Gly-Cort],S,,NULL,,567172,Drug,RxNorm,Branded Drug Comp
19069346,TRUE,,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML [Hysone],S,,NULL,,566911,Drug,RxNorm,Branded Drug Comp
19070931,TRUE,,hydrocortisone 25 MG/ML [Lacticare-HC],S,,NULL,,567137,Drug,RxNorm,Branded Drug Comp
19070932,TRUE,,hydrocortisone 10 MG/ML [Lacticare-HC],S,,NULL,,567212,Drug,RxNorm,Branded Drug Comp
19072499,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Masporin Otic],S,,NULL,,567346,Drug,RxNorm,Branded Drug Comp
19073018,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Otosol HC],S,,NULL,,545139,Drug,RxNorm,Branded Drug Comp
19074763,TRUE,,hydrocortisone 0.01 MG/MG / neomycin 0.005 MG/MG [Neo-Cortef],S,,NULL,,567234,Drug,RxNorm,Branded Drug Comp
19076067,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otic Ear Care],S,,NULL,,575237,Drug,RxNorm,Branded Drug Comp
19076095,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otimar],S,,NULL,,567354,Drug,RxNorm,Branded Drug Comp
19076097,TRUE,,hydrocortisone 5 MG/ML / polymyxin B 10000 UNT/ML [Otobiotic],S,,NULL,,567378,Drug,RxNorm,Branded Drug Comp
19076121,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otocort Sterile Suspension],S,,NULL,,567355,Drug,RxNorm,Branded Drug Comp
19076917,TRUE,,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML [Pedi-Cort V],S,,NULL,,566913,Drug,RxNorm,Branded Drug Comp
19076989,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Pediotic],S,,NULL,,567356,Drug,RxNorm,Branded Drug Comp
19077020,TRUE,,hydrocortisone 10 MG/ML [Penecort],S,,NULL,,567175,Drug,RxNorm,Branded Drug Comp
19078350,TRUE,,hydrocortisone 2 MG/ML Oral Suspension,S,,NULL,,310899,Drug,RxNorm,Clinical Drug
19078412,TRUE,,hydrocortisone 0.01 MG/MG [Procort],S,,NULL,,567164,Drug,RxNorm,Branded Drug Comp
19079481,TRUE,,hydrocortisone 10 MG/ML [Recort Plus],S,,NULL,,567176,Drug,RxNorm,Branded Drug Comp
19079489,TRUE,,hydrocortisone 10 MG/ML [Rederm],S,,NULL,,543683,Drug,RxNorm,Branded Drug Comp
19080565,TRUE,,hydrocortisone 10 MG/ML [Sarnol-HC],S,,NULL,,567177,Drug,RxNorm,Branded Drug Comp
19080569,TRUE,,hydrocortisone 10 MG/ML [Scalp-Aid],S,,NULL,,567178,Drug,RxNorm,Branded Drug Comp
19080591,TRUE,,hydrocortisone 10 MG/ML [Scalp-Cort],S,,NULL,,567179,Drug,RxNorm,Branded Drug Comp
19081460,TRUE,,hydrocortisone 10 MG,S,,NULL,,316056,Drug,RxNorm,Clinical Drug Comp
19081471,TRUE,,hydrocortisone 10 MG/ML,S,,NULL,,316057,Drug,RxNorm,Clinical Drug Comp
19081472,TRUE,,hydrocortisone 20 MG,S,,NULL,,316058,Drug,RxNorm,Clinical Drug Comp
19081630,TRUE,,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML [Steroform],S,,NULL,,566914,Drug,RxNorm,Branded Drug Comp
19082564,TRUE,,hydrocortisone 25 MG/ML [Texacort],S,,NULL,,567182,Drug,RxNorm,Branded Drug Comp
19083661,TRUE,,hydrocortisone 1 MG/ML,S,,NULL,,329209,Drug,RxNorm,Clinical Drug Comp
19085082,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Vasotate HC],S,,NULL,,573413,Drug,RxNorm,Branded Drug Comp
19085298,TRUE,,hydrocortisone 25 MG/ML,S,,NULL,,330460,Drug,RxNorm,Clinical Drug Comp
19085371,TRUE,,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML [Vio-Tex-HC],S,,NULL,,566915,Drug,RxNorm,Branded Drug Comp
19085551,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Vosol HC],S,,NULL,,573414,Drug,RxNorm,Branded Drug Comp
19085928,TRUE,,hydrocortisone 15 MG,S,,NULL,,330700,Drug,RxNorm,Clinical Drug Comp
19086249,TRUE,,hydrocortisone 2 MG/ML,S,,NULL,,330825,Drug,RxNorm,Clinical Drug Comp
19088174,TRUE,,hydrocortisone 4 MG,S,,NULL,,332093,Drug,RxNorm,Clinical Drug Comp
19091192,TRUE,,hydrocortisone 40 MG,S,,NULL,,334970,Drug,RxNorm,Clinical Drug Comp
19093396,TRUE,,hydrocortisone 0.005 MG/MG,S,,NULL,,339990,Drug,RxNorm,Clinical Drug Comp
19093652,TRUE,,hydrocortisone 0.015 MG/MG,S,,NULL,,340098,Drug,RxNorm,Clinical Drug Comp
19093653,TRUE,,hydrocortisone 100 MG/ML,S,,NULL,,340099,Drug,RxNorm,Clinical Drug Comp
19093712,TRUE,,hydrocortisone 0.025 MG/MG,S,,NULL,,340118,Drug,RxNorm,Clinical Drug Comp
19100321,TRUE,,hydrocortisone 10 MG/ML [Yeast-X External],S,,NULL,,574614,Drug,RxNorm,Branded Drug Comp
19109288,TRUE,,hydrocortisone 30 MG/ML,S,,NULL,,438512,Drug,RxNorm,Clinical Drug Comp
19109290,TRUE,,hydrocortisone 0.03 MG/MG,S,,NULL,,438514,Drug,RxNorm,Clinical Drug Comp
19110032,TRUE,,hydrocortisone 0.0009 MG/MG,S,,NULL,,439820,Drug,RxNorm,Clinical Drug Comp
19110247,TRUE,,hydrocortisone 0.0033 MG/MG,S,,NULL,,440442,Drug,RxNorm,Clinical Drug Comp
19110248,TRUE,,hydrocortisone 0.00127 MG/MG,S,,NULL,,440443,Drug,RxNorm,Clinical Drug Comp
19110249,TRUE,,hydrocortisone 0.0112 MG/MG,S,,NULL,,440445,Drug,RxNorm,Clinical Drug Comp
19110251,TRUE,,hydrocortisone 3.3 MG,S,,NULL,,440447,Drug,RxNorm,Clinical Drug Comp
19110256,TRUE,,hydrocortisone 0.004 MG/MG,S,,NULL,,440461,Drug,RxNorm,Clinical Drug Comp
19110325,TRUE,,hydrocortisone 40 MG/ML,S,,NULL,,440586,Drug,RxNorm,Clinical Drug Comp
19110892,TRUE,,hydrocortisone 250 MG,S,,NULL,,446496,Drug,RxNorm,Clinical Drug Comp
19114227,TRUE,,hydrocortisone 10 MG/ML [Procto-Pak],S,,NULL,,543490,Drug,RxNorm,Branded Drug Comp
19114612,TRUE,,hydrocortisone 0.1 MG/ML,S,,NULL,,544998,Drug,RxNorm,Clinical Drug Comp
19114672,TRUE,,acetic acid 20 MG/ML / hydrocortisone 10 MG/ML [Otomycet HC],S,,NULL,,545135,Drug,RxNorm,Branded Drug Comp
19115161,TRUE,,hydrocortisone 0.005 MG/MG Oral Paste,S,,NULL,,562300,Drug,RxNorm,Clinical Drug
19115584,TRUE,,hydrocortisone 1 MG/ML [Dioderm],S,,NULL,,563298,Drug,RxNorm,Branded Drug Comp
19115586,TRUE,,hydrocortisone 10 MG/ML [Hydrocortistab],S,,NULL,,563300,Drug,RxNorm,Branded Drug Comp
19116155,TRUE,,hydrocortisone 10 MG [Hydrocortone],S,,NULL,,564045,Drug,RxNorm,Branded Drug Comp
19116156,TRUE,,hydrocortisone 20 MG [Hydrocortone],S,,NULL,,564046,Drug,RxNorm,Branded Drug Comp
19116157,TRUE,,hydrocortisone 100 MG/ML [Efcortesol],S,,NULL,,564047,Drug,RxNorm,Branded Drug Comp
19116457,TRUE,,hydrocortisone 5 MG/ML / nystatin 100000 UNT/ML [Nystaform-HC],S,,NULL,,564403,Drug,RxNorm,Branded Drug Comp
19117813,TRUE,,hydrocortisone 10 MG/ML [Efcortelan],S,,NULL,,566208,Drug,RxNorm,Branded Drug Comp
19117981,TRUE,,clioquinol 30 MG/ML / hydrocortisone 5 MG/ML [Ala-Quin],S,,NULL,,566907,Drug,RxNorm,Branded Drug Comp
19117982,TRUE,,clioquinol 30 MG/ML / hydrocortisone 5 MG/ML [Steroform],S,,NULL,,566908,Drug,RxNorm,Branded Drug Comp
19118099,TRUE,,hydrocortisone 10 MG/ML [Texacort],S,,NULL,,567180,Drug,RxNorm,Branded Drug Comp
19118100,TRUE,,hydrocortisone 10 MG/ML [Theracort],S,,NULL,,567181,Drug,RxNorm,Branded Drug Comp
19118101,TRUE,,hydrocortisone 1 MG/ML [Dermtex HC],S,,NULL,,567185,Drug,RxNorm,Branded Drug Comp
19118103,TRUE,,hydrocortisone 10 MG/ML [Dermol HC],S,,NULL,,567200,Drug,RxNorm,Branded Drug Comp
19118108,TRUE,,hydrocortisone 10 MG/ML [Instacort 10],S,,NULL,,567206,Drug,RxNorm,Branded Drug Comp
19118110,TRUE,,hydrocortisone 10 MG/ML [Nogenic HC],S,,NULL,,567208,Drug,RxNorm,Branded Drug Comp
19118111,TRUE,,hydrocortisone 10 MG/ML [Procort],S,,NULL,,567209,Drug,RxNorm,Branded Drug Comp
19118112,TRUE,,hydrocortisone 10 MG/ML [Cetacort],S,,NULL,,567210,Drug,RxNorm,Branded Drug Comp
19118143,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Antibiotic Ear],S,,NULL,,567340,Drug,RxNorm,Branded Drug Comp
19118144,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otic care],S,,NULL,,567347,Drug,RxNorm,Branded Drug Comp
19118145,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cortatrigen],S,,NULL,,567350,Drug,RxNorm,Branded Drug Comp
19118146,TRUE,,hydrocortisone 10 MG / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otic Ear Care],S,,NULL,,567353,Drug,RxNorm,Branded Drug Comp
19119910,TRUE,,hydrocortisone 5 MG/ML [HC AC/Aloe],S,,NULL,,571958,Drug,RxNorm,Branded Drug Comp
19120000,TRUE,,benzoyl peroxide 50 MG/ML / hydrocortisone 5 MG/ML [Vanoxide-HC],S,,NULL,,572100,Drug,RxNorm,Branded Drug Comp
19120004,TRUE,,hydrocortisone 10 MG/ML / iodoquinol 10 MG/ML [Vytone],S,,NULL,,572105,Drug,RxNorm,Branded Drug Comp
19120058,TRUE,,hydrocortisone 0.005 MG/MG [Ivocort],S,,NULL,,572390,Drug,RxNorm,Branded Drug Comp
19120064,TRUE,,hydrocortisone 1 MG/ML [Cortaid],S,,NULL,,572443,Drug,RxNorm,Branded Drug Comp
19120348,TRUE,,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG [Neotricin HC],S,,NULL,,573503,Drug,RxNorm,Branded Drug Comp
19120349,TRUE,,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG [Ocu-Cort],S,,NULL,,573504,Drug,RxNorm,Branded Drug Comp
19120572,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Lazersporin-C],S,,NULL,,574103,Drug,RxNorm,Branded Drug Comp
19120573,TRUE,,hydrocortisone 10 MG/ML [Anusert HC-1],S,,NULL,,574106,Drug,RxNorm,Branded Drug Comp
19120574,TRUE,,hydrocortisone 10 MG/ML [Anusol HC-1],S,,NULL,,574107,Drug,RxNorm,Branded Drug Comp
19120576,TRUE,,hydrocortisone 10 MG/ML [Nupercainal HC 1%],S,,NULL,,574109,Drug,RxNorm,Branded Drug Comp
19120577,TRUE,,hydrocortisone 10 MG/ML [Preparation H Hydrocortisone],S,,NULL,,574110,Drug,RxNorm,Branded Drug Comp
19120626,TRUE,,hydrocortisone 0.01 MG/MG [Anusol HC],S,,NULL,,574332,Drug,RxNorm,Branded Drug Comp
19120731,TRUE,,hydrocortisone 1.67 MG/ML [Colocort],S,,NULL,,574908,Drug,RxNorm,Branded Drug Comp
19120824,TRUE,,hydrocortisone 5 MG/ML [Hydrocortisone-Aloe],S,,NULL,,575132,Drug,RxNorm,Branded Drug Comp
19120843,TRUE,,hydrocortisone 10 MG/ML [Caldecort],S,,NULL,,575290,Drug,RxNorm,Branded Drug Comp
19120845,TRUE,,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Antibiotic-Cort Ear],S,,NULL,,575295,Drug,RxNorm,Branded Drug Comp
19121075,TRUE,,hydrocortisone 10 MG/ML [Theracort Anti-Itch],S,,NULL,,576135,Drug,RxNorm,Branded Drug Comp
19121101,TRUE,,hydrocortisone 0.01 MG/MG [Instacort],S,,NULL,,576301,Drug,RxNorm,Branded Drug Comp
19122088,TRUE,,hydrocortisone 5 MG/ML / lidocaine 30 MG/ML [Rectacreame],S,,NULL,,584469,Drug,RxNorm,Branded Drug Comp
19122656,TRUE,,hydrocortisone 0.0055 MG/MG,S,,NULL,,603797,Drug,RxNorm,Clinical Drug Comp
