concept_id,keep_entry_in_codeset,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
964312,NA,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 6 Day Taper],Drug,RxNorm,Branded Pack,S,1998482,2018-04-02,2099-12-31,NULL
40171334,NA,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zema Pak 6 Day],Drug,RxNorm,Branded Pack,S,895526,2010-01-31,2099-12-31,NULL
793636,NA,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [ZoDex 6 Day Taper],Drug,RxNorm,Branded Pack,S,1943549,2018-02-05,2099-12-31,NULL
19133854,NA,{21 (methylprednisolone 4 MG Oral Tablet [Medrol]) } Pack [Medrol Dosepak],Drug,RxNorm,Branded Pack,S,834023,2009-03-01,2099-12-31,NULL
19129398,NA,{21 (methylprednisolone 4 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,762675,2008-03-30,2099-12-31,NULL
42707634,NA,{21 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 6 Day],Drug,RxNorm,Branded Pack,S,1235042,2012-05-07,2099-12-31,NULL
40227495,NA,{21 (prednisolone 5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,1013114,2010-10-03,2099-12-31,NULL
19135075,NA,{21 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS Uni-Pak],Drug,RxNorm,Branded Pack,S,845494,2009-05-03,2099-12-31,NULL
19129514,NA,{21 (prednisone 10 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,763185,2008-03-30,2099-12-31,NULL
19135073,NA,{21 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred 5 MG Uni-Pak],Drug,RxNorm,Branded Pack,S,845492,2009-05-03,2099-12-31,NULL
19129512,NA,{21 (prednisone 5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,763181,2008-03-30,2099-12-31,NULL
37003556,NA,{25 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,2387355,2021-01-04,2099-12-31,NULL
37003557,NA,{25 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zcort 7 Day Taper],Drug,RxNorm,Branded Pack,S,2387356,2021-01-04,2099-12-31,NULL
19133985,NA,{25 (prednisone 10 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,834395,2009-04-05,2099-12-31,NULL
1592182,NA,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,1869595,2017-08-07,2099-12-31,NULL
1366732,NA,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 7-Day Taper],Drug,RxNorm,Branded Pack,S,2118835,2019-04-01,2099-12-31,NULL
42708540,NA,{30 (4000 MG) (hydrocortisone 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream) / 18 (pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack,Drug,RxNorm,Clinical Pack,S,1246538,2012-05-07,2099-12-31,NULL
43011916,NA,{30 (4000 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream [Analpram HC]) / 18 (pramoxine hydrochloride 10 MG/ML Medicated Pad [Prax]) } Pack [Analpram E Kit with 18 Prax Medicated Pads],Drug,RxNorm,Branded Pack,S,1362213,2013-01-07,2099-12-31,NULL
43011915,NA,{30 (4000 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream) / 18 (pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack,Drug,RxNorm,Clinical Pack,S,1362212,2013-01-07,2099-12-31,NULL
19129290,NA,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,759697,2008-03-02,2099-12-31,NULL
19130269,NA,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak Junior 10 Day],Drug,RxNorm,Branded Pack,S,797022,2008-06-29,2099-12-31,NULL
40171336,NA,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zema Pak 10 Day],Drug,RxNorm,Branded Pack,S,895521,2010-01-31,2099-12-31,NULL
1511403,NA,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,2121587,2019-05-06,2099-12-31,NULL
1511404,NA,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack [Dxevo 11 Day Taper],Drug,RxNorm,Branded Pack,S,2121735,2019-05-06,2099-12-31,NULL
1592183,NA,{41 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,1869605,2017-08-07,2099-12-31,NULL
40225702,NA,{48 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 12 Day],Drug,RxNorm,Branded Pack,S,1005831,2010-09-05,2099-12-31,NULL
40225703,NA,{48 (prednisolone 5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,1005830,2010-09-05,2099-12-31,NULL
19135074,NA,{48 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS 12 Day Uni-Pak],Drug,RxNorm,Branded Pack,S,845493,2009-05-03,2099-12-31,NULL
19129513,NA,{48 (prednisone 10 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,763183,2008-03-30,2099-12-31,NULL
19135072,NA,{48 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred 5 MG 12 Day Uni-Pak],Drug,RxNorm,Branded Pack,S,845491,2009-05-03,2099-12-31,NULL
19129511,NA,{48 (prednisone 5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,763179,2008-03-30,2099-12-31,NULL
793640,NA,{49 (dexamethasone 1.5 MG Oral Tablet [Decadron]) } Pack [Decadron DP 12 Day],Drug,RxNorm,Branded Pack,S,1945072,2018-02-05,2099-12-31,NULL
792331,NA,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,1943550,2018-02-05,2099-12-31,NULL
964311,NA,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 12 Day Taper],Drug,RxNorm,Branded Pack,S,1998481,2018-04-02,2099-12-31,NULL
793637,NA,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zodex 12 Day Taper],Drug,RxNorm,Branded Pack,S,1943551,2018-02-05,2099-12-31,NULL
19129254,NA,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,759481,2008-03-02,2099-12-31,NULL
19130270,NA,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak 13 Day],Drug,RxNorm,Branded Pack,S,797023,2008-06-29,2099-12-31,NULL
40171343,NA,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zema Pak 13 Day],Drug,RxNorm,Branded Pack,S,895525,2010-01-31,2099-12-31,NULL
19130171,NA,{6 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS Uni-Pak 6 Day],Drug,RxNorm,Branded Pack,S,795861,2008-06-01,2099-12-31,NULL
19130170,NA,{6 (prednisone 10 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,795860,2008-06-01,2099-12-31,NULL
19130167,NA,{6 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred Uni-Pak 6 Day],Drug,RxNorm,Branded Pack,S,795857,2008-06-01,2099-12-31,NULL
19130166,NA,{6 (prednisone 5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,795856,2008-06-01,2099-12-31,NULL
1510781,NA,0.005 ML dexamethasone 103.4 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2045404,2018-07-02,2099-12-31,NULL
1510782,NA,0.005 ML dexamethasone 103.4 MG/ML Injection [Dexycu],Drug,RxNorm,Quant Branded Drug,S,2045409,2018-07-02,2099-12-31,NULL
904510,NA,0.1 ML triamcinolone acetonide 80 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,833449,2009-03-01,2099-12-31,NULL
904511,NA,0.1 ML triamcinolone acetonide 80 MG/ML Prefilled Syringe [Trivaris],Drug,RxNorm,Quant Branded Drug,S,835559,2009-04-05,2099-12-31,NULL
1719012,NA,1 ML dexamethasone phosphate 10 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1812079,2017-01-03,2099-12-31,NULL
35202020,NA,1 ML dexamethasone phosphate 10 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,2099700,2018-12-03,2099-12-31,NULL
1719046,NA,1 ML dexamethasone phosphate 4 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1812194,2017-01-03,2099-12-31,NULL
1719022,NA,1 ML dexamethasone phosphate 4 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,1812095,2017-01-03,2099-12-31,NULL
35606545,NA,1 ML methylprednisolone acetate 40 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743779,2016-05-02,2099-12-31,NULL
35606547,NA,1 ML methylprednisolone acetate 40 MG/ML Injection [Depo-Medrol],Drug,RxNorm,Quant Branded Drug,S,1743781,2016-05-02,2099-12-31,NULL
35606554,NA,1 ML methylprednisolone acetate 80 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743855,2016-05-02,2099-12-31,NULL
35606555,NA,1 ML methylprednisolone acetate 80 MG/ML Injection [Depo-Medrol],Drug,RxNorm,Quant Branded Drug,S,1743856,2016-05-02,2099-12-31,NULL
42629018,NA,1 ML triamcinolone acetonide 40 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1792144,2016-06-06,2099-12-31,NULL
740264,NA,1 ML triamcinolone acetonide 40 MG/ML Injection [Kenalog],Drug,RxNorm,Quant Branded Drug,S,2480108,2021-04-05,2099-12-31,NULL
40234056,NA,1 ML triamcinolone acetonide 40 MG/ML Injection [Triesence],Drug,RxNorm,Quant Branded Drug,S,1086259,2011-02-06,2099-12-31,NULL
40233205,NA,1 ML triamcinolone acetonide 40 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,1086275,2011-02-06,2099-12-31,NULL
790238,NA,1 ML triamcinolone acetonide 80 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2168095,2019-06-03,2099-12-31,NULL
790239,NA,1 ML triamcinolone acetonide 80 MG/ML Injection [Kenalog],Drug,RxNorm,Quant Branded Drug,S,2168097,2019-06-03,2099-12-31,NULL
40173401,NA,100 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,966536,2010-04-04,2099-12-31,NULL
40173402,NA,100 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],Drug,RxNorm,Quant Branded Drug,S,966538,2010-04-04,2099-12-31,NULL
40173403,NA,100 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,966540,2010-04-04,2099-12-31,NULL
40173404,NA,100 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],Drug,RxNorm,Quant Branded Drug,S,966542,2010-04-04,2099-12-31,NULL
44814264,NA,120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1490773,2014-04-07,2099-12-31,NULL
44814265,NA,120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],Drug,RxNorm,Quant Branded Drug,S,1490774,2014-04-07,2099-12-31,NULL
44814266,NA,120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1490666,2014-04-07,2099-12-31,NULL
44814267,NA,120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],Drug,RxNorm,Quant Branded Drug,S,1490668,2014-04-07,2099-12-31,NULL
40173396,NA,120 ACTUAT beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,966675,2010-04-04,2099-12-31,NULL
42708504,NA,120 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1246288,2012-05-07,2099-12-31,NULL
42708505,NA,120 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort],Drug,RxNorm,Quant Branded Drug,S,1246290,2012-05-07,2099-12-31,NULL
42708508,NA,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1246304,2012-05-07,2099-12-31,NULL
42708509,NA,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort],Drug,RxNorm,Quant Branded Drug,S,1246306,2012-05-07,2099-12-31,NULL
37003577,NA,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0048 MG/ACTUAT / glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,2387329,2021-01-04,2099-12-31,NULL
37003578,NA,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0048 MG/ACTUAT / glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler [Breztri],Drug,RxNorm,Quant Branded Drug,S,2387331,2021-01-04,2099-12-31,NULL
40173399,NA,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,966522,2010-04-04,2099-12-31,NULL
40173400,NA,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort],Drug,RxNorm,Quant Branded Drug,S,966524,2010-04-04,2099-12-31,NULL
902971,NA,120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,825318,2008-11-30,2099-12-31,NULL
19133104,NA,120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco],Drug,RxNorm,Quant Branded Drug,S,825320,2008-11-30,2099-12-31,NULL
40169216,NA,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,895994,2010-01-31,2099-12-31,NULL
40169217,NA,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],Drug,RxNorm,Quant Branded Drug,S,895996,2010-01-31,2099-12-31,NULL
40169218,NA,120 ACTUAT fluticasone propionate 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,896236,2010-01-31,2099-12-31,NULL
40169219,NA,120 ACTUAT fluticasone propionate 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair],Drug,RxNorm,Quant Branded Drug,S,896237,2010-01-31,2099-12-31,NULL
40169230,NA,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,895999,2010-01-31,2099-12-31,NULL
40169231,NA,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent],Drug,RxNorm,Quant Branded Drug,S,896001,2010-01-31,2099-12-31,NULL
40169232,NA,120 ACTUAT fluticasone propionate 0.115 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,896244,2010-01-31,2099-12-31,NULL
40169233,NA,120 ACTUAT fluticasone propionate 0.115 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair],Drug,RxNorm,Quant Branded Drug,S,896245,2010-01-31,2099-12-31,NULL
40169234,NA,120 ACTUAT fluticasone propionate 0.22 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,896004,2010-01-31,2099-12-31,NULL
40169235,NA,120 ACTUAT fluticasone propionate 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent],Drug,RxNorm,Quant Branded Drug,S,896006,2010-01-31,2099-12-31,NULL
40169236,NA,120 ACTUAT fluticasone propionate 0.23 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,896272,2010-01-31,2099-12-31,NULL
40169237,NA,120 ACTUAT fluticasone propionate 0.23 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair],Drug,RxNorm,Quant Branded Drug,S,896273,2010-01-31,2099-12-31,NULL
1361703,NA,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,2196590,2019-09-03,2099-12-31,NULL
1361704,NA,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Dulera],Drug,RxNorm,Quant Branded Drug,S,2196592,2019-09-03,2099-12-31,NULL
42708510,NA,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1246308,2012-05-07,2099-12-31,NULL
42708511,NA,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera],Drug,RxNorm,Quant Branded Drug,S,1246310,2012-05-07,2099-12-31,NULL
42708512,NA,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1246311,2012-05-07,2099-12-31,NULL
42708513,NA,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera],Drug,RxNorm,Quant Branded Drug,S,1246313,2012-05-07,2099-12-31,NULL
1361705,NA,120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,2196790,2019-09-03,2099-12-31,NULL
1361706,NA,120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,2196792,2019-09-03,2099-12-31,NULL
44818261,NA,120 ACTUAT mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1536142,2014-06-02,2099-12-31,NULL
44818262,NA,120 ACTUAT mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,1536144,2014-06-02,2099-12-31,NULL
44818265,NA,120 ACTUAT mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1536147,2014-06-02,2099-12-31,NULL
44818266,NA,120 ACTUAT mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,1536148,2014-06-02,2099-12-31,NULL
19127762,NA,120 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,746803,2007-12-30,2099-12-31,NULL
19127763,NA,120 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,746804,2007-12-30,2099-12-31,NULL
45892462,NA,14 ACTUAT budesonide 2 MG/ACTUAT Rectal Foam,Drug,RxNorm,Quant Clinical Drug,S,1596779,2015-03-02,2099-12-31,NULL
