Concept Name,Concept Id,Valid Start Date,Invalid Reason,Vocabulary Id,Concept Code,Concept Class Id,Standard Concept,Concept Name,Domain Id,Valid End Date
hydrocortisone 10 MG [Hydrocortone],19116155,2005-09-11,,RxNorm,564045,Branded Drug Comp,S,hydrocortisone 10 MG [Hydrocortone],Drug,2099-12-31
hydrocortisone 20 MG [Hydrocortone],19116156,2005-09-11,,RxNorm,564046,Branded Drug Comp,S,hydrocortisone 20 MG [Hydrocortone],Drug,2099-12-31
hydrocortisone 0.0009 MG/MG,19110032,1970-01-01,,RxNorm,439820,Clinical Drug Comp,S,hydrocortisone 0.0009 MG/MG,Drug,2099-12-31
hydrocortisone 0.0033 MG/MG,19110247,1970-01-01,,RxNorm,440442,Clinical Drug Comp,S,hydrocortisone 0.0033 MG/MG,Drug,2099-12-31
hydrocortisone 0.004 MG/MG,19110256,1970-01-01,,RxNorm,440461,Clinical Drug Comp,S,hydrocortisone 0.004 MG/MG,Drug,2099-12-31
hydrocortisone 250 MG,19110892,1970-01-01,,RxNorm,446496,Clinical Drug Comp,S,hydrocortisone 250 MG,Drug,2099-12-31
hydrocortisone Oral Suspension [Cortef],40049699,1970-01-01,,RxNorm,365876,Branded Drug Form,S,hydrocortisone Oral Suspension [Cortef],Drug,2099-12-31
hydrocortisone 5 MG Oral Tablet [Cortef],19039286,1970-01-01,,RxNorm,208680,Branded Drug,S,hydrocortisone 5 MG Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone 10 MG Oral Tablet [Cortef],19039383,1970-01-01,,RxNorm,208712,Branded Drug,S,hydrocortisone 10 MG Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone 20 MG Oral Tablet [Cortef],19039743,1970-01-01,,RxNorm,208816,Branded Drug,S,hydrocortisone 20 MG Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone 2 MG/ML Oral Suspension [Cortef],19040967,1970-01-01,,RxNorm,209245,Branded Drug,S,hydrocortisone 2 MG/ML Oral Suspension [Cortef],Drug,2099-12-31
hydrocortisone 0.5 MG/ML,975984,1970-01-01,,RxNorm,334971,Clinical Drug Comp,S,hydrocortisone 0.5 MG/ML,Drug,2099-12-31
hydrocortisone 2.5 MG,975985,1970-01-01,,RxNorm,334972,Clinical Drug Comp,S,hydrocortisone 2.5 MG,Drug,2099-12-31
hydrocortisone 0.005 MG/MG,19093396,1970-01-01,,RxNorm,339990,Clinical Drug Comp,S,hydrocortisone 0.005 MG/MG,Drug,2099-12-31
hydrocortisone 2.5 MG/ML,976014,1970-01-01,,RxNorm,343175,Clinical Drug Comp,S,hydrocortisone 2.5 MG/ML,Drug,2099-12-31
hydrocortisone 1.27 MG/ML,976016,1970-01-01,,RxNorm,343481,Clinical Drug Comp,S,hydrocortisone 1.27 MG/ML,Drug,2099-12-31
hydrocortisone 1.25 MG/ML,976017,1970-01-01,,RxNorm,343482,Clinical Drug Comp,S,hydrocortisone 1.25 MG/ML,Drug,2099-12-31
hydrocortisone 2.5 MG Oral Tablet,975588,1970-01-01,,RxNorm,249569,Clinical Drug,S,hydrocortisone 2.5 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 2.5 MG Oral Lozenge,975644,1970-01-01,,RxNorm,251452,Clinical Drug,S,hydrocortisone 2.5 MG Oral Lozenge,Drug,2099-12-31
hydrocortisone 0.0025 MG/MG,975931,1970-01-01,,RxNorm,329448,Clinical Drug Comp,S,hydrocortisone 0.0025 MG/MG,Drug,2099-12-31
hydrocortisone 2 MG/ML,19086249,1970-01-01,,RxNorm,330825,Clinical Drug Comp,S,hydrocortisone 2 MG/ML,Drug,2099-12-31
hydrocortisone 4 MG,19088174,1970-01-01,,RxNorm,332093,Clinical Drug Comp,S,hydrocortisone 4 MG,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan],40938635,2017-08-24,,RxNorm Extension,OMOP2136597,Branded Drug,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20,40938636,2017-08-24,,RxNorm Extension,OMOP2136598,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20,Drug,2099-12-31
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100,40938651,2017-08-24,,RxNorm Extension,OMOP2136613,Branded Drug Box,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50,40969685,2017-08-24,,RxNorm Extension,OMOP2167647,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20,40969686,2017-08-24,,RxNorm Extension,OMOP2167648,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20,Drug,2099-12-31
Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 100,40969704,2017-08-24,,RxNorm Extension,OMOP2167666,Branded Drug Box,S,Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 100,Drug,2099-12-31
Hydrocortisone Oral Powder [Endomethasone],40925593,2017-08-24,,RxNorm Extension,OMOP2123555,Branded Drug Form,S,Hydrocortisone Oral Powder [Endomethasone],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 150,40929193,2017-08-24,,RxNorm Extension,OMOP2127155,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 150,Drug,2099-12-31
Hydrocortisone Oral Tablet [Hydrocutan],40956862,2017-08-24,,RxNorm Extension,OMOP2154824,Branded Drug Form,S,Hydrocortisone Oral Tablet [Hydrocutan],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 50 by Galen,40948171,2017-08-24,,RxNorm Extension,OMOP2146133,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Galen,Drug,2099-12-31
hydrocortisone 250 MG [Solu-Cortef],35604735,2016-05-02,,RxNorm,1738591,Branded Drug Comp,S,hydrocortisone 250 MG [Solu-Cortef],Drug,2099-12-31
hydrocortisone 5 MG [Cortef],19043315,2005-09-11,,RxNorm,569343,Branded Drug Comp,S,hydrocortisone 5 MG [Cortef],Drug,2099-12-31
Hydrocortisone 5 MG Oral Tablet Box of 100,41303657,2017-08-24,,RxNorm Extension,OMOP2501619,Clinical Drug Box,S,Hydrocortisone 5 MG Oral Tablet Box of 100,Drug,2099-12-31
Hydrocortisone 5 MG Extended Release Oral Tablet Box of 100,41303658,2017-08-24,,RxNorm Extension,OMOP2501620,Clinical Drug Box,S,Hydrocortisone 5 MG Extended Release Oral Tablet Box of 100,Drug,2099-12-31
Hydrocortisone 5 MG Oral Tablet Box of 50,41303659,2017-08-24,,RxNorm Extension,OMOP2501621,Clinical Drug Box,S,Hydrocortisone 5 MG Oral Tablet Box of 50,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20 by Acis,41260196,2017-08-24,,RxNorm Extension,OMOP2458158,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 20 by Acis,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 50 by Sanofi,41260197,2017-08-24,,RxNorm Extension,OMOP2458159,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Sanofi,Drug,2099-12-31
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100,41126087,2017-08-24,,RxNorm Extension,OMOP2324049,Branded Drug Box,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG [Hydrocutan],41141261,2017-08-24,,RxNorm Extension,OMOP2339223,Branded Drug Comp,S,Hydrocortisone 10 MG [Hydrocutan],Drug,2099-12-31
Hydrocortisone Oral Powder,41142946,2017-08-24,,RxNorm Extension,OMOP2340908,Clinical Drug Form,S,Hydrocortisone Oral Powder,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20 by DermaPharm,41166957,2017-08-24,,RxNorm Extension,OMOP2364919,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 20 by DermaPharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 300 by Sanofi,41166958,2017-08-24,,RxNorm Extension,OMOP2364920,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 300 by Sanofi,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 20 by Galen,41166959,2017-08-24,,RxNorm Extension,OMOP2364921,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Galen,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Kohlpharma,41166960,2017-08-24,,RxNorm Extension,OMOP2364922,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Kohlpharma,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Kohlpharma,41166961,2017-08-24,,RxNorm Extension,OMOP2364923,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Kohlpharma,Drug,2099-12-31
Hydrocortisone 0.1 MG/ML [Hydrogalen],41172376,2017-08-24,,RxNorm Extension,OMOP2370338,Branded Drug Comp,S,Hydrocortisone 0.1 MG/ML [Hydrogalen],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson],41157554,2017-08-24,,RxNorm Extension,OMOP2355516,Branded Drug,S,Hydrocortisone 10 MG Oral Tablet [Hydroson],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 150 by Sanofi,41104285,2017-08-24,,RxNorm Extension,OMOP2302247,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 150 by Sanofi,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 20 by Jenapharm,41104286,2017-08-24,,RxNorm Extension,OMOP2302248,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Jenapharm,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 100,40991743,2017-08-24,,RxNorm Extension,OMOP2189705,Clinical Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 100,Drug,2099-12-31
Hydrocortisone 20 MG Oral Tablet Box of 50,40991744,2017-08-24,,RxNorm Extension,OMOP2189706,Clinical Drug Box,S,Hydrocortisone 20 MG Oral Tablet Box of 50,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,41072807,2017-08-24,,RxNorm Extension,OMOP2270769,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Cc,41072808,2017-08-24,,RxNorm Extension,OMOP2270770,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Cc,Drug,2099-12-31
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,41072809,2017-08-24,,RxNorm Extension,OMOP2270771,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50 by DermaPharm,41135694,2017-08-24,,RxNorm Extension,OMOP2333656,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50 by DermaPharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20 by DermaPharm,41135695,2017-08-24,,RxNorm Extension,OMOP2333657,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20 by DermaPharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 50 by Jenapharm,41135696,2017-08-24,,RxNorm Extension,OMOP2333658,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Jenapharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 20 by Teofarma,41135697,2017-08-24,,RxNorm Extension,OMOP2333659,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Teofarma,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 20 by Mibe,41135698,2017-08-24,,RxNorm Extension,OMOP2333660,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Mibe,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,41135699,2017-08-24,,RxNorm Extension,OMOP2333661,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,Drug,2099-12-31
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,41135700,2017-08-24,,RxNorm Extension,OMOP2333662,Marketed Product,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Shire,Drug,2099-12-31
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,41135701,2017-08-24,,RxNorm Extension,OMOP2333663,Marketed Product,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Shire,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20,41313064,2017-08-24,,RxNorm Extension,OMOP2511026,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 20,Drug,2099-12-31
Hydrocortisone 5 MG Oral Tablet [Plenadren],41313092,2017-08-24,,RxNorm Extension,OMOP2511054,Branded Drug,S,Hydrocortisone 5 MG Oral Tablet [Plenadren],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100 by DermaPharm,41322619,2017-08-24,,RxNorm Extension,OMOP2520581,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100 by DermaPharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50 by Acis,41322620,2017-08-24,,RxNorm Extension,OMOP2520582,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50 by Acis,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100,41000998,2017-08-24,,RxNorm Extension,OMOP2198960,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 300,41022680,2017-08-24,,RxNorm Extension,OMOP2220642,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 300,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50 by DermaPharm,41041544,2017-08-24,,RxNorm Extension,OMOP2239506,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 50 by DermaPharm,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,41041545,2017-08-24,,RxNorm Extension,OMOP2239507,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by Eurim-Pharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100,41094833,2017-08-24,,RxNorm Extension,OMOP2292795,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100,41250844,2017-08-24,,RxNorm Extension,OMOP2448806,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 100 by Jenapharm,41291287,2017-08-24,,RxNorm Extension,OMOP2489249,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Jenapharm,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 300 by Teofarma,41229380,2017-08-24,,RxNorm Extension,OMOP2427342,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 300 by Teofarma,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Orifarm Leverkus,41229381,2017-08-24,,RxNorm Extension,OMOP2427343,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Orifarm Leverkus,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Axicorp,41229382,2017-08-24,,RxNorm Extension,OMOP2427344,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100 by Axicorp,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100 by Acis,40979100,2017-08-24,,RxNorm Extension,OMOP2177062,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 100 by Acis,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 100 by Teofarma,40979101,2017-08-24,,RxNorm Extension,OMOP2177063,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Teofarma,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 100 by Mibe,40979102,2017-08-24,,RxNorm Extension,OMOP2177064,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Mibe,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 100 by Galen,40979103,2017-08-24,,RxNorm Extension,OMOP2177065,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Galen,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 20,41053973,2017-08-24,,RxNorm Extension,OMOP2251935,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 20,Drug,2099-12-31
Hydrocortisone 0.0333 MG/ML [Alfason],41015865,2017-08-24,,RxNorm Extension,OMOP2213827,Branded Drug Comp,S,Hydrocortisone 0.0333 MG/ML [Alfason],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50,41032084,2017-08-24,,RxNorm Extension,OMOP2230046,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydroson] Box of 50,Drug,2099-12-31
Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50,41032119,2017-08-24,,RxNorm Extension,OMOP2230081,Branded Drug Box,S,Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50,Drug,2099-12-31
hydrocortisone 10 MG [Cortef],19043316,2005-09-11,,RxNorm,569375,Branded Drug Comp,S,hydrocortisone 10 MG [Cortef],Drug,2099-12-31
hydrocortisone 20 MG [Cortef],19043317,2005-09-11,,RxNorm,569465,Branded Drug Comp,S,hydrocortisone 20 MG [Cortef],Drug,2099-12-31
hydrocortisone 2 MG/ML [Cortef],19043318,2005-09-11,,RxNorm,569869,Branded Drug Comp,S,hydrocortisone 2 MG/ML [Cortef],Drug,2099-12-31
hydrocortisone Oral Tablet [Hydrocortone],40049702,1970-01-01,,RxNorm,369182,Branded Drug Form,S,hydrocortisone Oral Tablet [Hydrocortone],Drug,2099-12-31
hydrocortisone Oral Tablet [Cortef],40049701,1970-01-01,,RxNorm,369183,Branded Drug Form,S,hydrocortisone Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone Oral Suspension,40049698,1970-01-01,,RxNorm,370647,Clinical Drug Form,S,hydrocortisone Oral Suspension,Drug,2099-12-31
hydrocortisone Oral Tablet,40049700,1970-01-01,,RxNorm,370649,Clinical Drug Form,S,hydrocortisone Oral Tablet,Drug,2099-12-31
hydrocortisone Oral Lozenge,40049693,1970-01-01,,RxNorm,372422,Clinical Drug Form,S,hydrocortisone Oral Lozenge,Drug,2099-12-31
hydrocortisone 0.1 MG/ML,19114612,2005-09-11,,RxNorm,544998,Clinical Drug Comp,S,hydrocortisone 0.1 MG/ML,Drug,2099-12-31
hydrocortisone,975125,1970-01-01,,RxNorm,5492,Ingredient,S,hydrocortisone,Drug,2099-12-31
hydrocortisone acetate 10 MG/ML,19133287,2009-01-04,,RxNorm,828360,Clinical Drug Comp,S,hydrocortisone acetate 10 MG/ML,Drug,2099-12-31
hydrocortisone 2 MG/ML Oral Suspension,19078350,1970-01-01,,RxNorm,310899,Clinical Drug,S,hydrocortisone 2 MG/ML Oral Suspension,Drug,2099-12-31
hydrocortisone 10 MG,19081460,1970-01-01,,RxNorm,316056,Clinical Drug Comp,S,hydrocortisone 10 MG,Drug,2099-12-31
hydrocortisone 20 MG,19081472,1970-01-01,,RxNorm,316058,Clinical Drug Comp,S,hydrocortisone 20 MG,Drug,2099-12-31
hydrocortisone 5 MG,975926,1970-01-01,,RxNorm,317387,Clinical Drug Comp,S,hydrocortisone 5 MG,Drug,2099-12-31
Hydrocortisone 20 MG Oral Tablet [Cortef] by Pfizer,44076142,2017-08-24,,RxNorm Extension,OMOP1070773,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Cortef] by Pfizer,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Cortef] by Pfizer,44128016,2017-08-24,,RxNorm Extension,OMOP1122647,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Cortef] by Pfizer,Drug,2099-12-31
