concept_name,concept_id,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id,valid_end_date
hydrocortisone acetate 18.5 MG/ML,40240653,2011-07-31,,RxNorm,1114852,Clinical Drug Comp,S,hydrocortisone acetate 18.5 MG/ML,Drug,2099-12-31
hydrocortisone acetate 18.5 MG/ML / pramoxine hydrochloride 11.5 MG/ML [Procort 1.85/1.15],40240656,2011-07-31,,RxNorm,1115728,Branded Drug Comp,S,hydrocortisone acetate 18.5 MG/ML / pramoxine hydrochloride 11.5 MG/ML [Procort 1.85/1.15],Drug,2099-12-31
bacitracin zinc 0.4 UNT/MG / hydrocortisone acetate 0.01 MG/MG / neomycin sulfate 0.0035 MG/MG / polymyxin B sulfate 10 UNT/MG [Neo-Polycin HC],40241221,2011-07-31,,RxNorm,1116152,Branded Drug Comp,S,bacitracin zinc 0.4 UNT/MG / hydrocortisone acetate 0.01 MG/MG / neomycin sulfate 0.0035 MG/MG / polymyxin B sulfate 10 UNT/MG [Neo-Polycin HC],Drug,2099-12-31
hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML [PramCort],40240652,2011-07-31,,RxNorm,1116501,Branded Drug Comp,S,hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML [PramCort],Drug,2099-12-31
hydrocortisone acetate 10 MG/ML [U-Cort],43011452,2013-01-07,,RxNorm,1360948,Branded Drug Comp,S,hydrocortisone acetate 10 MG/ML [U-Cort],Drug,2099-12-31
hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML [Analpram HC],43011453,2013-01-07,,RxNorm,1360950,Branded Drug Comp,S,hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML [Analpram HC],Drug,2099-12-31
hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML [Analpram HC],43011454,2013-01-07,,RxNorm,1360955,Branded Drug Comp,S,hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML [Analpram HC],Drug,2099-12-31
hydrocortisone probutate 1 MG/ML,43014077,2013-03-04,,RxNorm,1370745,Clinical Drug Comp,S,hydrocortisone probutate 1 MG/ML,Drug,2099-12-31
hydrocortisone probutate 1 MG/ML [Pandel],43014080,2013-03-04,,RxNorm,1370747,Branded Drug Comp,S,hydrocortisone probutate 1 MG/ML [Pandel],Drug,2099-12-31
hydrocortisone valerate 0.002 MG/MG,43014086,2013-03-04,,RxNorm,1370749,Clinical Drug Comp,S,hydrocortisone valerate 0.002 MG/MG,Drug,2099-12-31
hydrocortisone valerate 0.002 MG/MG [Westcort],43014089,2013-03-04,,RxNorm,1370751,Branded Drug Comp,S,hydrocortisone valerate 0.002 MG/MG [Westcort],Drug,2099-12-31
hydrocortisone valerate 2 MG/ML,43014090,2013-03-04,,RxNorm,1370753,Clinical Drug Comp,S,hydrocortisone valerate 2 MG/ML,Drug,2099-12-31
hydrocortisone valerate 2 MG/ML [Westcort],43014093,2013-03-04,,RxNorm,1370755,Branded Drug Comp,S,hydrocortisone valerate 2 MG/ML [Westcort],Drug,2099-12-31
hydrocortisone butyrate 0.001 MG/MG,43013655,2013-03-04,,RxNorm,1370757,Clinical Drug Comp,S,hydrocortisone butyrate 0.001 MG/MG,Drug,2099-12-31
hydrocortisone butyrate 0.001 MG/MG [Locoid],43013658,2013-03-04,,RxNorm,1370759,Branded Drug Comp,S,hydrocortisone butyrate 0.001 MG/MG [Locoid],Drug,2099-12-31
hydrocortisone butyrate 1 MG/ML,43013659,2013-03-04,,RxNorm,1370762,Clinical Drug Comp,S,hydrocortisone butyrate 1 MG/ML,Drug,2099-12-31
hydrocortisone butyrate 1 MG/ML [Locoid],43013666,2013-03-04,,RxNorm,1370764,Branded Drug Comp,S,hydrocortisone butyrate 1 MG/ML [Locoid],Drug,2099-12-31
hydrocortisone acetate 0.01 MG/MG [Cortisil MDX],43525625,2013-04-01,,RxNorm,1373236,Branded Drug Comp,S,hydrocortisone acetate 0.01 MG/MG [Cortisil MDX],Drug,2099-12-31
hydrocortisone acetate 25 MG [Rectacort-HC],43532628,2013-08-05,,RxNorm,1429376,Branded Drug Comp,S,hydrocortisone acetate 25 MG [Rectacort-HC],Drug,2099-12-31
hydrocortisone acetate 19 MG/ML,43560721,2013-10-07,,RxNorm,1436946,Clinical Drug Comp,S,hydrocortisone acetate 19 MG/ML,Drug,2099-12-31
hydrocortisone acetate 19 MG/ML / iodoquinol 10 MG/ML [Vytone],43560724,2013-10-07,,RxNorm,1436948,Branded Drug Comp,S,hydrocortisone acetate 19 MG/ML / iodoquinol 10 MG/ML [Vytone],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML [Gadaderm Hydrocortisone],44506401,2013-11-04,,RxNorm,1438753,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML [Gadaderm Hydrocortisone],Drug,2099-12-31
clioquinol 30 MG/ML / hydrocortisone 5 MG/ML [Dermasorb AF],44507503,2013-12-02,,RxNorm,1442845,Branded Drug Comp,S,clioquinol 30 MG/ML / hydrocortisone 5 MG/ML [Dermasorb AF],Drug,2099-12-31
hydrocortisone 20 MG/ML [Dermasorb HC],44507847,2013-12-02,,RxNorm,1442868,Branded Drug Comp,S,hydrocortisone 20 MG/ML [Dermasorb HC],Drug,2099-12-31
hydrocortisone 10 MG/ML [Dermacool HC],44784836,2014-01-06,,RxNorm,1483215,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Dermacool HC],Drug,2099-12-31
hydrocortisone 10 MG/ML [Resicort],44784837,2014-01-06,,RxNorm,1483220,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Resicort],Drug,2099-12-31
A-Hydrocort Injectable Product,36221491,2016-08-01,,RxNorm,1165880,Branded Dose Group,C,A-Hydrocort Injectable Product,Drug,2099-12-31
Cortef Oral Liquid Product,36235043,2016-08-01,,RxNorm,1170954,Branded Dose Group,C,Cortef Oral Liquid Product,Drug,2099-12-31
Cortef Oral Product,36235044,2016-08-01,,RxNorm,1170955,Branded Dose Group,C,Cortef Oral Product,Drug,2099-12-31
Cortef Pill,36235045,2016-08-01,,RxNorm,1170956,Branded Dose Group,C,Cortef Pill,Drug,2099-12-31
Efcortesol Injectable Product,36237760,2016-08-01,,RxNorm,1173216,Branded Dose Group,C,Efcortesol Injectable Product,Drug,2099-12-31
Hydrocortone Acetate Injectable Product,36237253,2016-08-01,,RxNorm,1174838,Branded Dose Group,C,Hydrocortone Acetate Injectable Product,Drug,2099-12-31
Hydrocortone Injectable Product,36237254,2016-08-01,,RxNorm,1174839,Branded Dose Group,C,Hydrocortone Injectable Product,Drug,2099-12-31
Hydrocortone Oral Product,36237255,2016-08-01,,RxNorm,1174840,Branded Dose Group,C,Hydrocortone Oral Product,Drug,2099-12-31
Hydrocortone Phosphate Injectable Product,36237256,2016-08-01,,RxNorm,1174841,Branded Dose Group,C,Hydrocortone Phosphate Injectable Product,Drug,2099-12-31
Hydrocortone Pill,36237257,2016-08-01,,RxNorm,1174842,Branded Dose Group,C,Hydrocortone Pill,Drug,2099-12-31
hydrocortisone acetate 15 MG/ML,45776722,2014-12-01,,RxNorm,1549473,Clinical Drug Comp,S,hydrocortisone acetate 15 MG/ML,Drug,2099-12-31
hydrocortisone 10 MG/ML [Selsun Blue Scalp Itch],46233830,2015-07-06,,RxNorm,1650985,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Selsun Blue Scalp Itch],Drug,2099-12-31
hydrocortisone 10 MG/ML [Blue-Emu Anti-Itch],46287708,2015-10-05,,RxNorm,1664356,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Blue-Emu Anti-Itch],Drug,2099-12-31
hydrocortisone acetate 25 MG [Hemmorex],35602897,2016-05-02,,RxNorm,1674194,Branded Drug Comp,S,hydrocortisone acetate 25 MG [Hemmorex],Drug,2099-12-31
hydrocortisone acetate 30 MG [Hemmorex],35602901,2016-05-02,,RxNorm,1674199,Branded Drug Comp,S,hydrocortisone acetate 30 MG [Hemmorex],Drug,2099-12-31
hydrocortisone 25 MG/ML [Ala-Cort],35605214,2016-05-02,,RxNorm,1729510,Branded Drug Comp,S,hydrocortisone 25 MG/ML [Ala-Cort],Drug,2099-12-31
hydrocortisone 1000 MG,35604728,2016-05-02,,RxNorm,1738584,Clinical Drug Comp,S,hydrocortisone 1000 MG,Drug,2099-12-31
hydrocortisone Injection,35604729,2016-05-02,,RxNorm,1738585,Clinical Drug Form,S,hydrocortisone Injection,Drug,2099-12-31
hydrocortisone 1000 MG Injection,35604730,2016-05-02,,RxNorm,1738586,Clinical Drug,S,hydrocortisone 1000 MG Injection,Drug,2099-12-31
hydrocortisone 1000 MG [Solu-Cortef],35604731,2016-05-02,,RxNorm,1738587,Branded Drug Comp,S,hydrocortisone 1000 MG [Solu-Cortef],Drug,2099-12-31
hydrocortisone Injection [Solu-Cortef],35604732,2016-05-02,,RxNorm,1738588,Branded Drug Form,S,hydrocortisone Injection [Solu-Cortef],Drug,2099-12-31
hydrocortisone 1000 MG Injection [Solu-Cortef],35604733,2016-05-02,,RxNorm,1738589,Branded Drug,S,hydrocortisone 1000 MG Injection [Solu-Cortef],Drug,2099-12-31
hydrocortisone 250 MG Injection,35604734,2016-05-02,,RxNorm,1738590,Clinical Drug,S,hydrocortisone 250 MG Injection,Drug,2099-12-31
hydrocortisone 250 MG [Solu-Cortef],35604735,2016-05-02,,RxNorm,1738591,Branded Drug Comp,S,hydrocortisone 250 MG [Solu-Cortef],Drug,2099-12-31
hydrocortisone 250 MG Injection [Solu-Cortef],35604736,2016-05-02,,RxNorm,1738592,Branded Drug,S,hydrocortisone 250 MG Injection [Solu-Cortef],Drug,2099-12-31
hydrocortisone 500 MG,35604737,2016-05-02,,RxNorm,1738593,Clinical Drug Comp,S,hydrocortisone 500 MG,Drug,2099-12-31
hydrocortisone 500 MG Injection,35604738,2016-05-02,,RxNorm,1738594,Clinical Drug,S,hydrocortisone 500 MG Injection,Drug,2099-12-31
hydrocortisone 500 MG [Solu-Cortef],35604739,2016-05-02,,RxNorm,1738595,Branded Drug Comp,S,hydrocortisone 500 MG [Solu-Cortef],Drug,2099-12-31
hydrocortisone 500 MG Injection [Solu-Cortef],35604740,2016-05-02,,RxNorm,1738596,Branded Drug,S,hydrocortisone 500 MG Injection [Solu-Cortef],Drug,2099-12-31
hydrocortisone 100 MG,35604741,2016-05-02,,RxNorm,1738598,Clinical Drug Comp,S,hydrocortisone 100 MG,Drug,2099-12-31
hydrocortisone 100 MG [Solu-Cortef],35604742,2016-05-02,,RxNorm,1738600,Branded Drug Comp,S,hydrocortisone 100 MG [Solu-Cortef],Drug,2099-12-31
hydrocortisone 100 MG [A-Hydrocort],35604743,2016-05-02,,RxNorm,1738602,Branded Drug Comp,S,hydrocortisone 100 MG [A-Hydrocort],Drug,2099-12-31
hydrocortisone Injection [A-Hydrocort],35604744,2016-05-02,,RxNorm,1738603,Branded Drug Form,S,hydrocortisone Injection [A-Hydrocort],Drug,2099-12-31
hydrocortisone 10 MG/ML [Psoriasin Itch],35605221,2016-05-02,,RxNorm,1739868,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Psoriasin Itch],Drug,2099-12-31
gentamicin sulfate 1.5 MG/ML / hydrocortisone aceponate 1.11 MG/ML / miconazole nitrate 15.1 MG/ML [Easotic],1592221,2017-08-07,,RxNorm,1870701,Branded Drug Comp,S,gentamicin sulfate 1.5 MG/ML / hydrocortisone aceponate 1.11 MG/ML / miconazole nitrate 15.1 MG/ML [Easotic],Drug,2099-12-31
hydrocortisone 10 MG Oral Tablet,975168,1970-01-01,,RxNorm,197782,Clinical Drug,S,hydrocortisone 10 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 20 MG Oral Tablet,975169,1970-01-01,,RxNorm,197783,Clinical Drug,S,hydrocortisone 20 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 5 MG Oral Tablet,975193,1970-01-01,,RxNorm,197787,Clinical Drug,S,hydrocortisone 5 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 0.005 MG/MG [Cortizone],792831,2018-02-05,,RxNorm,1987141,Branded Drug Comp,S,hydrocortisone 0.005 MG/MG [Cortizone],Drug,2099-12-31
hydrocortisone 5 MG/ML [Cortizone],792834,2018-02-05,,RxNorm,1987145,Branded Drug Comp,S,hydrocortisone 5 MG/ML [Cortizone],Drug,2099-12-31
hydrocortisone 0.01 MG/MG [Cortizone],792836,2018-02-05,,RxNorm,1987151,Branded Drug Comp,S,hydrocortisone 0.01 MG/MG [Cortizone],Drug,2099-12-31
hydrocortisone 10 MG/ML [Cortizone],792838,2018-02-05,,RxNorm,1987155,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Cortizone],Drug,2099-12-31
hydrocortisone 4 MG Oral Tablet,19021571,1970-01-01,,RxNorm,199320,Clinical Drug,S,hydrocortisone 4 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 25 MG/ML Injectable Suspension,975504,1970-01-01,,RxNorm,238754,Clinical Drug,S,hydrocortisone 25 MG/ML Injectable Suspension,Drug,2099-12-31
hydrocortisone 100 MG Injection,975505,1970-01-01,,RxNorm,238755,Clinical Drug,S,hydrocortisone 100 MG Injection,Drug,2099-12-31
hydrocortisone 0.01 MG/MG [Hemorrodil Plus],44814308,2014-04-07,,RxNorm,1491719,Branded Drug Comp,S,hydrocortisone 0.01 MG/MG [Hemorrodil Plus],Drug,2099-12-31
bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG [Vetropolycin HC],45775905,2014-12-01,,RxNorm,1541112,Branded Drug Comp,S,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG [Vetropolycin HC],Drug,2099-12-31
hydrocortisone acetate 0.02 MG/MG [CortAlo],45776281,2014-12-01,,RxNorm,1542797,Branded Drug Comp,S,hydrocortisone acetate 0.02 MG/MG [CortAlo],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cortisporin],45776286,2014-12-01,,RxNorm,1542805,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Cortisporin],Drug,2099-12-31
hydrocortisone acetate 0.015 MG/MG,45776377,2014-12-01,,RxNorm,1542924,Clinical Drug Comp,S,hydrocortisone acetate 0.015 MG/MG,Drug,2099-12-31
hydrocortisone acetate 100 MG/ML,45774728,2014-12-01,,RxNorm,1545171,Clinical Drug Comp,S,hydrocortisone acetate 100 MG/ML,Drug,2099-12-31
hydrocortisone acetate 100 MG/ML [Cortifoam],45774730,2014-12-01,,RxNorm,1545173,Branded Drug Comp,S,hydrocortisone acetate 100 MG/ML [Cortifoam],Drug,2099-12-31
benzocaine 15 MG/ML / chloroxylenol 1 MG/ML / hydrocortisone acetate 10 MG/ML [Myoxin],45776611,2014-12-01,,RxNorm,1549398,Branded Drug Comp,S,benzocaine 15 MG/ML / chloroxylenol 1 MG/ML / hydrocortisone acetate 10 MG/ML [Myoxin],Drug,2099-12-31
benzocaine 15 MG/ML / chloroxylenol 1 MG/ML / hydrocortisone acetate 10 MG/ML [TriOxin],45776615,2014-12-01,,RxNorm,1549402,Branded Drug Comp,S,benzocaine 15 MG/ML / chloroxylenol 1 MG/ML / hydrocortisone acetate 10 MG/ML [TriOxin],Drug,2099-12-31
hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Casporyn HC],37496942,2020-05-04,,RxNorm,2201594,Branded Drug Comp,S,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Casporyn HC],Drug,2099-12-31
hydrocortisone 0.005 MG/MG Oral Paste [Orabase HCA],19032195,1970-01-01,,RxNorm,206375,Branded Drug,S,hydrocortisone 0.005 MG/MG Oral Paste [Orabase HCA],Drug,2099-12-31
hydrocortisone 5 MG Oral Tablet [Cortef],19039286,1970-01-01,,RxNorm,208680,Branded Drug,S,hydrocortisone 5 MG Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone 10 MG Oral Tablet [Cortef],19039383,1970-01-01,,RxNorm,208712,Branded Drug,S,hydrocortisone 10 MG Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone 20 MG Oral Tablet [Cortef],19039743,1970-01-01,,RxNorm,208816,Branded Drug,S,hydrocortisone 20 MG Oral Tablet [Cortef],Drug,2099-12-31
hydrocortisone 25 MG/ML [Procto-Med],42629545,2016-06-06,,RxNorm,1790681,Branded Drug Comp,S,hydrocortisone 25 MG/ML [Procto-Med],Drug,2099-12-31
hydrocortisone 7.5 MG/ML,42629025,2016-06-06,,RxNorm,1792288,Clinical Drug Comp,S,hydrocortisone 7.5 MG/ML,Drug,2099-12-31
hydrocortisone acetate 20 MG/ML [MiCort-HC],40220615,2016-10-03,,RxNorm,1809639,Branded Drug Comp,S,hydrocortisone acetate 20 MG/ML [MiCort-HC],Drug,2099-12-31
hydrocortisone acetate 25 MG/ML [MiCort-HC],40220660,2016-10-03,,RxNorm,1809844,Branded Drug Comp,S,hydrocortisone acetate 25 MG/ML [MiCort-HC],Drug,2099-12-31
hydrocortisone 10 MG/ML / ketoconazole 1.5 MG/ML [Malacetic],42543959,2018-05-07,,RxNorm,2003647,Branded Drug Comp,S,hydrocortisone 10 MG/ML / ketoconazole 1.5 MG/ML [Malacetic],Drug,2099-12-31
hydrocortisone 0.005 MG/MG Paste,19027430,1970-01-01,,RxNorm,204420,Clinical Drug,S,hydrocortisone 0.005 MG/MG Paste,Drug,2099-12-31
hydrocortisone 100 MG Injection [A-Hydrocort],19040156,1970-01-01,,RxNorm,208947,Branded Drug,S,hydrocortisone 100 MG Injection [A-Hydrocort],Drug,2099-12-31
hydrocortisone 2 MG/ML Oral Suspension [Cortef],19040967,1970-01-01,,RxNorm,209245,Branded Drug,S,hydrocortisone 2 MG/ML Oral Suspension [Cortef],Drug,2099-12-31
hydrocortisone 2 MG/ML Oral Suspension,19078350,1970-01-01,,RxNorm,310899,Clinical Drug,S,hydrocortisone 2 MG/ML Oral Suspension,Drug,2099-12-31
hydrocortisone 10 MG,19081460,1970-01-01,,RxNorm,316056,Clinical Drug Comp,S,hydrocortisone 10 MG,Drug,2099-12-31
