concept_id	concept_name	standard_concept	standard_concept_caption	invalid_reason	invalid_reason_caption	concept_code	domain_id	vocabulary_id	concept_class_id
582731	budesonide .5mg/2mL / .25mg/2mL RESPIRATORY (INHALATION) INHALANT	C		NULL		853dded7-a3fc-d003-e053-2a91aa0aa40a	Drug	SPL	Prescription Drug
582797	mometasone furoate 1mg/g TOPICAL CREAM	C		NULL		85427280-e0fc-16e8-e053-2a91aa0a669f	Drug	SPL	Prescription Drug
582916	nystatin and triamcinolone acetonide 1mg/g / 100000[USP'U]/g TOPICAL CREAM	C		NULL		857f7604-b8d5-5cbd-e053-2991aa0a84a1	Drug	SPL	Prescription Drug
582982	fluticasone propionate and salmeterol 50ug/1 / 500ug/1 RESPIRATORY (INHALATION) POWDER [advair diskus]	C		NULL		8591003c-c2f7-df65-e053-2a91aa0a42fb	Drug	SPL	Prescription Drug
583014	fluticasone propionate and salmeterol 50ug/1 / 100ug/1 RESPIRATORY (INHALATION) POWDER [advair diskus]	C		NULL		8592e901-9314-6fb6-e053-2a91aa0ad33b	Drug	SPL	Prescription Drug
583142	fluticasone propionate and salmeterol 50ug/1 / 250ug/1 RESPIRATORY (INHALATION) POWDER [advair diskus]	C		NULL		85ac65e3-3232-15f6-e053-2991aa0a5a77	Drug	SPL	Prescription Drug
583229	mometasone furoate 1mg/g TOPICAL OINTMENT	C		NULL		85baf29c-44d0-30d5-e053-2a91aa0a7f52	Drug	SPL	Prescription Drug
583347	ciclesonide 50ug/1 NASAL SPRAY [omnaris]	C		NULL		af866970-b12f-4c99-b745-62a2bc2cf5b0	Drug	SPL	Prescription Drug
583414	fluticasone propionate .5mg/mL TOPICAL LOTION [beser]	C		NULL		d15a770d-02c2-484b-aa35-c3bbedf1f629	Drug	SPL	Prescription Drug
583453	ciclesonide 80ug/1 / 160ug/1 RESPIRATORY (INHALATION) AEROSOL, METERED [alvesco]	C		NULL		e126ff27-7c49-4404-bb42-31afd7ed9b3b	Drug	SPL	Prescription Drug
584418	fluticasone propionate .5mg/mL TOPICAL LOTION	NULL		NULL		435380970	Drug	NDC	9-digit NDC
584452	fluticasone propionate and salmeterol 50ug/1 / 100ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		500904211	Drug	NDC	9-digit NDC
584453	fluticasone propionate and salmeterol 50ug/1 / 250ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		500904213	Drug	NDC	9-digit NDC
584454	fluticasone propionate and salmeterol 50ug/1 / 500ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		500904214	Drug	NDC	9-digit NDC
584577	triamcinolone acetonide 1mg/g TOPICAL CREAM	NULL		NULL		619190650	Drug	NDC	9-digit NDC
584676	mometasone furoate 1mg/g TOPICAL CREAM	NULL		NULL		705181992	Drug	NDC	9-digit NDC
584680	nystatin and triamcinolone acetonide 1mg/g / 100000[USP'U]/g TOPICAL CREAM	NULL		NULL		705181997	Drug	NDC	9-digit NDC
585184	fluticasone propionate 0.5 MG/ML Topical Lotion [Beser]	NULL		NULL		43538097060	Drug	NDC	11-digit NDC
585185	60 ACTUAT fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	NULL		NULL		50090421100	Drug	NDC	11-digit NDC
585186	60 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	NULL		NULL		50090421300	Drug	NDC	11-digit NDC
585187	60 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	NULL		NULL		50090421400	Drug	NDC	11-digit NDC
585364	mometasone furoate 1 MG/ML Topical Cream	NULL		D		70518199200	Drug	NDC	11-digit NDC
585402	nystatin 100000 UNT/ML / triamcinolone acetonide 1 MG/ML Topical Cream	NULL		D		70518199700	Drug	NDC	11-digit NDC
585789	fluticasone propionate KIT [beser]	C		NULL		e9f049a0-1e59-4193-8bf4-ef4f03ea007f	Drug	SPL	Prescription Drug
585791	triamcinolone acetonide KIT [treziopak]	C		NULL		fad0ba68-f30b-4fde-ae7d-9dd9c89eb338	Drug	SPL	Prescription Drug
585811	fluticasone propionate KIT	NULL		NULL		435380971	Drug	NDC	9-digit NDC
585840	fluticasone propionate 0.5 MG/ML Topical Lotion [Beser]	NULL		NULL		43538097160	Drug	NDC	11-digit NDC
799959	triamcinolone acetonide 5mg/g TOPICAL OINTMENT	C		NULL		e5523c82-e156-4cd7-aa11-b2e89ac10f95	Drug	SPL	Prescription Drug
800107	mometasone furoate 1mg/g TOPICAL CREAM	NULL		NULL		530028320	Drug	NDC	9-digit NDC
800108	mometasone furoate 1mg/g TOPICAL CREAM	NULL		NULL		530028321	Drug	NDC	9-digit NDC
800109	triamcinolone acetonide 1mg/g TOPICAL OINTMENT	NULL		NULL		530029121	Drug	NDC	9-digit NDC
800194	triamcinolone acetonide .25mg/g TOPICAL CREAM	NULL		NULL		687887501	Drug	NDC	9-digit NDC
800195	triamcinolone acetonide 5mg/g TOPICAL CREAM	NULL		NULL		687887506	Drug	NDC	9-digit NDC
590935	BUDESONIDE - budesonide capsule	C		NULL		f845a6f1-ac8d-45b6-a673-87ad1a2fd7be	Drug	SPL	Prescription Drug
591050	BUDESONIDE INHALATION SUSPENSION - budesonide inhalant	C		NULL		dcb35488-23c5-4e7b-ab86-8406cf855748	Drug	SPL	Prescription Drug
591246	triamcinolone acetonide 55ug/1 NASAL SPRAY, METERED [harris teeter nasal allergy]	C		NULL		35748734-fa88-401e-a133-039888016eac	Drug	SPL	OTC Drug
591341	triamcinolone acetonide 40mg/mL INTRA-ARTICULAR; INTRAMUSCULAR INJECTION, SUSPENSION [kenalog-40]	C		NULL		52a10313-faa5-4153-b4d4-5ba6bc270c74	Drug	SPL	Prescription Drug
591368	triamcinolone acetonide 55ug/1 NASAL SPRAY, METERED [equate nasal allergy]	C		NULL		5c8941a2-0527-4875-944e-eb11b3bddaad	Drug	SPL	OTC Drug
591377	triamcinolone acetonide 55ug/1 NASAL SPRAY, METERED [nasal allergy]	C		NULL		5f838bb8-67fc-49b8-81a1-7093ede1f5e0	Drug	SPL	OTC Drug
591576	budesonide 3mg/1 ORAL CAPSULE	C		NULL		7d8c50b0-f89f-1f4c-e053-2991aa0a38f4	Drug	SPL	Prescription Drug
592922	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		e79fd6e7-0b0d-42ab-99d5-82b6635c1364	Drug	SPL	OTC Drug
593338	budesonide 3mg/1 ORAL CAPSULE	NULL		NULL		606870421	Drug	NDC	9-digit NDC
593407	budesonide .5mg/2mL ORAL INHALANT	NULL		NULL		687887314	Drug	NDC	9-digit NDC
593592	budesonide 3 MG Delayed Release Oral Capsule	NULL		NULL		60687042125	Drug	NDC	11-digit NDC
593593	budesonide 0.25 MG/ML Inhalation Suspension	NULL		NULL		68788731403	Drug	NDC	11-digit NDC
715850	formoterol, glycopyrronium bromide and budesonide	C		NULL		R03AL11	Drug	ATC	ATC 5th
715851	indacaterol and mometasone	C		NULL		R03AK14	Drug	ATC	ATC 5th
715852	indacaterol, glycopyrronium bromide and mometasone	C		NULL		R03AL12	Drug	ATC	ATC 5th
727921	FLUTICASONE PROPIONATE - fluticasone propionate spray, metered	C		NULL		11a32c04-8a85-49d8-b5eb-3ea9b792e876	Drug	SPL	OTC Drug
727923	FLUTICASONE PROPIONATE - fluticasone propionate spray, metered	C		NULL		a778d891-b9e9-47d7-b474-4baca8be1dbd	Drug	SPL	OTC Drug
728081	BREO ELLIPTA - fluticasone furoate and vilanterol trifenatate powder	C		NULL		37bfbe82-e68e-44d3-98f1-e9f71eb92fc9	Drug	SPL	Prescription Drug
728132	BUDESONIDE INHALATION SUSPENSION - budesonide inhalant	C		NULL		d9656442-4587-4867-9a8c-5f5b0402936e	Drug	SPL	Prescription Drug
728205	triamcinolone acetonide 1mg/g / 5mg/g TOPICAL CREAM	C		NULL		1255b66d-4bce-4d97-8019-27a19f0276c4	Drug	SPL	Prescription Drug
728215	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		18ca57ec-3b5b-40ad-9eeb-1d058066a33d	Drug	SPL	OTC Drug
728219	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		1a3a9547-bf91-4f76-9511-d53fae950df2	Drug	SPL	OTC Drug
728233	triamcinolone acetonide 1mg/g TOPICAL CREAM	C		NULL		21417ce0-9f80-4da2-a1db-0391fe1c04d5	Drug	SPL	Prescription Drug
728238	triamcinolone acetonide 5mg/g TOPICAL CREAM	C		NULL		2390d27c-1dd2-42e1-9d71-22d433ab605c	Drug	SPL	Prescription Drug
728666	fluticasone furoate and vilanterol trifenatate 25ug/1 / 100ug/1 RESPIRATORY (INHALATION) POWDER [breo ellipta]	C		NULL		86bfbbaa-9de6-2805-e053-2991aa0a8c58	Drug	SPL	Prescription Drug
728832	budesonide 1mg/2mL / .5mg/2mL / .25mg/2mL ORAL INHALANT	C		NULL		96b4cac7-0f23-4de1-af03-a6fba4d99fc7	Drug	SPL	Prescription Drug
728894	triamcinolone acetonide 1mg/g TOPICAL CREAM	C		NULL		badd5f9a-c611-438e-828a-5b819533a135	Drug	SPL	Prescription Drug
728923	triamcinolone acetonide 1mg/g DENTAL PASTE	C		NULL		c910d7ea-c692-421d-8d82-566f519602a9	Drug	SPL	Prescription Drug
728989	triamcinolone acetonide 1mg/g TOPICAL PASTE	C		NULL		f4ff7cf7-1c0a-429e-92bc-f0fa1f4d167a	Drug	SPL	Prescription Drug
729098	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	NULL		NULL		503830968	Drug	NDC	9-digit NDC
729220	fluticasone furoate and vilanterol trifenatate 25ug/1 / 100ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		705182028	Drug	NDC	9-digit NDC
729249	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	NULL		NULL		725590002	Drug	NDC	9-digit NDC
729290	budesonide .25mg/2mL ORAL INHALANT	NULL		NULL		762820640	Drug	NDC	9-digit NDC
729291	budesonide .5mg/2mL ORAL INHALANT	NULL		NULL		762820641	Drug	NDC	9-digit NDC
729292	budesonide 1mg/2mL ORAL INHALANT	NULL		NULL		762820642	Drug	NDC	9-digit NDC
729376	budesonide 0.5 MG/ML Inhalation Suspension	NULL		NULL		76282064238	Drug	NDC	11-digit NDC
729377	budesonide 0.125 MG/ML Inhalation Suspension	NULL		NULL		76282064038	Drug	NDC	11-digit NDC
729378	budesonide 0.25 MG/ML Inhalation Suspension	NULL		NULL		76282064138	Drug	NDC	11-digit NDC
729434	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		50383096816	Drug	NDC	11-digit NDC
729458	30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Breo]	NULL		NULL		70518202800	Drug	NDC	11-digit NDC
729459	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		50383096818	Drug	NDC	11-digit NDC
729460	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		50383096836	Drug	NDC	11-digit NDC
729461	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		50383096837	Drug	NDC	11-digit NDC
729462	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		50383096838	Drug	NDC	11-digit NDC
729463	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		72559000201	Drug	NDC	11-digit NDC
736139	TRIAMCINOLONE ACETONIDE - triamcinolone acetonide cream	C		NULL		96872e39-c5f1-49c5-8d68-e231e60b6827	Drug	SPL	Prescription Drug
736392	FLUTICASONE PROPIONATE AND SALMETEROL DISKUS - fluticasone propionate and salmeterol powder	C		NULL		6eb6ddac-fa26-43b3-bf3e-5b7b58138fdc	Drug	SPL	Prescription Drug
736448	triamcinolone acetonide .25mg/g TOPICAL CREAM	C		NULL		071bbae9-6925-4d8a-a5c8-b0f694f3d0c3	Drug	SPL	Prescription Drug
736600	triamcinolone acetonide 55ug/1 NASAL SPRAY, METERED [24 hour nasal allergy]	C		NULL		49ae68fe-67d3-49c6-a1c7-b3d174214b75	Drug	SPL	OTC Drug
736607	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		4f13821c-3d30-40d8-8493-7ce1aae90638	Drug	SPL	Prescription Drug
737050	fluticasone propionate and salmeterol 50ug/1 / 100ug/1 / 250ug/1 / 500ug/1 RESPIRATORY (INHALATION) POWDER [wixela inhub]	C		NULL		8b89b014-1b42-48d1-9342-6f73fe53ddff	Drug	SPL	Prescription Drug
737127	fluticasone propionate and salmeterol 50ug/1 / 100ug/1 / 250ug/1 / 500ug/1 RESPIRATORY (INHALATION) POWDER	C		NULL		b3daefd4-80c9-4b2f-b9f8-98b90a035031	Drug	SPL	Prescription Drug
737249	fluticasone propionate .5mg/mL TOPICAL LOTION [cutivate]	C		NULL		f37a540e-ece4-4895-908c-6d40f1cb63b1	Drug	SPL	Prescription Drug
800218	fluticasone propionate 50ug/.1g NASAL SPRAY, METERED	NULL		NULL		693060016	Drug	NDC	9-digit NDC
800500	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		69306001601	Drug	NDC	11-digit NDC
800606	mometasone furoate 1 MG/ML Topical Cream	NULL		NULL		53002832001	Drug	NDC	11-digit NDC
800607	mometasone furoate 1 MG/ML Topical Cream	NULL		NULL		53002832101	Drug	NDC	11-digit NDC
800773	triamcinolone acetonide 0.001 MG/MG Topical Ointment	NULL		NULL		53002912101	Drug	NDC	11-digit NDC
800774	triamcinolone acetonide 0.001 MG/MG Topical Ointment	NULL		NULL		53002912102	Drug	NDC	11-digit NDC
800775	triamcinolone acetonide 0.25 MG/ML Topical Cream	NULL		NULL		68788750108	Drug	NDC	11-digit NDC
800776	triamcinolone acetonide 5 MG/ML Topical Cream	NULL		NULL		68788750601	Drug	NDC	11-digit NDC
816895	FLOVENT DISKUS - fluticasone propionate powder, metered	C		NULL		038e6c40-9421-40ef-874b-8f4d7110a74a	Drug	SPL	Prescription Drug
816960	FLUTICASONE PROPIONATE - fluticasone propionate cream	C		NULL		4a4b7242-1083-4912-a318-25c3914aaf22	Drug	SPL	Prescription Drug
817410	budesonide 90ug/1 / 180ug/1 RESPIRATORY (INHALATION) AEROSOL, POWDER [pulmicort flexhaler]	C		NULL		0cf571de-53d5-4c3d-89a6-abf4d6ce52db	Drug	SPL	Prescription Drug
817442	fluticasone propionate .5mg/g TOPICAL CREAM	C		NULL		18d70e46-5225-489e-b507-6f001eacb731	Drug	SPL	Prescription Drug
817492	fluticasone propionate and salmeterol xinafoate 21ug/1 / 45ug/1 / 115ug/1 / 230ug/1 RESPIRATORY (INHALATION) AEROSOL, METERED [advair hfa]	C		NULL		296f1772-58d7-4742-abc6-4557165605b2	Drug	SPL	Prescription Drug
817635	fluticasone propionate 50ug/1 NASAL SPRAY, METERED [flonase allergy relief]	C		NULL		60d81451-451e-40b4-b2df-76279b3de237	Drug	SPL	OTC Drug
817743	fluticasone propionate 44ug/1 / 110ug/1 / 220ug/1 RESPIRATORY (INHALATION) AEROSOL, METERED [flovent hfa]	C		NULL		8e5312bc-803e-40ca-9556-23c4bba15467	Drug	SPL	Prescription Drug
817752	triamcinolone acetonide 55ug/1 NASAL SPRAY, METERED [nasacort allergy 24hr]	C		NULL		90a3f3f2-1eda-47e3-b283-53cc399a0a24	Drug	SPL	OTC Drug
817767	mometasone furoate 1mg/g TOPICAL OINTMENT	C		NULL		95a299eb-75b9-4d77-afc4-8efd641c698b	Drug	SPL	Prescription Drug
817843	fluticasone propionate 50ug/1 RESPIRATORY (INHALATION) POWDER, METERED [flovent diskus]	C		NULL		b01af4e2-0936-4d97-acc3-73b616c63844	Drug	SPL	Prescription Drug
818045	nystatin and triamcinolone acetonide 1mg/g / 100000[USP'U]/g TOPICAL CREAM	C		NULL		bbb39137-226e-900a-e053-2995a90a37cc	Drug	SPL	Prescription Drug
818087	triamcinolone acetonide .25mg/g TOPICAL CREAM	C		NULL		bbb7885b-1699-554a-e053-2995a90abd43	Drug	SPL	Prescription Drug
818145	triamcinolone acetonide .25mg/g TOPICAL CREAM	C		NULL		bbb9eeb1-d030-8714-e053-2a95a90aa1aa	Drug	SPL	Prescription Drug
818185	mometasone furoate 1mg/g TOPICAL OINTMENT	C		NULL		bbef9bc7-6b09-b0bd-e053-2995a90a3514	Drug	SPL	Prescription Drug
818189	triamcinolone acetonide .25mg/g TOPICAL CREAM	C		NULL		bbefab32-4aee-0355-e053-2995a90abc54	Drug	SPL	Prescription Drug
818258	triamcinolone acetonide 1mg/g TOPICAL CREAM	C		NULL		bbf25e24-4c0a-d303-e053-2a95a90a634d	Drug	SPL	Prescription Drug
818263	mometasone furoate 1mg/g TOPICAL CREAM	C		NULL		bbf26997-d992-e9e2-e053-2a95a90a7e5c	Drug	SPL	Prescription Drug
818887	fluticasone propionate .5mg/g TOPICAL CREAM	NULL		NULL		500901187	Drug	NDC	9-digit NDC
818890	fluticasone propionate 50ug/1 RESPIRATORY (INHALATION) POWDER, METERED [flovent diskus]	NULL		NULL		500901245	Drug	NDC	9-digit NDC
820410	FLUTICASONE PROPIONATE - fluticasone propionate spray, metered	C		NULL		2038d86c-ba3f-4029-bb95-44360afa148f	Drug	SPL	Prescription Drug
820459	TRIAMCINOLONE ACETONIDE - triamcinolone acetonide ointment	C		NULL		3cb47c24-b7eb-4709-8a41-cbeceadbc8d9	Drug	SPL	Prescription Drug
820474	FLUTICASONE PROPIONATE - fluticasone propionate spray, metered	C		NULL		452be586-5730-48fc-8927-e1a3f6a66b5b	Drug	SPL	Prescription Drug
820496	TRIAMCINOLONE ACETONIDE - triamcinolone acetonide aerosol, spray	C		NULL		50cfde9c-3ad7-4c31-8f7a-fe7c9c149289	Drug	SPL	Prescription Drug
820527	AZELASTINE HYDROCHLORIDE AND FLUTICASONE PROPIONATE - azelastine hydrochloride, fluticasone propionate spray, metered	C		NULL		625ffdd0-8486-49af-8e77-6aa663be5ac7	Drug	SPL	Prescription Drug
820906	NYSTATIN AND TRIAMCINOLONE ACETONIDE - nystatin and triamcinolone acetonide ointment	C		NULL		c62979d3-c9a4-4d94-956e-30760266daf4	Drug	SPL	Prescription Drug
821120	mometasone furoate 110ug/1 / 220ug/1 RESPIRATORY (INHALATION) INHALANT [asmanex]	C		NULL		22ce7e61-648f-4680-b024-f35096bf5d82	Drug	SPL	Prescription Drug
821135	nystatin and triamcinolone acetonide 1mg/g / 100000[USP'U]/g TOPICAL OINTMENT	C		NULL		28f2e077-a2f1-4595-a431-5635a7fb0a9c	Drug	SPL	Prescription Drug
821204	fluticasone propionate 93ug/1 NASAL SPRAY, METERED [xhance]	C		NULL		3a5f9518-5b6c-4050-941b-8057fdfa803b	Drug	SPL	Prescription Drug
821214	fluticasone propionate 50ug/.1g NASAL SPRAY, METERED	C		NULL		3e0080db-5cef-4db4-9b66-aaead102b808	Drug	SPL	Prescription Drug
821246	triamcinolone acetonide .5mg/g TOPICAL OINTMENT	C		NULL		47e35246-5141-4950-be76-93341292d421	Drug	SPL	Prescription Drug
821339	triamcinolone acetonide 5mg/g TOPICAL CREAM	C		NULL		5ea5cb15-a545-4d31-8208-ab520b76dc0a	Drug	SPL	Prescription Drug
821343	triamcinolone acetonide .25mg/g TOPICAL OINTMENT	C		NULL		5f2b496c-5945-4b08-b0a3-553817bf477a	Drug	SPL	Prescription Drug
821346	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		60444b71-8130-0f8a-20f2-7bf7befeacb5	Drug	SPL	OTC Drug
821418	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		6faf2667-c989-47e5-95a0-068a60e3e2d2	Drug	SPL	Prescription Drug
821522	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		89cff955-234c-4f8f-a02b-72768d05af2d	Drug	SPL	Prescription Drug
821543	azelastine hydrochloride, fluticasone propionate 50ug/1 / 137ug/1 NASAL SPRAY, METERED [azelastine hydrochloride and fluticasone propionate]	C		NULL		8f9095bc-0f62-41ff-80ed-46b7eb83582a	Drug	SPL	Prescription Drug
821650	fluticasone propionate 50ug/.1g NASAL SPRAY, METERED	C		NULL		ac1f6ca4-6247-4a09-8fc6-a8e1e9287a2c	Drug	SPL	Prescription Drug
822197	fluticasone propionate 50ug/1 NASAL SPRAY, METERED	C		NULL		d2290e4b-5fdc-6c57-4434-2515cb9c04a1	Drug	SPL	OTC Drug
822268	triamcinolone acetonide 40mg/mL INTRA-ARTICULAR; INTRAMUSCULAR INJECTION, SUSPENSION [kenalog-40]	C		NULL		e38ede85-e572-4c08-9e5b-0ab0b14565b9	Drug	SPL	Prescription Drug
822288	triamcinolone acetonide 55ug/1 NASAL SPRAY, METERED [24 hour nasal allergy]	C		NULL		e98ca446-125b-40df-8a66-077640e35a7f	Drug	SPL	OTC Drug
737360	triamcinolone acetonide .25mg/g TOPICAL CREAM	NULL		NULL		500904106	Drug	NDC	9-digit NDC
737448	fluticasone propionate and salmeterol 50ug/1 / 100ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		669930584	Drug	NDC	9-digit NDC
737449	fluticasone propionate and salmeterol 50ug/1 / 250ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		669930585	Drug	NDC	9-digit NDC
737450	fluticasone propionate and salmeterol 50ug/1 / 500ug/1 RESPIRATORY (INHALATION) POWDER	NULL		NULL		669930586	Drug	NDC	9-digit NDC
737789	60 ACTUAT fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	NULL		NULL		66993058497	Drug	NDC	11-digit NDC
737790	60 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	NULL		NULL		66993058597	Drug	NDC	11-digit NDC
737791	60 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	NULL		NULL		66993058697	Drug	NDC	11-digit NDC
738096	triamcinolone acetonide 0.25 MG/ML Topical Cream	NULL		NULL		50090410601	Drug	NDC	11-digit NDC
739917	triamcinolone acetonide 40 MG/ML Injection [Kenalog]	S		NULL		2480109	Drug	RxNorm	Branded Drug
740264	1 ML triamcinolone acetonide 40 MG/ML Injection [Kenalog]	S		NULL		2480108	Drug	RxNorm	Quant Branded Drug
749819	clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML Otic Suspension [Maxi-Otic]	NULL		D		11695485407	Drug	NDC	11-digit NDC
749820	clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML Otic Suspension [Maxi-Otic]	NULL		D		11695485403	Drug	NDC	11-digit NDC
749821	clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML Otic Suspension [Maxi-Otic]	NULL		D		11695485402	Drug	NDC	11-digit NDC
749822	clotrimazole 10 MG/ML / gentamicin 3 MG/ML / mometasone 1 MG/ML Otic Suspension [Maxi-Otic]	NULL		D		11695485401	Drug	NDC	11-digit NDC
750468	ciclesonide 0.05 MG/ACTUAT Metered Dose Nasal Spray [Omnaris]	NULL		NULL		70515070101	Drug	NDC	11-digit NDC
750615	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		36800057201	Drug	NDC	11-digit NDC
750616	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		60505620103	Drug	NDC	11-digit NDC
750617	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	NULL		NULL		64525800001	Drug	NDC	11-digit NDC
750953	triamcinolone acetonide 1 MG/ML Topical Cream	NULL		NULL		68071439103	Drug	NDC	11-digit NDC
750954	triamcinolone acetonide 5 MG/ML Topical Cream	NULL		NULL		68071439705	Drug	NDC	11-digit NDC
750955	triamcinolone acetonide 5 MG/ML Topical Cream	NULL		NULL		71205000915	Drug	NDC	11-digit NDC
750956	triamcinolone acetonide 5 MG/ML Topical Cream	NULL		NULL		71205000930	Drug	NDC	11-digit NDC
750957	triamcinolone acetonide 5 MG/ML Topical Cream	NULL		NULL		71205000945	Drug	NDC	11-digit NDC
757802	BUDESONIDE INHALATION - budesonide inhalation suspension	C		NULL		944cbb7c-b41d-4a6d-8a93-2e646365c982	Drug	SPL	Prescription Drug
