concept_name,concept_id,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id,valid_end_date
5 ML prednisolone 1 MG/ML Oral Solution [Pms-Prednisolone],44130990,2017-08-24,,RxNorm Extension,OMOP1125621,Quant Branded Drug,S,5 ML prednisolone 1 MG/ML Oral Solution [Pms-Prednisolone],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 100,40823035,2017-08-24,,RxNorm Extension,OMOP2020997,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Coelin],40824287,2017-08-24,,RxNorm Extension,OMOP2022249,Branded Drug,S,prednisolone 5 MG Oral Tablet [Predni Coelin],Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 20 by Galen,40824398,2017-08-24,,RxNorm Extension,OMOP2022360,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 20 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 30 by Rotexmedica,40825955,2017-08-24,,RxNorm Extension,OMOP2023917,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 30 by Rotexmedica,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Predni H],40841316,2017-08-24,,RxNorm Extension,OMOP2039278,Branded Drug,S,prednisolone 50 MG Oral Tablet [Predni H],Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 50,40841321,2017-08-24,,RxNorm Extension,OMOP2039283,Branded Drug Box,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Ultracorten] Box of 10,40841326,2017-08-24,,RxNorm Extension,OMOP2039288,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Ultracorten] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Scherisolon] Box of 600,40841327,2017-08-24,,RxNorm Extension,OMOP2039289,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Scherisolon] Box of 600,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 20,40841329,2017-08-24,,RxNorm Extension,OMOP2039291,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Blue] Box of 50,40841330,2017-08-24,,RxNorm Extension,OMOP2039292,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni Blue] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon],40841331,2017-08-24,,RxNorm Extension,OMOP2039293,Branded Drug,S,prednisolone 5 MG Oral Tablet [Duraprednisolon],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 100,40841332,2017-08-24,,RxNorm Extension,OMOP2039294,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednoral],19113764,2005-09-11,,RxNorm,541705,Branded Drug,S,prednisolone 5 MG Oral Tablet [Prednoral],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Novo-Prednisolone],44072828,2017-08-24,,RxNorm Extension,OMOP1067459,Branded Drug,S,prednisolone 5 MG Oral Tablet [Novo-Prednisolone],Drug,2099-12-31
prednisolone 25 MG Oral Tablet Box of 30,36884729,2017-08-24,,RxNorm Extension,OMOP1003553,Clinical Drug Box,S,prednisolone 25 MG Oral Tablet Box of 30,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [MILLIPRED],19132464,2008-11-09,,RxNorm,808118,Branded Drug,S,prednisolone 5 MG Oral Tablet [MILLIPRED],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Novo-Prednisolone] by Novopharm,44062629,2017-08-24,,RxNorm Extension,OMOP1057260,Marketed Product,S,prednisolone 5 MG Oral Tablet [Novo-Prednisolone] by Novopharm,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Stada] Box of 50 by Stada,41008339,2017-08-24,,RxNorm Extension,OMOP2206301,Marketed Product,S,prednisolone 50 MG Oral Tablet [Prednisolon Stada] Box of 50 by Stada,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Al] Box of 50 by Aliud,41008340,2017-08-24,,RxNorm Extension,OMOP2206302,Marketed Product,S,prednisolone 50 MG Oral Tablet [Prednisolon Al] Box of 50 by Aliud,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 100 by Galen,41008341,2017-08-24,,RxNorm Extension,OMOP2206303,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 100 by Galen,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 20 by Mibe,41008342,2017-08-24,,RxNorm Extension,OMOP2206304,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 20 by Mibe,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 30 by Sanofi,41008352,2017-08-24,,RxNorm Extension,OMOP2206314,Marketed Product,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 30 by Sanofi,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 30 by Mylan,41008353,2017-08-24,,RxNorm Extension,OMOP2206315,Marketed Product,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 30 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Deltacortril] Box of 20 by Pfizer,41008354,2017-08-24,,RxNorm Extension,OMOP2206316,Marketed Product,S,prednisolone 5 MG Oral Tablet [Deltacortril] Box of 20 by Pfizer,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 50 by Galen,41008355,2017-08-24,,RxNorm Extension,OMOP2206317,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 50 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 20 by Boerner,41008356,2017-08-24,,RxNorm Extension,OMOP2206318,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 20 by Boerner,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 100 by Galen,41008357,2017-08-24,,RxNorm Extension,OMOP2206319,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 100 by Galen,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 20 by Acis,41008358,2017-08-24,,RxNorm Extension,OMOP2206320,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 20 by Acis,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednihexal] Box of 10 by Novartis,40976978,2017-08-24,,RxNorm Extension,OMOP2174940,Marketed Product,S,prednisolone 50 MG Oral Tablet [Prednihexal] Box of 10 by Novartis,Drug,2099-12-31
prednisolone 50 MG Oral Tablet Box of 50 by Mibe,40976979,2017-08-24,,RxNorm Extension,OMOP2174941,Marketed Product,S,prednisolone 50 MG Oral Tablet Box of 50 by Mibe,Drug,2099-12-31
prednisolone 50 MG Oral Tablet Box of 10 by Mibe,40976980,2017-08-24,,RxNorm Extension,OMOP2174942,Marketed Product,S,prednisolone 50 MG Oral Tablet Box of 10 by Mibe,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 30 by Mylan,40976981,2017-08-24,,RxNorm Extension,OMOP2174943,Marketed Product,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 30 by Mylan,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 20 by Orion,40976982,2017-08-24,,RxNorm Extension,OMOP2174944,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 20 by Orion,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Stada] Box of 100 by Stada,40976991,2017-08-24,,RxNorm Extension,OMOP2174953,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Stada] Box of 100 by Stada,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 20 by Rotexmedica,40976992,2017-08-24,,RxNorm Extension,OMOP2174954,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 20 by Rotexmedica,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 50 by Aliud,40976993,2017-08-24,,RxNorm Extension,OMOP2174955,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 50 by Aliud,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 30 by Aliud,40976994,2017-08-24,,RxNorm Extension,OMOP2174956,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 30 by Aliud,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Dermosolon] Box of 20 by DermaPharm,40976995,2017-08-24,,RxNorm Extension,OMOP2174957,Marketed Product,S,prednisolone 5 MG Oral Tablet [Dermosolon] Box of 20 by DermaPharm,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decaprednil] Box of 100 by Galen,40976996,2017-08-24,,RxNorm Extension,OMOP2174958,Marketed Product,S,prednisolone 5 MG Oral Tablet [Decaprednil] Box of 100 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 100 by Orion,40976997,2017-08-24,,RxNorm Extension,OMOP2174959,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 100 by Orion,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Stada] Box of 20 by Stada,40976998,2017-08-24,,RxNorm Extension,OMOP2174960,Marketed Product,S,prednisolone 10 MG Oral Tablet [Prednisolon Stada] Box of 20 by Stada,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 50 by Aliud,40976999,2017-08-24,,RxNorm Extension,OMOP2174961,Marketed Product,S,prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 50 by Aliud,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 50 by Galen,40977000,2017-08-24,,RxNorm Extension,OMOP2174962,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 50 by Galen,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 20,40959111,2017-08-24,,RxNorm Extension,OMOP2157073,Clinical Drug Box,S,prednisolone 1 MG Oral Tablet Box of 20,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Al] Box of 10,40934725,2017-08-24,,RxNorm Extension,OMOP2132687,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Prednisolon Al] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Scherisolon] Box of 150,40934733,2017-08-24,,RxNorm Extension,OMOP2132695,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Scherisolon] Box of 150,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Stada] Box of 20,40934734,2017-08-24,,RxNorm Extension,OMOP2132696,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Stada] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica],40934736,2017-08-24,,RxNorm Extension,OMOP2132698,Branded Drug,S,prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 100,40934737,2017-08-24,,RxNorm Extension,OMOP2132699,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 30,40934738,2017-08-24,,RxNorm Extension,OMOP2132700,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 30,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 20,40934739,2017-08-24,,RxNorm Extension,OMOP2132701,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Deltacortril] Box of 1000,40934740,2017-08-24,,RxNorm Extension,OMOP2132702,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Deltacortril] Box of 1000,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Stada] Box of 50,40934755,2017-08-24,,RxNorm Extension,OMOP2132717,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednisolon Stada] Box of 50,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 20,40934756,2017-08-24,,RxNorm Extension,OMOP2132718,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Scherisolon],40903521,2017-08-24,,RxNorm Extension,OMOP2101483,Branded Drug,S,prednisolone 5 MG Oral Tablet [Scherisolon],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Lentia] Box of 100,40903522,2017-08-24,,RxNorm Extension,OMOP2101484,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Lentia] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Dura] Box of 100,40903523,2017-08-24,,RxNorm Extension,OMOP2101485,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Dura] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednihexal] Box of 100,40903524,2017-08-24,,RxNorm Extension,OMOP2101486,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednihexal] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 50,40903525,2017-08-24,,RxNorm Extension,OMOP2101487,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 1000,40903526,2017-08-24,,RxNorm Extension,OMOP2101488,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 1000,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 30,40903527,2017-08-24,,RxNorm Extension,OMOP2101489,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 30,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni H] Box of 30,40903545,2017-08-24,,RxNorm Extension,OMOP2101507,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Predni H] Box of 30,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 30,40927820,2017-08-24,,RxNorm Extension,OMOP2125782,Clinical Drug Box,S,prednisolone 1 MG Oral Tablet Box of 30,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 1,40927821,2017-08-24,,RxNorm Extension,OMOP2125783,Clinical Drug Box,S,prednisolone 1 MG Oral Tablet Box of 1,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 6000,40927824,2017-08-24,,RxNorm Extension,OMOP2125786,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 6000,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 150,40927825,2017-08-24,,RxNorm Extension,OMOP2125787,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 150,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Al] Box of 10 by Aliud,40946035,2017-08-24,,RxNorm Extension,OMOP2143997,Marketed Product,S,prednisolone 50 MG Oral Tablet [Prednisolon Al] Box of 10 by Aliud,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Predni H] Box of 10 by Sanofi,40946036,2017-08-24,,RxNorm Extension,OMOP2143998,Marketed Product,S,prednisolone 50 MG Oral Tablet [Predni H] Box of 10 by Sanofi,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 100 by Mylan,40946037,2017-08-24,,RxNorm Extension,OMOP2143999,Marketed Product,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 100 by Mylan,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decaprednil] Box of 50 by Galen,40946038,2017-08-24,,RxNorm Extension,OMOP2144000,Marketed Product,S,prednisolone 1 MG Oral Tablet [Decaprednil] Box of 50 by Galen,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 50 by Orion,40946039,2017-08-24,,RxNorm Extension,OMOP2144001,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 50 by Orion,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 20 by Sanofi,40946041,2017-08-24,,RxNorm Extension,OMOP2144003,Marketed Product,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 20 by Sanofi,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Blue] Box of 100 by Blue,40946042,2017-08-24,,RxNorm Extension,OMOP2144004,Marketed Product,S,prednisolone 5 MG Oral Tablet [Predni Blue] Box of 100 by Blue,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 20 by Mylan,40946043,2017-08-24,,RxNorm Extension,OMOP2144005,Marketed Product,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 20 by Mylan,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Decortin] Box of 20 by Mylan,40946044,2017-08-24,,RxNorm Extension,OMOP2144006,Marketed Product,S,prednisolone 10 MG Oral Tablet [Decortin] Box of 20 by Mylan,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 50 by Acis,40946045,2017-08-24,,RxNorm Extension,OMOP2144007,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 50 by Acis,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Scherisolon] Box of 1200,40965890,2017-08-24,,RxNorm Extension,OMOP2163852,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Scherisolon] Box of 1200,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM],40965892,2017-08-24,,RxNorm Extension,OMOP2163854,Branded Drug,S,prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednicorm],40965893,2017-08-24,,RxNorm Extension,OMOP2163855,Branded Drug,S,prednisolone 5 MG Oral Tablet [Prednicorm],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 10,40965894,2017-08-24,,RxNorm Extension,OMOP2163856,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 500,40965895,2017-08-24,,RxNorm Extension,OMOP2163857,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 500,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 20,40965896,2017-08-24,,RxNorm Extension,OMOP2163858,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decaprednil] Box of 100,40965897,2017-08-24,,RxNorm Extension,OMOP2163859,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Decaprednil] Box of 100,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednihexal] Box of 20,40965919,2017-08-24,,RxNorm Extension,OMOP2163881,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednihexal] Box of 20,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Dermosolon] Box of 20,40965920,2017-08-24,,RxNorm Extension,OMOP2163882,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Dermosolon] Box of 20,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Merck] Box of 10,41122189,2017-08-24,,RxNorm Extension,OMOP2320151,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Prednisolon Merck] Box of 10,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Predni H] Box of 50,41122190,2017-08-24,,RxNorm Extension,OMOP2320152,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Predni H] Box of 50,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Dermosolon] Box of 50,41122191,2017-08-24,,RxNorm Extension,OMOP2320153,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Dermosolon] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 100,41122202,2017-08-24,,RxNorm Extension,OMOP2320164,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 20,41122203,2017-08-24,,RxNorm Extension,OMOP2320165,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 150,41122204,2017-08-24,,RxNorm Extension,OMOP2320166,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 150,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 500,41122205,2017-08-24,,RxNorm Extension,OMOP2320167,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 500,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 100,41122211,2017-08-24,,RxNorm Extension,OMOP2320173,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 100,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Dermosolon] Box of 50,41122212,2017-08-24,,RxNorm Extension,OMOP2320174,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Dermosolon] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 600,41084132,2017-08-24,,RxNorm Extension,OMOP2282094,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 600,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 120,41084133,2017-08-24,,RxNorm Extension,OMOP2282095,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 120,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decaprednil],41091065,2017-08-24,,RxNorm Extension,OMOP2289027,Branded Drug,S,prednisolone 1 MG Oral Tablet [Decaprednil],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Stada] Box of 50,41091072,2017-08-24,,RxNorm Extension,OMOP2289034,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Stada] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Lentia] Box of 500,41091073,2017-08-24,,RxNorm Extension,OMOP2289035,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Lentia] Box of 500,Drug,2099-12-31
