concept_id,guess,ingredient_concept_ids,ingredient_names,ingredient_count,concept_name,vocabulary_id,concept_class_id,standard_concept
36215519,saba,1154343,albuterol,1,albuterol / ketotifen / theophylline Oral Liquid Product,RxNorm,Clinical Dose Group,C
36215520,saba,1154343,albuterol,1,albuterol / ketotifen / theophylline Oral Product,RxNorm,Clinical Dose Group,C
40145235,saba,1154343,albuterol,1,albuterol / ketotifen / theophylline Oral Solution,RxNorm,Clinical Drug Form,S
40006797,saba,1154343,albuterol,1,albuterol / ketotifen / theophylline Oral Tablet,RxNorm,Clinical Drug Form,S
36215521,saba,1154343,albuterol,1,albuterol / ketotifen / theophylline Pill,RxNorm,Clinical Dose Group,C
19108688,saba,1154343,albuterol,1,albuterol 0.01 MG/ML,RxNorm,Clinical Drug Comp,S
19104814,saba,1154343,albuterol,1,albuterol 0.01 MG/ML Injectable Solution,RxNorm,Clinical Drug,S
1154497,saba,1154343,albuterol,1,albuterol 0.05 MG/ML,RxNorm,Clinical Drug Comp,S
19117781,saba,1154343,albuterol,1,albuterol 0.05 MG/ML [Salbuvent],RxNorm,Branded Drug Comp,S
19115871,saba,1154343,albuterol,1,albuterol 0.05 MG/ML [Ventolin],RxNorm,Branded Drug Comp,S
19060644,saba,1154343,albuterol,1,albuterol 0.05 MG/ML Injectable Solution,RxNorm,Clinical Drug,S
19027037,saba,1154343,albuterol,1,albuterol 0.05 MG/ML Injectable Solution [Salbuvent],RxNorm,Branded Drug,S
19004086,saba,1154343,albuterol,1,albuterol 0.05 MG/ML Injectable Solution [Ventolin],RxNorm,Branded Drug,S
1154459,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT,RxNorm,Clinical Drug Comp,S
19021327,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT [Combivent],RxNorm,Branded Drug Comp,S
42902622,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray,RxNorm,Clinical Drug,S
42902809,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray [Combivent],RxNorm,Branded Drug,S
46234506,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT [ProAir],RxNorm,Branded Drug Comp,S
19044359,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT [Proventil],RxNorm,Branded Drug Comp,S
19131110,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT [Ventolin],RxNorm,Branded Drug Comp,S
46234465,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT Dry Powder Inhaler,RxNorm,Clinical Drug,S
46234509,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT Dry Powder Inhaler [ProAir],RxNorm,Branded Drug,S
42903088,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,RxNorm,Clinical Drug,S
42902448,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir],RxNorm,Branded Drug,S
42903179,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil],RxNorm,Branded Drug,S
42902903,saba,1154343,albuterol,1,albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],RxNorm,Branded Drug,S
1356174,saba,1154343,albuterol,1,albuterol 0.1 MG,RxNorm,Clinical Drug Comp,S
1154453,saba,1154343,albuterol,1,albuterol 0.1 MG Inhalation Powder,RxNorm,Clinical Drug,S
1154496,saba,1154343,albuterol,1,albuterol 0.1 MG/ACTUAT,RxNorm,Clinical Drug Comp,S
40243275,saba,1154343,albuterol,1,albuterol 0.1 MG/ACTUAT / ipratropium bromide 0.02 MG/ACTUAT [Combivent],RxNorm,Branded Drug Comp,S
42903409,saba,1154343,albuterol,1,albuterol 0.1 MG/ACTUAT / ipratropium bromide 0.02 MG/ACTUAT Inhalation Spray,RxNorm,Clinical Drug,S
42903280,saba,1154343,albuterol,1,albuterol 0.1 MG/ACTUAT / ipratropium bromide 0.02 MG/ACTUAT Inhalation Spray [Combivent],RxNorm,Branded Drug,S
19101999,saba,1154343,albuterol,1,albuterol 0.1 MG/ML,RxNorm,Clinical Drug Comp,S
19101538,saba,1154343,albuterol,1,albuterol 0.1 MG/ML Injectable Solution,RxNorm,Clinical Drug,S
1154533,saba,1154343,albuterol,1,albuterol 0.15 MG/ML,RxNorm,Clinical Drug Comp,S
986180,saba,1154343,albuterol,1,albuterol 0.15 MG/ML / ketotifen 0.08 MG/ML / theophylline 15 MG/ML Oral Solution,RxNorm,Clinical Drug,S
1356110,saba,1154343,albuterol,1,albuterol 0.2 MG,RxNorm,Clinical Drug Comp,S
1356112,saba,1154343,albuterol,1,albuterol 0.2 MG [Ventolin],RxNorm,Branded Drug Comp,S
19072359,saba,1154343,albuterol,1,albuterol 0.2 MG Inhalation Powder,RxNorm,Clinical Drug,S
40164006,saba,1154343,albuterol,1,albuterol 0.2 MG Inhalation Powder [Ventolin],RxNorm,Branded Drug,S
19086690,saba,1154343,albuterol,1,albuterol 0.2 MG/ML,RxNorm,Clinical Drug Comp,S
1166126,saba,1154343,albuterol,1,albuterol 0.2 MG/ML / guaifenesin 10 MG/ML Oral Solution,RxNorm,Clinical Drug,S
1154541,saba,1154343,albuterol,1,albuterol 0.21 MG/ML,RxNorm,Clinical Drug Comp,S
19120958,saba,1154343,albuterol,1,albuterol 0.21 MG/ML [Accuneb],RxNorm,Branded Drug Comp,S
1154536,saba,1154343,albuterol,1,albuterol 0.21 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
19098332,saba,1154343,albuterol,1,albuterol 0.21 MG/ML Inhalation Solution [Accuneb],RxNorm,Branded Drug,S
1356116,saba,1154343,albuterol,1,albuterol 0.4 MG,RxNorm,Clinical Drug Comp,S
19004125,saba,1154343,albuterol,1,albuterol 0.4 MG Inhalation Powder,RxNorm,Clinical Drug,S
19085818,saba,1154343,albuterol,1,albuterol 0.4 MG/ML,RxNorm,Clinical Drug Comp,S
19105773,saba,1154343,albuterol,1,albuterol 0.4 MG/ML / ambroxol 1.5 MG/ML Oral Solution,RxNorm,Clinical Drug,S
19116924,saba,1154343,albuterol,1,albuterol 0.4 MG/ML [Libetist],RxNorm,Branded Drug Comp,S
19044360,saba,1154343,albuterol,1,albuterol 0.4 MG/ML [Proventil],RxNorm,Branded Drug Comp,S
19115323,saba,1154343,albuterol,1,albuterol 0.4 MG/ML [Salbuvent],RxNorm,Branded Drug Comp,S
19054320,saba,1154343,albuterol,1,albuterol 0.4 MG/ML [Ventolin],RxNorm,Branded Drug Comp,S
1154654,saba,1154343,albuterol,1,albuterol 0.4 MG/ML Oral Solution,RxNorm,Clinical Drug,S
19128414,saba,1154343,albuterol,1,albuterol 0.4 MG/ML Oral Solution [Libetist],RxNorm,Branded Drug,S
19128415,saba,1154343,albuterol,1,albuterol 0.4 MG/ML Oral Solution [Proventil],RxNorm,Branded Drug,S
19128416,saba,1154343,albuterol,1,albuterol 0.4 MG/ML Oral Solution [Salbuvent],RxNorm,Branded Drug,S
19128417,saba,1154343,albuterol,1,albuterol 0.4 MG/ML Oral Solution [Ventolin],RxNorm,Branded Drug,S
19099825,saba,1154343,albuterol,1,albuterol 0.417 MG/ML,RxNorm,Clinical Drug Comp,S
19120957,saba,1154343,albuterol,1,albuterol 0.417 MG/ML [Accuneb],RxNorm,Branded Drug Comp,S
1154535,saba,1154343,albuterol,1,albuterol 0.417 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
19098331,saba,1154343,albuterol,1,albuterol 0.417 MG/ML Inhalation Solution [Accuneb],RxNorm,Branded Drug,S
19086687,saba,1154343,albuterol,1,albuterol 0.5 MG/ML,RxNorm,Clinical Drug Comp,S
19117782,saba,1154343,albuterol,1,albuterol 0.5 MG/ML [Salbuvent],RxNorm,Branded Drug Comp,S
19115872,saba,1154343,albuterol,1,albuterol 0.5 MG/ML [Ventolin],RxNorm,Branded Drug Comp,S
1154351,saba,1154343,albuterol,1,albuterol 0.5 MG/ML Injectable Solution,RxNorm,Clinical Drug,S
19027038,saba,1154343,albuterol,1,albuterol 0.5 MG/ML Injectable Solution [Salbuvent],RxNorm,Branded Drug,S
19004087,saba,1154343,albuterol,1,albuterol 0.5 MG/ML Injectable Solution [Ventolin],RxNorm,Branded Drug,S
1154501,saba,1154343,albuterol,1,albuterol 0.83 MG/ML,RxNorm,Clinical Drug Comp,S
19053005,saba,1154343,albuterol,1,albuterol 0.83 MG/ML [Airet],RxNorm,Branded Drug Comp,S
19120386,saba,1154343,albuterol,1,albuterol 0.83 MG/ML [Arm-A-Med],RxNorm,Branded Drug Comp,S
19044358,saba,1154343,albuterol,1,albuterol 0.83 MG/ML [Proventil],RxNorm,Branded Drug Comp,S
40164015,saba,1154343,albuterol,1,albuterol 0.83 MG/ML [Ventolin],RxNorm,Branded Drug Comp,S
19123989,saba,1154343,albuterol,1,albuterol 0.83 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
1154373,saba,1154343,albuterol,1,albuterol 0.83 MG/ML Inhalation Solution [Airet],RxNorm,Branded Drug,S
1154374,saba,1154343,albuterol,1,albuterol 0.83 MG/ML Inhalation Solution [Arm-A-Med],RxNorm,Branded Drug,S
19123990,saba,1154343,albuterol,1,albuterol 0.83 MG/ML Inhalation Solution [Proventil],RxNorm,Branded Drug,S
40164014,saba,1154343,albuterol,1,albuterol 0.83 MG/ML Inhalation Solution [Ventolin],RxNorm,Branded Drug,S
19103065,saba,1154343,albuterol,1,albuterol 0.833 MG/ML,RxNorm,Clinical Drug Comp,S
43560453,saba,1154343,albuterol,1,albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML [DuoNeb],RxNorm,Branded Drug Comp,S
43560451,saba,1154343,albuterol,1,albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
43560452,saba,1154343,albuterol,1,albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML Inhalation Solution [DuoNeb],RxNorm,Branded Drug,S
19108686,saba,1154343,albuterol,1,albuterol 1 MG,RxNorm,Clinical Drug Comp,S
19105478,saba,1154343,albuterol,1,albuterol 1 MG Rectal Suppository,RxNorm,Clinical Drug,S
19093833,saba,1154343,albuterol,1,albuterol 1 MG/ML,RxNorm,Clinical Drug Comp,S
43011917,saba,1154343,albuterol,1,albuterol 1 MG/ML / ipratropium bromide 0.2 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
19115322,saba,1154343,albuterol,1,albuterol 1 MG/ML [Salbulin],RxNorm,Branded Drug Comp,S
19117783,saba,1154343,albuterol,1,albuterol 1 MG/ML [Salbuvent],RxNorm,Branded Drug Comp,S
19115873,saba,1154343,albuterol,1,albuterol 1 MG/ML [Ventolin],RxNorm,Branded Drug Comp,S
19061106,saba,1154343,albuterol,1,albuterol 1 MG/ML Injectable Solution,RxNorm,Clinical Drug,S
19027039,saba,1154343,albuterol,1,albuterol 1 MG/ML Injectable Solution [Salbuvent],RxNorm,Branded Drug,S
19004088,saba,1154343,albuterol,1,albuterol 1 MG/ML Injectable Solution [Ventolin],RxNorm,Branded Drug,S
1154581,saba,1154343,albuterol,1,albuterol 1 MG/ML Oral Solution,RxNorm,Clinical Drug,S
19000911,saba,1154343,albuterol,1,albuterol 1 MG/ML Oral Solution [Salbulin],RxNorm,Branded Drug,S
19096013,saba,1154343,albuterol,1,albuterol 1.8 MG,RxNorm,Clinical Drug Comp,S
19063963,saba,1154343,albuterol,1,albuterol 1.8 MG / ketotifen 0.8 MG / theophylline 230 MG Oral Tablet,RxNorm,Clinical Drug,S
1154460,saba,1154343,albuterol,1,albuterol 2 MG,RxNorm,Clinical Drug Comp,S
19117777,saba,1154343,albuterol,1,albuterol 2 MG [Asmaven],RxNorm,Branded Drug Comp,S
19117776,saba,1154343,albuterol,1,albuterol 2 MG [Cobutolin],RxNorm,Branded Drug Comp,S
19044391,saba,1154343,albuterol,1,albuterol 2 MG [Proventil],RxNorm,Branded Drug Comp,S
19115320,saba,1154343,albuterol,1,albuterol 2 MG [Salbulin],RxNorm,Branded Drug Comp,S
19117775,saba,1154343,albuterol,1,albuterol 2 MG [Salbuvent],RxNorm,Branded Drug Comp,S
19054317,saba,1154343,albuterol,1,albuterol 2 MG [Ventolin],RxNorm,Branded Drug Comp,S
1154349,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet,RxNorm,Clinical Drug,S
19027033,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet [Asmaven],RxNorm,Branded Drug,S
19027032,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet [Cobutolin],RxNorm,Branded Drug,S
1154376,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet [Proventil],RxNorm,Branded Drug,S
19000909,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet [Salbulin],RxNorm,Branded Drug,S
19027031,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet [Salbuvent],RxNorm,Branded Drug,S
19000907,saba,1154343,albuterol,1,albuterol 2 MG Oral Tablet [Ventolin],RxNorm,Branded Drug,S
1154572,saba,1154343,albuterol,1,albuterol 2 MG/ML,RxNorm,Clinical Drug Comp,S
19060972,saba,1154343,albuterol,1,albuterol 2 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
1154458,saba,1154343,albuterol,1,albuterol 4 MG,RxNorm,Clinical Drug Comp,S
19117780,saba,1154343,albuterol,1,albuterol 4 MG [Asmaven],RxNorm,Branded Drug Comp,S
19117779,saba,1154343,albuterol,1,albuterol 4 MG [Cobutolin],RxNorm,Branded Drug Comp,S
19044392,saba,1154343,albuterol,1,albuterol 4 MG [Proventil],RxNorm,Branded Drug Comp,S
19115321,saba,1154343,albuterol,1,albuterol 4 MG [Salbulin],RxNorm,Branded Drug Comp,S
19117778,saba,1154343,albuterol,1,albuterol 4 MG [Salbuvent],RxNorm,Branded Drug Comp,S
19054318,saba,1154343,albuterol,1,albuterol 4 MG [Ventolin],RxNorm,Branded Drug Comp,S
19023013,saba,1154343,albuterol,1,albuterol 4 MG [Volmax],RxNorm,Branded Drug Comp,S
19035039,saba,1154343,albuterol,1,albuterol 4 MG [Vospire],RxNorm,Branded Drug Comp,S
19017861,saba,1154343,albuterol,1,albuterol 4 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,S
19072360,saba,1154343,albuterol,1,albuterol 4 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,S
19134868,saba,1154343,albuterol,1,albuterol 4 MG Extended Release Oral Tablet [Proventil],RxNorm,Branded Drug,S
19004084,saba,1154343,albuterol,1,albuterol 4 MG Extended Release Oral Tablet [Ventolin],RxNorm,Branded Drug,S
19134513,saba,1154343,albuterol,1,albuterol 4 MG Extended Release Oral Tablet [Volmax],RxNorm,Branded Drug,S
19098298,saba,1154343,albuterol,1,albuterol 4 MG Extended Release Oral Tablet [Vospire],RxNorm,Branded Drug,S
1154350,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet,RxNorm,Clinical Drug,S
19027036,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet [Asmaven],RxNorm,Branded Drug,S
19027035,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet [Cobutolin],RxNorm,Branded Drug,S
19048068,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet [Proventil],RxNorm,Branded Drug,S
19000910,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet [Salbulin],RxNorm,Branded Drug,S
19027034,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet [Salbuvent],RxNorm,Branded Drug,S
19000908,saba,1154343,albuterol,1,albuterol 4 MG Oral Tablet [Ventolin],RxNorm,Branded Drug,S
19108687,saba,1154343,albuterol,1,albuterol 4.8 MG/ML,RxNorm,Clinical Drug Comp,S
19128692,saba,1154343,albuterol,1,albuterol 4.8 MG/ML Oral Solution,RxNorm,Clinical Drug,S
1356125,saba,1154343,albuterol,1,albuterol 5 MG/ML,RxNorm,Clinical Drug Comp,S
1356126,saba,1154343,albuterol,1,albuterol 5 MG/ML [Arm-A-Med],RxNorm,Branded Drug Comp,S
1356127,saba,1154343,albuterol,1,albuterol 5 MG/ML [Proventil],RxNorm,Branded Drug Comp,S
1356128,saba,1154343,albuterol,1,albuterol 5 MG/ML [Ventolin],RxNorm,Branded Drug Comp,S
1154380,saba,1154343,albuterol,1,albuterol 5 MG/ML Inhalation Solution,RxNorm,Clinical Drug,S
19130040,saba,1154343,albuterol,1,albuterol 5 MG/ML Inhalation Solution [Arm-A-Med],RxNorm,Branded Drug,S
1154656,saba,1154343,albuterol,1,albuterol 5 MG/ML Inhalation Solution [Proventil],RxNorm,Branded Drug,S
1154655,saba,1154343,albuterol,1,albuterol 5 MG/ML Inhalation Solution [Ventolin],RxNorm,Branded Drug,S
1154499,saba,1154343,albuterol,1,albuterol 8 MG,RxNorm,Clinical Drug Comp,S
19115870,saba,1154343,albuterol,1,albuterol 8 MG [Ventolin],RxNorm,Branded Drug Comp,S
19023012,saba,1154343,albuterol,1,albuterol 8 MG [Volmax],RxNorm,Branded Drug Comp,S
19120951,saba,1154343,albuterol,1,albuterol 8 MG [Vospire],RxNorm,Branded Drug Comp,S
19017862,saba,1154343,albuterol,1,albuterol 8 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,S
1154457,saba,1154343,albuterol,1,albuterol 8 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,S
19004085,saba,1154343,albuterol,1,albuterol 8 MG Extended Release Oral Tablet [Ventolin],RxNorm,Branded Drug,S
19134512,saba,1154343,albuterol,1,albuterol 8 MG Extended Release Oral Tablet [Volmax],RxNorm,Branded Drug,S
1154537,saba,1154343,albuterol,1,albuterol 8 MG Extended Release Oral Tablet [Vospire],RxNorm,Branded Drug,S
19101859,saba,1154343,albuterol,1,albuterol 8 MG Oral Tablet,RxNorm,Clinical Drug,S
44782376,saba,1154343,albuterol,1,ALBUTEROL COMPOUND SOLUTION,HCPCS,HCPCS,NULL
46234463,saba,1154343,albuterol,1,albuterol Dry Powder Inhaler,RxNorm,Clinical Drug Form,S
46234507,saba,1154343,albuterol,1,albuterol Dry Powder Inhaler [ProAir],RxNorm,Branded Drug Form,S
40006960,saba,1154343,albuterol,1,albuterol Extended Release Oral Capsule,RxNorm,Clinical Drug Form,S
40006962,saba,1154343,albuterol,1,albuterol Extended Release Oral Tablet,RxNorm,Clinical Drug Form,S
40142702,saba,1154343,albuterol,1,albuterol Extended Release Oral Tablet [Proventil],RxNorm,Branded Drug Form,S
40006963,saba,1154343,albuterol,1,albuterol Extended Release Oral Tablet [Ventolin],RxNorm,Branded Drug Form,S
40006908,saba,1154343,albuterol,1,albuterol Extended Release Oral Tablet [Volmax],RxNorm,Branded Drug Form,S
40006964,saba,1154343,albuterol,1,albuterol Extended Release Oral Tablet [Vospire],RxNorm,Branded Drug Form,S
36215522,saba,1154343,albuterol,1,albuterol Inhalant Product,RxNorm,Clinical Dose Group,C
1356111,saba,1154343,albuterol,1,albuterol Inhalation Powder,RxNorm,Clinical Drug Form,S
1356113,saba,1154343,albuterol,1,albuterol Inhalation Powder [Ventolin],RxNorm,Branded Drug Form,S
1356108,saba,1154343,albuterol,1,albuterol Inhalation Solution,RxNorm,Clinical Drug Form,S
1356109,saba,1154343,albuterol,1,albuterol Inhalation Solution [Accuneb],RxNorm,Branded Drug Form,S
1356117,saba,1154343,albuterol,1,albuterol Inhalation Solution [Airet],RxNorm,Branded Drug Form,S
1356118,saba,1154343,albuterol,1,albuterol Inhalation Solution [Arm-A-Med],RxNorm,Branded Drug Form,S
1356119,saba,1154343,albuterol,1,albuterol Inhalation Solution [Proventil],RxNorm,Branded Drug Form,S
1356122,saba,1154343,albuterol,1,albuterol Inhalation Solution [Ventolin],RxNorm,Branded Drug Form,S
36215523,saba,1154343,albuterol,1,albuterol Injectable Product,RxNorm,Clinical Dose Group,C
40006994,saba,1154343,albuterol,1,albuterol Injectable Solution,RxNorm,Clinical Drug Form,S
40006995,saba,1154343,albuterol,1,albuterol Injectable Solution [Salbuvent],RxNorm,Branded Drug Form,S
40006996,saba,1154343,albuterol,1,albuterol Injectable Solution [Ventolin],RxNorm,Branded Drug Form,S
40142703,saba,1154343,albuterol,1,albuterol Metered Dose Inhaler,RxNorm,Clinical Drug Form,S
46234512,saba,1154343,albuterol,1,albuterol Metered Dose Inhaler [ProAir],RxNorm,Branded Drug Form,S
40142705,saba,1154343,albuterol,1,albuterol Metered Dose Inhaler [Proventil],RxNorm,Branded Drug Form,S
40151684,saba,1154343,albuterol,1,albuterol Metered Dose Inhaler [Ventolin],RxNorm,Branded Drug Form,S
36215524,saba,1154343,albuterol,1,albuterol Oral Liquid Product,RxNorm,Clinical Dose Group,C
36215525,saba,1154343,albuterol,1,albuterol Oral Product,RxNorm,Clinical Dose Group,C
40104188,saba,1154343,albuterol,1,albuterol Oral Solution,RxNorm,Clinical Drug Form,S
40145307,saba,1154343,albuterol,1,albuterol Oral Solution [Libetist],RxNorm,Branded Drug Form,S
40145308,saba,1154343,albuterol,1,albuterol Oral Solution [Proventil],RxNorm,Branded Drug Form,S
40082688,saba,1154343,albuterol,1,albuterol Oral Solution [Salbulin],RxNorm,Branded Drug Form,S
40145309,saba,1154343,albuterol,1,albuterol Oral Solution [Salbuvent],RxNorm,Branded Drug Form,S
40145310,saba,1154343,albuterol,1,albuterol Oral Solution [Ventolin],RxNorm,Branded Drug Form,S
40006997,saba,1154343,albuterol,1,albuterol Oral Tablet,RxNorm,Clinical Drug Form,S
40006998,saba,1154343,albuterol,1,albuterol Oral Tablet [Asmaven],RxNorm,Branded Drug Form,S
40006999,saba,1154343,albuterol,1,albuterol Oral Tablet [Cobutolin],RxNorm,Branded Drug Form,S
40007000,saba,1154343,albuterol,1,albuterol Oral Tablet [Proventil],RxNorm,Branded Drug Form,S
40007001,saba,1154343,albuterol,1,albuterol Oral Tablet [Salbulin],RxNorm,Branded Drug Form,S
40007002,saba,1154343,albuterol,1,albuterol Oral Tablet [Salbuvent],RxNorm,Branded Drug Form,S
40007003,saba,1154343,albuterol,1,albuterol Oral Tablet [Ventolin],RxNorm,Branded Drug Form,S
36215526,saba,1154343,albuterol,1,albuterol Pill,RxNorm,Clinical Dose Group,C
45086770,saba,1154343,albuterol,1,ALBUTEROL POWDER,NDC,11-digit NDC,NULL
36215527,saba,1154343,albuterol,1,albuterol Rectal Product,RxNorm,Clinical Dose Group,C
40007004,saba,1154343,albuterol,1,albuterol Rectal Suppository,RxNorm,Clinical Drug Form,S
45393917,saba,1154343,albuterol,1,Albuterol Sulfate,GPI,GPI,NULL
4174960,saba,1154343,albuterol,1,Albuterol sulfate,SNOMED,Substance,NULL
19011931,saba,1154343,albuterol,1,albuterol sulfate,RxNorm,Precise Ingredient,NULL
45171902,saba,1154343,albuterol,1,ALBUTEROL SULFATE POWDER,NDC,11-digit NDC,NULL
45364205,saba,1154343,albuterol,1,ALBUTEROL SULFATE POWDER,NDC,11-digit NDC,NULL
