concept_id,steroid_class,ingredient_names,concept_name,count_record,count_patient,guess,ingredient_concept_ids,ingredient_count,standard_concept,invalid_reason,concept_code,vocabulary_id,concept_class_id
40173437,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[966548],RxNorm,Quant Clinical Drug
40173438,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler [Beclovent],20,20,inhaled,1115572,1,S,,[966550],RxNorm,Quant Branded Drug
40173439,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler [Vanceril],0,0,inhaled,1115572,1,S,,[966562],RxNorm,Quant Branded Drug
44814273,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,1646,309,inhaled,1115572,1,S,,[1490780],RxNorm,Quant Clinical Drug
40173442,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[966564],RxNorm,Quant Clinical Drug
40173443,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Inhaler [Vanceril],0,0,inhaled,1115572,1,S,,[966566],RxNorm,Quant Branded Drug
44814258,inhaled,beclomethasone,50 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,1637,302,inhaled,1115572,1,S,,[1490658],RxNorm,Quant Clinical Drug
44814259,inhaled,beclomethasone,50 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],101,22,inhaled,1115572,1,S,,[1490659],RxNorm,Quant Branded Drug
40173452,inhaled,beclomethasone,80 ACTUAT beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler,20,20,inhaled,1115572,1,S,,[966635],RxNorm,Quant Clinical Drug
36234671,inhaled,beclomethasone,Beclo-aqua 50 Inhalant Product,0,0,inhaled,1115572,1,C,,[1169356],RxNorm,Branded Dose Group
36234672,nasal,beclomethasone,Beclo-aqua 50 Nasal Product,0,0,nasal,1115572,1,C,,[1169357],RxNorm,Branded Dose Group
21602173,other,beclomethasone,beclometasone and antibiotics; topical,0,0,other,1115572,1,C,,[D07CC04],ATC,ATC 5th
21603284,inhaled,beclomethasone,beclometasone; inhalant,0,0,inhaled,1115572,1,C,,[R03BA01],ATC,ATC 5th
21605043,nasal,beclomethasone,beclometasone; nasal,0,0,nasal,1115572,1,C,,[R01AD01],ATC,ATC 5th
21600659,other,beclomethasone,beclometasone; rectal,0,0,other,1115572,1,C,,[A07EA07],ATC,ATC 5th
21602134,other,beclomethasone,beclometasone; topical,0,0,other,1115572,1,C,,[D07AC15],ATC,ATC 5th
1115572,inhaled,beclomethasone,beclomethasone,140140,11392,,1115572,1,S,,[1347],RxNorm,Ingredient
4023232,unclassified,beclomethasone,Beclomethasone,0,0,,1115572,1,S,,[116574000],SNOMED,Substance
4030383,unclassified,beclomethasone,Beclomethasone-containing product,0,0,,1115572,1,S,,[1389007],SNOMED,Pharma/Biol Product
36029114,unclassified,beclomethasone,Beclomethasone / Clioquinol,0,0,,1115572,1,S,,[1009060],RxNorm,Multiple Ingredients
40010335,other,beclomethasone,beclomethasone / clioquinol Topical Cream,0,0,other,1115572,1,S,,[379390],RxNorm,Clinical Drug Form
40010336,other,beclomethasone,beclomethasone / clioquinol Topical Ointment,0,0,other,1115572,1,S,,[376445],RxNorm,Clinical Drug Form
36212003,other,beclomethasone,beclomethasone / clioquinol Topical Product,0,0,other,1115572,1,C,,[1155692],RxNorm,Clinical Dose Group
1115647,unclassified,beclomethasone,beclomethasone 0.00025 MG/MG,0,0,,1115572,1,S,,[331154],RxNorm,Clinical Drug Comp
980900,other,beclomethasone,beclomethasone 0.00025 MG/MG / clioquinol 0.03 MG/MG Topical Ointment,0,0,other,1115572,1,S,,[247449],RxNorm,Clinical Drug
19086688,inhaled,beclomethasone,beclomethasone 0.05 MG/ACTUAT,0,0,,1115572,1,S,,[330936],RxNorm,Clinical Drug Comp
19120488,inhaled,beclomethasone,beclomethasone 0.05 MG/ACTUAT [Beclo-aqua 50],0,0,,1115572,1,S,,[573991],RxNorm,Branded Drug Comp
1115678,nasal,beclomethasone,beclomethasone 0.05 MG/ACTUAT Nasal Spray,20,20,nasal,1115572,1,S,,[562655],RxNorm,Clinical Drug
19054213,nasal,beclomethasone,beclomethasone 0.05 MG/ACTUAT Nasal Spray [Beclo-aqua 50],0,0,nasal,1115572,1,S,,[226440],RxNorm,Branded Drug
1115673,unclassified,beclomethasone,beclomethasone 0.25 MG/ML,0,0,,1115572,1,S,,[358485],RxNorm,Clinical Drug Comp
980899,other,beclomethasone,beclomethasone 0.25 MG/ML / clioquinol 30 MG/ML Topical Cream,0,0,other,1115572,1,S,,[247435],RxNorm,Clinical Drug
19060708,other,beclomethasone,beclomethasone 0.25 MG/ML Topical Lotion,0,0,other,1115572,1,S,,[247072],RxNorm,Clinical Drug
46274949,unclassified,beclomethasone,beclomethasone 17-monopropionate,0,0,,1115572,1,S,,[1546384],RxNorm,Precise Ingredient
40521535,unclassified,beclomethasone,Beclomethasone compounds,0,0,,1115572,1,S,U,[320538002],SNOMED,Substance
40164077,systemic,beclomethasone,beclomethasone Delayed Release Oral Tablet,0,0,systemic,1115572,1,S,,[858135],RxNorm,Clinical Drug Form
44971923,unclassified,beclomethasone,BECLOMETHASONE DIPRO POWDER,0,0,,1115572,1,S,,[62991102005],NDC,11-digit NDC
45142025,unclassified,beclomethasone,BECLOMETHASONE DIPRO POWDER,0,0,,1115572,1,S,,[62991102001],NDC,11-digit NDC
19011337,unclassified,beclomethasone,beclomethasone dipropionate,0,0,,1115572,1,S,,[1348],RxNorm,Precise Ingredient
4024514,unclassified,beclomethasone,Beclomethasone dipropionate,0,0,,1115572,1,S,,[116575004],SNOMED,Substance
45397064,unclassified,beclomethasone,Beclomethasone Dipropionate,,,,1115572,1,S,D,[4440001010],GPI,GPI
40173726,inhaled,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG,0,0,,1115572,1,S,,[966628],RxNorm,Clinical Drug Comp
40227678,inhaled,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG [Beconase],0,0,,1115572,1,S,,[1036892],RxNorm,Branded Drug Comp
40227679,inhaled,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG [Propaderm A],0,0,,1115572,1,S,,[1036806],RxNorm,Branded Drug Comp
40227680,inhaled,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG [Propaderm C],0,0,,1115572,1,S,,[1036816],RxNorm,Branded Drug Comp
40173727,inhaled,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG Topical Ointment,0,0,other,1115572,1,S,,[966629],RxNorm,Clinical Drug
19002275,other,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG Topical Ointment [Beconase],0,0,other,1115572,1,S,,[103413],RxNorm,Branded Drug
19002276,other,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG Topical Ointment [Propaderm A],0,0,other,1115572,1,S,,[103414],RxNorm,Branded Drug
19002278,other,beclomethasone,beclomethasone dipropionate 0.00025 MG/MG Topical Ointment [Propaderm C],0,0,other,1115572,1,S,,[103416],RxNorm,Branded Drug
40173728,inhaled,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT,0,0,,1115572,1,S,,[966535],RxNorm,Clinical Drug Comp
45892718,inhaled,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT [Qnasl],0,0,,1115572,1,S,,[1598636],RxNorm,Branded Drug Comp
40173729,inhaled,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT [Qvar],0,0,,1115572,1,S,,[966537],RxNorm,Branded Drug Comp
42902961,inhaled,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,15572,7931,inhaled,1115572,1,S,,[1360074],RxNorm,Clinical Drug
42903181,inhaled,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],4439,1547,inhaled,1115572,1,S,,[1360294],RxNorm,Branded Drug
36250134,nasal,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Nasal Spray,621,283,nasal,1115572,1,S,,[1797900],RxNorm,Clinical Drug
36250136,nasal,beclomethasone,beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Nasal Spray [Qnasl],865,203,nasal,1115572,1,S,,[1797902],RxNorm,Branded Drug
40173730,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT,0,0,,1115572,1,S,,[966544],RxNorm,Clinical Drug Comp
40173731,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT [Beclovent],0,0,,1115572,1,S,,[966549],RxNorm,Branded Drug Comp
40173732,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT [Beconase],0,0,,1115572,1,S,,[966546],RxNorm,Branded Drug Comp
40173733,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT [Vancenase],0,0,,1115572,1,S,,[966596],RxNorm,Branded Drug Comp
40173734,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT [Vanceril],0,0,,1115572,1,S,,[966560],RxNorm,Branded Drug Comp
42902902,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[1360015],RxNorm,Clinical Drug
42902388,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler [Beclovent],0,0,inhaled,1115572,1,S,,[1359501],RxNorm,Branded Drug
42902704,inhaled,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler [Vanceril],0,0,inhaled,1115572,1,S,,[1359817],RxNorm,Branded Drug
36250144,nasal,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Nasal Spray,3013,1180,nasal,1115572,1,S,,[1797910],RxNorm,Clinical Drug
36250151,nasal,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Nasal Spray [Beconase],2235,399,nasal,1115572,1,S,,[1797917],RxNorm,Branded Drug
36250146,nasal,beclomethasone,beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Nasal Spray [Vancenase],2914,354,nasal,1115572,1,S,,[1797912],RxNorm,Branded Drug
40173735,inhaled,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT,0,0,,1115572,1,S,,[966539],RxNorm,Clinical Drug Comp
42706708,inhaled,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT [Qnasl],0,0,,1115572,1,S,,[1248842],RxNorm,Branded Drug Comp
40173736,inhaled,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT [Qvar],0,0,,1115572,1,S,,[966541],RxNorm,Branded Drug Comp
42902871,inhaled,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,23762,10828,inhaled,1115572,1,S,,[1359984],RxNorm,Clinical Drug
42903290,inhaled,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],5496,1680,inhaled,1115572,1,S,,[1360403],RxNorm,Branded Drug
36250154,nasal,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Nasal Spray,8504,2677,nasal,1115572,1,S,,[1797920],RxNorm,Clinical Drug
36250155,nasal,beclomethasone,beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Nasal Spray [Qnasl],8247,1412,nasal,1115572,1,S,,[1797921],RxNorm,Branded Drug
40173737,inhaled,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT,0,0,,1115572,1,S,,[966563],RxNorm,Clinical Drug Comp
40173738,inhaled,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT [Vancenase],0,0,,1115572,1,S,,[966600],RxNorm,Branded Drug Comp
40173739,inhaled,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT [Vanceril],0,0,,1115572,1,S,,[966565],RxNorm,Branded Drug Comp
42902911,inhaled,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[1360024],RxNorm,Clinical Drug
42902879,inhaled,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Inhaler [Vanceril],0,0,inhaled,1115572,1,S,,[1359992],RxNorm,Branded Drug
36250160,nasal,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Nasal Spray,20,20,nasal,1115572,1,S,,[1797926],RxNorm,Clinical Drug
36250161,nasal,beclomethasone,beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Nasal Spray [Vancenase],0,0,nasal,1115572,1,S,,[1797927],RxNorm,Branded Drug
40173740,unclassified,beclomethasone,beclomethasone dipropionate 0.25 MG/ML,0,0,,1115572,1,S,,[966764],RxNorm,Clinical Drug Comp
40227681,inhaled,beclomethasone,beclomethasone dipropionate 0.25 MG/ML [Beconase],0,0,,1115572,1,S,,[1036897],RxNorm,Branded Drug Comp
40227682,inhaled,beclomethasone,beclomethasone dipropionate 0.25 MG/ML [Propaderm C],0,0,,1115572,1,S,,[1036891],RxNorm,Branded Drug Comp
40173741,other,beclomethasone,beclomethasone dipropionate 0.25 MG/ML Topical Cream,0,0,other,1115572,1,S,,[966765],RxNorm,Clinical Drug
19009950,other,beclomethasone,beclomethasone dipropionate 0.25 MG/ML Topical Cream [Beconase],0,0,other,1115572,1,S,,[108092],RxNorm,Branded Drug
19002277,other,beclomethasone,beclomethasone dipropionate 0.25 MG/ML Topical Cream [Propaderm C],0,0,other,1115572,1,S,,[103415],RxNorm,Branded Drug
40164074,unclassified,beclomethasone,beclomethasone dipropionate 1 MG,0,0,,1115572,1,S,,[858134],RxNorm,Clinical Drug Comp
40164075,systemic,beclomethasone,beclomethasone dipropionate 1 MG Delayed Release Oral Tablet,0,0,systemic,1115572,1,S,,[858136],RxNorm,Clinical Drug
40164076,systemic,beclomethasone,beclomethasone dipropionate 1 MG Oral Tablet,20,20,systemic,1115572,1,S,,[858138],RxNorm,Clinical Drug
19065776,unclassified,beclomethasone,beclomethasone dipropionate monohydrate,0,0,,1115572,1,S,,[253156],RxNorm,Precise Ingredient
4144165,unclassified,beclomethasone,Beclomethasone dipropionate monohydrate,0,0,,1115572,1,S,,[426017007],SNOMED,Substance
40562095,nasal,beclomethasone,Beclomethasone dipropionate nasal preparation,0,0,nasal,1115572,1,S,U,[387177004],SNOMED,Substance
36212004,inhaled,beclomethasone,beclomethasone Inhalant Product,0,0,inhaled,1115572,1,C,,[1155693],RxNorm,Clinical Dose Group
40142784,inhaled,beclomethasone,beclomethasone Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[746190],RxNorm,Clinical Drug Form
40142785,inhaled,beclomethasone,beclomethasone Metered Dose Inhaler [Beclovent],0,0,inhaled,1115572,1,S,,[746192],RxNorm,Branded Drug Form
40151749,inhaled,beclomethasone,beclomethasone Metered Dose Inhaler [Qvar],0,0,inhaled,1115572,1,S,,[801854],RxNorm,Branded Drug Form
40173742,inhaled,beclomethasone,beclomethasone Metered Dose Inhaler [Vanceril],0,0,inhaled,1115572,1,S,,[966561],RxNorm,Branded Drug Form
36250133,nasal,beclomethasone,beclomethasone Metered Dose Nasal Spray,0,0,nasal,1115572,1,S,,[1797899],RxNorm,Clinical Drug Form
36250150,nasal,beclomethasone,beclomethasone Metered Dose Nasal Spray [Beconase],0,0,nasal,1115572,1,S,,[1797916],RxNorm,Branded Drug Form
36250135,nasal,beclomethasone,beclomethasone Metered Dose Nasal Spray [Qnasl],0,0,nasal,1115572,1,S,,[1797901],RxNorm,Branded Drug Form
36250145,nasal,beclomethasone,beclomethasone Metered Dose Nasal Spray [Vancenase],0,0,nasal,1115572,1,S,,[1797911],RxNorm,Branded Drug Form
36212005,nasal,beclomethasone,beclomethasone Nasal Product,0,0,nasal,1115572,1,C,,[1155694],RxNorm,Clinical Dose Group
40010699,nasal,beclomethasone,beclomethasone Nasal Spray,0,0,nasal,1115572,1,S,,[370992],RxNorm,Clinical Drug Form
40010331,nasal,beclomethasone,beclomethasone Nasal Spray [Beclo-aqua 50],0,0,nasal,1115572,1,S,,[381204],RxNorm,Branded Drug Form
36212006,systemic,beclomethasone,beclomethasone Oral Product,0,0,systemic,1115572,1,C,,[1155695],RxNorm,Clinical Dose Group
40164080,systemic,beclomethasone,beclomethasone Oral Tablet,0,0,systemic,1115572,1,S,,[858137],RxNorm,Clinical Drug Form
36212007,systemic,beclomethasone,beclomethasone Pill,0,0,systemic,1115572,1,C,,[1155696],RxNorm,Clinical Dose Group
40010706,other,beclomethasone,beclomethasone Topical Cream,0,0,other,1115572,1,S,,[379378],RxNorm,Clinical Drug Form
40010708,other,beclomethasone,beclomethasone Topical Cream [Beconase],0,0,other,1115572,1,S,,[381201],RxNorm,Branded Drug Form
40010707,other,beclomethasone,beclomethasone Topical Cream [Propaderm C],0,0,other,1115572,1,S,,[385350],RxNorm,Branded Drug Form
40010709,other,beclomethasone,beclomethasone Topical Lotion,0,0,other,1115572,1,S,,[379388],RxNorm,Clinical Drug Form
40010710,other,beclomethasone,beclomethasone Topical Ointment,0,0,other,1115572,1,S,,[376446],RxNorm,Clinical Drug Form
40010713,other,beclomethasone,beclomethasone Topical Ointment [Beconase],0,0,other,1115572,1,S,,[384470],RxNorm,Branded Drug Form
40010711,other,beclomethasone,beclomethasone Topical Ointment [Propaderm A],0,0,other,1115572,1,S,,[385348],RxNorm,Branded Drug Form
40010712,other,beclomethasone,beclomethasone Topical Ointment [Propaderm C],0,0,other,1115572,1,S,,[385351],RxNorm,Branded Drug Form
36212008,other,beclomethasone,beclomethasone Topical Product,0,0,other,1115572,1,C,,[1155697],RxNorm,Clinical Dose Group
36234673,inhaled,beclomethasone,Beclovent Inhalant Product,0,0,inhaled,1115572,1,C,,[1169358],RxNorm,Branded Dose Group
36234674,inhaled,beclomethasone,Beconase Inhalant Product,0,0,inhaled,1115572,1,C,,[1169359],RxNorm,Branded Dose Group
36249533,nasal,beclomethasone,Beconase Nasal Product,0,0,nasal,1115572,1,C,,[1801243],RxNorm,Branded Dose Group
36234675,other,beclomethasone,Beconase Topical Product,0,0,other,1115572,1,C,,[1169361],RxNorm,Branded Dose Group
963844,inhaled,beclomethasone,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,22602,7751,inhaled,1115572,1,S,,[1998773],RxNorm,Clinical Drug
963845,inhaled,beclomethasone,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],30661,5830,inhaled,1115572,1,S,,[1998774],RxNorm,Branded Drug
963842,inhaled,beclomethasone,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,27583,7773,inhaled,1115572,1,S,,[1998771],RxNorm,Clinical Drug
963843,inhaled,beclomethasone,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],47179,7322,inhaled,1115572,1,S,,[1998772],RxNorm,Branded Drug
43534839,inhaled,beclomethasone,formoterol and beclometasone; inhalant,0,0,inhaled,1115572,1,C,,[R03AK08],ATC,ATC 5th
1502099,inhaled,beclomethasone,"formoterol, glycopyrronium bromide and beclometasone; inhalant",0,0,inhaled,1115572,1,C,,[R03AL09],ATC,ATC 5th
36231341,other,beclomethasone,Propaderm A Topical Product,0,0,other,1115572,1,C,,[1181322],RxNorm,Branded Dose Group
36231342,other,beclomethasone,Propaderm C Topical Product,0,0,other,1115572,1,C,,[1181323],RxNorm,Branded Dose Group
36243744,inhaled,beclomethasone,Qnasl Inhalant Product,0,0,inhaled,1115572,1,C,,[1248844],RxNorm,Branded Dose Group
36249537,nasal,beclomethasone,Qnasl Nasal Product,0,0,nasal,1115572,1,C,,[1801247],RxNorm,Branded Dose Group
36228505,inhaled,beclomethasone,Qvar Inhalant Product,0,0,inhaled,1115572,1,C,,[1177118],RxNorm,Branded Dose Group
1123813,inhaled,beclomethasone,salbutamol and beclometasone; inhalant,0,0,inhaled,1115572,1,C,,[R03AK13],ATC,ATC 5th
36239324,inhaled,beclomethasone,Vancenase Inhalant Product,0,0,inhaled,1115572,1,C,,[1187382],RxNorm,Branded Dose Group
36249541,nasal,beclomethasone,Vancenase Nasal Product,0,0,nasal,1115572,1,C,,[1801251],RxNorm,Branded Dose Group
36239325,inhaled,beclomethasone,Vanceril Inhalant Product,0,0,inhaled,1115572,1,C,,[1187385],RxNorm,Branded Dose Group
42708504,inhaled,budesonide,120 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler,166403,31171,inhaled,939259,1,S,,[1246288],RxNorm,Quant Clinical Drug
42708505,inhaled,budesonide,120 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort],92805,9568,inhaled,939259,1,S,,[1246290],RxNorm,Quant Branded Drug
42708508,inhaled,budesonide,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler,478952,62069,inhaled,939259,1,S,,[1246304],RxNorm,Quant Clinical Drug
42708509,inhaled,budesonide,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort],313681,22886,inhaled,939259,1,S,,[1246306],RxNorm,Quant Branded Drug
37003577,inhaled,budesonide,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0048 MG/ACTUAT / glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler,342,202,inhaled,939259,1,S,,[2387329],RxNorm,Quant Clinical Drug
37003578,inhaled,budesonide,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0048 MG/ACTUAT / glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler [Breztri],1903,357,inhaled,939259,1,S,,[2387331],RxNorm,Quant Branded Drug
40173399,inhaled,budesonide,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler,17152,5085,inhaled,939259,1,S,,[966522],RxNorm,Quant Clinical Drug
40173400,inhaled,budesonide,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort],27501,4337,inhaled,939259,1,S,,[966524],RxNorm,Quant Branded Drug
45892462,other,budesonide,14 ACTUAT budesonide 2 MG/ACTUAT Rectal Foam,3318,1024,other,939259,1,S,,[1596779],RxNorm,Quant Clinical Drug
45892461,other,budesonide,14 ACTUAT budesonide 2 MG/ACTUAT Rectal Foam [Uceris],2998,937,other,939259,1,S,,[1596778],RxNorm,Quant Branded Drug
37499789,systemic,budesonide,24 HR budesonide 6 MG Extended Release Oral Capsule,35,25,systemic,939259,1,S,,[2269305],RxNorm,Quant Clinical Drug
37499791,systemic,budesonide,24 HR budesonide 6 MG Extended Release Oral Capsule [Ortikos],20,20,systemic,939259,1,S,,[2273107],RxNorm,Quant Branded Drug
37499790,systemic,budesonide,24 HR budesonide 9 MG Extended Release Oral Capsule,128,83,systemic,939259,1,S,,[2269307],RxNorm,Quant Clinical Drug
37499792,systemic,budesonide,24 HR budesonide 9 MG Extended Release Oral Capsule [Ortikos],44,20,systemic,939259,1,S,,[2273110],RxNorm,Quant Branded Drug
43012434,systemic,budesonide,24 HR budesonide 9 MG Extended Release Oral Tablet,24077,4026,systemic,939259,1,S,,[1366550],RxNorm,Quant Clinical Drug
43012435,systemic,budesonide,24 HR budesonide 9 MG Extended Release Oral Tablet [Uceris],5679,2062,systemic,939259,1,S,,[1366556],RxNorm,Quant Branded Drug
37003575,inhaled,budesonide,28 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0048 MG/ACTUAT / glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler,635,285,inhaled,939259,1,S,,[2387326],RxNorm,Quant Clinical Drug
37003576,inhaled,budesonide,28 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0048 MG/ACTUAT / glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler [Breztri],833,207,inhaled,939259,1,S,,[2387328],RxNorm,Quant Branded Drug
42708514,inhaled,budesonide,60 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler,62917,8775,inhaled,939259,1,S,,[1246314],RxNorm,Quant Clinical Drug
42708515,inhaled,budesonide,60 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort],71213,9493,inhaled,939259,1,S,,[1246315],RxNorm,Quant Branded Drug
