Concept Id,Concept Name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date
45566484,Encounter for respirator [ventilator] dependence during power failure,Condition,ICD10CM,5-char billing code,null,Z99.12,1/1/1970,12/31/2099
40481547,Dependence on ventilator,Condition,SNOMED,Clinical Finding,S,444932008,7/31/2010,12/31/2099
4031379,Artificial ventilation finding,Condition,SNOMED,Clinical Finding,S,129896002,1/31/2002,12/31/2099
45552902,Ventilator associated pneumonia,Condition,ICD10CM,6-char billing code,null,J95.851,1/1/1970,12/31/2099
45567282,Other complication of respirator [ventilator],Condition,ICD10CM,6-char billing code,null,J95.859,1/1/1970,12/31/2099
45542507,Dependence on respirator [ventilator] status,Condition,ICD10CM,5-char billing code,null,Z99.11,1/1/1970,12/31/2099
35208098,Complication of respirator [ventilator],Condition,ICD10CM,5-char nonbill code,null,J95.85,1/1/2007,12/31/2099
45596288,Mechanical complication of respirator,Condition,ICD10CM,6-char billing code,null,J95.850,1/1/1970,12/31/2099
4325601,Complication of ventilation therapy,Condition,SNOMED,Clinical Finding,S,71695001,1/31/2002,12/31/2099
46273390,Dependence on respirator,Condition,SNOMED,Clinical Finding,S,7.9031E+13,7/31/2015,12/31/2099
1576312,Dependence on respirator,Condition,ICD10CM,4-char nonbill code,null,Z99.1,1/1/2012,12/31/2099
45552148,Dependence on respirator,Condition,ICD10,ICD10 code,null,Z99.1,5/1/1990,12/31/2099
