Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary
45675422,116464ce-cfd8-4b9f-8b5a-3a114b6ff2b1,DULERA - mometasone furoate and formoterol fumarate dihydrate aerosol,Prescription Drug,Classification,0,"18,892,039",Drug,SPL
1763933,ab6cd38a-f25c-41ba-9105-e4f21619f911,QUINIXIL - mometasone furoate and dimethicone kit,Prescription Drug,Classification,0,"18,617,985",Drug,SPL
799003,e9f35bc7-6792-47fd-a706-2b3b19c05686,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
42804115,6377dbb8-adad-79c2-e053-2991aa0a4277,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
36151777,11480234-ce3a-4e09-b57b-9a16c36fff32,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
42806101,16e134c7-39fb-4d16-9c24-a6df438967bf,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45669513,031283ed-988b-4698-8a2e-00f3d41c0f71,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
44360376,5528b0c7-b511-3214-e054-00144ff88e88,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45894708,2bf06b19-4ed7-41a3-b6fc-29713c41965c,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45684134,a12fef6b-681e-4f80-8bcd-3f01733f1a67,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
44352916,961303f6-d6fa-4d85-99b8-d155dff9f184,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45789060,691bf68b-9fc8-41d8-b0b7-a41826a718b3,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
581769,686a9abf-1ad7-4efe-be23-d2416c63efe6,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
46300730,ce61920d-65df-4423-925d-091e624ea32e,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45656187,9253f6a9-2cf7-412d-b7a5-d9292d7b97fd,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
36696392,9e26d245-e65d-4360-90cb-41ee39aea6d9,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45657264,c338621a-63a7-9a10-b77d-0129bb7c021f,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
42801998,c9d7c8b2-de3c-44b1-b22d-1b0c10c46fe9,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45664129,09182072-d05e-4cd4-93c0-d1c0abd6069d,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45648697,4063fa4c-879f-41a0-a03d-bf22ddda958c,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45697894,1d856c43-cf09-4746-99b5-af75fba6d229,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
798996,015a259c-a0cb-4440-b8f2-0a31aa76fb88,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
1766502,7ba94b23-a080-1153-e053-2991aa0a74d7,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45624915,f69603aa-a5a6-b8f3-c9ed-2d0abc9f4d92,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45695954,c337bce8-27e9-48fd-85fa-381d0242a36a,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
46240518,47a60763-671e-413b-b962-f7f11ba2f4d7,MOMETASONE FUROATE - mometasone furoate cream,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45637297,2f757638-abbf-4319-8ad3-df77f4a3f50f,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45795484,a7e3350d-983e-4d13-9c85-223cef3096bb,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45796096,adf35e2a-0e7d-41cf-b545-0527687bf061,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
46242286,91dfbe51-ca93-48c6-b84f-c2220cc7d09e,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45795069,a4054a20-9abb-4477-a4ba-f31066848641,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45783144,30911e24-bba3-b7f8-dd0f-e9e5a2af1aea,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45623474,b3cfb8df-de41-468b-a16e-75dd33d6001d,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45800796,dc706733-71ff-40b2-95e0-ae3979a0edbf,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45622467,85023684-7a16-4f9c-8fca-fe08e0618814,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45785786,49fec8d8-3e75-d3a9-0845-f404406c8091,mometasone furoate 1mg/g TOPICAL CREAM,Prescription Drug,Classification,0,"18,555,452",Drug,SPL
45625433,0edf333a-776d-45b8-b567-acc863f8599b,ELOCON - mometasone furoate cream,Prescription Drug,Classification,0,"18,553,897",Drug,SPL
46295489,fc88c0f0-c9b5-492d-89ff-ea6af4dfd19b,ELOCON - mometasone furoate cream,Prescription Drug,Classification,0,"18,553,897",Drug,SPL
45626607,43f51e9d-8f80-4aba-9b2f-de36d302f8d6,ELOCON - mometasone furoate cream,Prescription Drug,Classification,0,"18,553,897",Drug,SPL
45646658,e3320c0b-0507-4e09-a5c5-631a64e4b90a,mometasone furoate 1mg/g TOPICAL CREAM [elocon],Prescription Drug,Classification,0,"18,553,897",Drug,SPL
45671576,62605cd0-212e-401b-bbe9-18de6886d486,mometasone furoate 1mg/g TOPICAL CREAM [elocon],Prescription Drug,Classification,0,"18,553,897",Drug,SPL
46244198,dffe238a-7628-420a-a99c-da4b69553ebb,mometasone furoate 1mg/g TOPICAL CREAM [elocon],Prescription Drug,Classification,0,"18,553,897",Drug,SPL
45788947,67e46388-7259-43f8-9485-b7401b933e16,mometasone furoate 1mg/g TOPICAL CREAM [elocon],Prescription Drug,Classification,0,"18,553,897",Drug,SPL
40132039,619083,mometasone Topical Cream,Clinical Drug Form,Standard,"8,773","18,396,628",Drug,RxNorm
46243047,b018246e-1802-43fa-a3f7-08d87371d561,mometasone furoate and formoterol fumarate dihydrate 5ug/1 / 100ug/1 / 200ug/1 RESPIRATORY (INHALATION) AEROSOL [dulera],Prescription Drug,Classification,0,"18,046,618",Drug,SPL
45781558,21af5460-0aac-4b4d-8d1f-0ebca8e101c9,mometasone furoate and formoterol fumarate dihydrate 5ug/1 / 100ug/1 / 200ug/1 RESPIRATORY (INHALATION) AEROSOL [dulera],Prescription Drug,Classification,0,"18,046,618",Drug,SPL
45894813,31b86aab-7358-48a8-a5f1-2a8a70a8ad14,mometasone furoate and formoterol fumarate dihydrate 5ug/1 / 100ug/1 / 200ug/1 RESPIRATORY (INHALATION) AEROSOL [dulera],Prescription Drug,Classification,0,"18,046,618",Drug,SPL
36220577,1165644,formoterol / mometasone Inhalant Product,Clinical Dose Group,Classification,0,"17,605,642",Drug,RxNorm
40223712,998040,formoterol / mometasone Metered Dose Inhaler,Clinical Drug Form,Standard,"45,779","17,605,642",Drug,RxNorm
40223714,998049,formoterol / mometasone Metered Dose Inhaler [Dulera],Branded Drug Form,Standard,"1,772","17,553,902",Drug,RxNorm
905236,311753,mometasone furoate 1 MG/ML Topical Cream,Clinical Drug,Standard,"17,242,600","17,430,031",Drug,RxNorm
40143326,746792,mometasone Dry Powder Inhaler,Clinical Drug Form,Standard,"1,278","13,341,180",Drug,RxNorm
45653594,1ec2b62b-6bf5-4d70-8824-9d90e2d87a68,ASMANEX - mometasone furoate inhalant,Prescription Drug,Classification,0,"12,976,460",Drug,SPL
45788052,5ff4ad68-7890-49f2-837b-ac9a2d76ce4d,mometasone furoate 110ug/1 / 220ug/1 RESPIRATORY (INHALATION) INHALANT [asmanex],Prescription Drug,Classification,0,"12,976,460",Drug,SPL
40143327,746795,mometasone Dry Powder Inhaler [Asmanex],Branded Drug Form,Standard,"5,985","11,859,296",Drug,RxNorm
905264,617269,mometasone furoate 0.2 MG/ACTUAT,Clinical Drug Comp,Standard,0,"11,373,030",Drug,RxNorm
35603735,1745282,mometasone furoate 0.22 MG/ACTUAT,Clinical Drug Comp,Standard,0,"11,372,379",Drug,RxNorm
42902386,1359499,mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,Clinical Drug,Standard,0,"11,367,228",Drug,RxNorm
21603290,R03BA07,mometasone; inhalant,ATC 5th,Classification,0,"11,157,492",Drug,ATC
42902950,1360063,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler,Clinical Drug,Standard,0,"11,019,024",Drug,RxNorm
42706351,1246312,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT [Dulera],Branded Drug Comp,Standard,100,"11,016,226",Drug,RxNorm
42902603,1359716,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera],Branded Drug,Standard,"1,307","11,016,126",Drug,RxNorm
45634763,ba17a773-7f7a-4cc5-9297-359decedfed0,ASMANEX - mometasone furoate inhalant,Prescription Drug,Classification,0,"11,012,370",Drug,SPL
45703415,19adf6fb-8fe1-432e-943f-72fa9524cc20,mometasone furoate 220ug/1 RESPIRATORY (INHALATION) INHALANT [asmanex],Prescription Drug,Classification,0,"11,012,370",Drug,SPL
42708512,1246311,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler,Quant Clinical Drug,Standard,"2,798","10,510,185",Drug,RxNorm
42708513,1246313,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera],Quant Branded Drug,Standard,"10,507,387","10,507,387",Drug,RxNorm
44974977,85461001,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera],11-digit NDC,Non-Standard,"10,498,020","10,498,020",Drug,NDC
35603736,1745284,mometasone furoate 0.22 MG/ACTUAT [Asmanex],Branded Drug Comp,Standard,0,"9,888,559",Drug,RxNorm
42902498,1359611,mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Branded Drug,Standard,"4,934","9,888,459",Drug,RxNorm
21602132,D07AC13,mometasone; topical,ATC 5th,Classification,"1,097","7,896,098",Drug,ATC
36150853,6e1d81d2-9e07-40d4-8f52-859f26c3776b,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
36150689,a912221d-aa22-428e-ab4d-f2ddaa78f458,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
36158552,18ef90de-f74d-492f-a125-49da1875bd29,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45636085,f5b30e5e-b067-e28c-b7c5-aa58f4c57f09,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
42805964,9fe65193-b4d8-480b-89b3-178cd1b20713,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45647977,209c15dd-72b2-4f00-a2f0-011219f7eaea,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45685311,d986282f-da3c-43b6-a3f6-40886d4a1915,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45673750,c5769a09-3416-4b5e-a5a4-1c0fa36c402b,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45700036,7fa284d3-6a42-4ada-a81b-194a4508bc1b,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
44359731,05ae3b84-d187-4bf9-b656-61c88874ecbd,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
36155028,6d872d45-de90-74a4-e053-2a91aa0aaa80,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45622250,79957ee5-5d59-45a9-8ff8-10cc75848d2a,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
44360826,f6897296-8235-4026-9f76-f7a31cde5936,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45683348,7d806fe7-e2f1-46a9-823e-ae3af7d42a78,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45628172,8c0c49c9-aa28-4587-869e-b40368152540,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45646486,db303d11-eba4-49f7-bf9c-7d944ddb43e7,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45690873,d8cf50d4-0448-4527-a498-cddd511213f0,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45698216,2b9d91e1-6bbc-49f2-8913-998aa0f1989c,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
46321546,cdc3f40b-b089-4b02-8a9b-5a21efe61e71,MOMETASONE FUROATE - mometasone furoate ointment,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45705102,63f7acdb-be01-46c6-b799-66ae97cab15f,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45688267,603d0174-6801-4fa0-bca9-23cd3aa86dfe,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45781920,250ca78a-7cff-4e25-bc27-84a6d3496e94,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45796906,b5c899d6-70fa-4609-84ca-0ec2b604aef5,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45627351,66802b4e-32f9-42a2-bb4a-b6aa7734b1e3,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45800669,db1bb710-f95c-739f-5a4b-a9d7ad6bc573,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45791966,84e2046f-b47c-a7de-8505-39e1a9d3388a,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45638747,7373b886-e647-4eeb-bd08-b781c1ba2e4e,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45638839,780b8c67-3d6c-42ea-b30c-0d27c4952e51,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45692658,2b22b19f-dfa5-4b3b-a9c0-05a6d4f573e6,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45786687,52821a9f-545c-4877-b05c-3f7c76e1cad9,mometasone furoate 1mg/g TOPICAL OINTMENT,Prescription Drug,Classification,0,"7,847,293",Drug,SPL
45684349,aa905762-80be-45be-89d5-b32564e82f92,ELOCON - mometasone furoate ointment,Prescription Drug,Classification,0,"7,793,150",Drug,SPL
45659767,3bc023ff-9289-4c7a-8f4c-f81cc7ea6df1,mometasone furoate 1mg/g TOPICAL OINTMENT [elocon],Prescription Drug,Classification,0,"7,793,150",Drug,SPL
905238,336758,mometasone furoate 0.001 MG/MG,Clinical Drug Comp,Standard,0,"7,547,418",Drug,RxNorm
19129672,790277,mometasone furoate 0.1 MG/ACTUAT,Clinical Drug Comp,Standard,0,"7,106,719",Drug,RxNorm
40132043,619042,mometasone Topical Ointment,Clinical Drug Form,Standard,0,"6,873,390",Drug,RxNorm
19012749,151029,mometasone furoate 0.001 MG/MG Topical Ointment,Clinical Drug,Standard,"6,177,512","6,730,645",Drug,RxNorm
42903122,1360235,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,Clinical Drug,Standard,122,"6,539,067",Drug,RxNorm
42902501,1359614,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera],Branded Drug,Standard,"1,498","6,536,004",Drug,RxNorm
42706350,1246309,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT [Dulera],Branded Drug Comp,Standard,0,"6,536,004",Drug,RxNorm
42708510,1246308,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,Quant Clinical Drug,Standard,"2,680","6,193,719",Drug,RxNorm
42708511,1246310,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera],Quant Branded Drug,Standard,"6,191,039","6,191,039",Drug,RxNorm
45145200,85720601,120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera],11-digit NDC,Non-Standard,"6,183,572","6,183,572",Drug,NDC
40066277,484332,mometasone Nasal Spray,Clinical Drug Form,Standard,"251,540","5,686,295",Drug,RxNorm
905294,746814,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,Quant Clinical Drug,Standard,"1,309","5,556,277",Drug,RxNorm
905295,746815,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Quant Branded Drug,Standard,"5,553,337","5,554,968",Drug,RxNorm
44872849,85134102,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],11-digit NDC,Non-Standard,"5,542,918","5,542,918",Drug,NDC
45265094,85119701,120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Nasal Inhaler [Nasonex],11-digit NDC,Non-Standard,"4,539,456","4,539,456",Drug,NDC
42480110,OMOP416981,Mometasone 0.05 MG/ACTUAT Nasal Spray,Clinical Drug,Standard,"2,592,234","4,361,415",Drug,RxNorm Extension
21605051,R01AD09,mometasone; nasal,ATC 5th,Classification,0,"4,361,415",Drug,ATC
905292,746812,30 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,Quant Clinical Drug,Standard,"1,476,934","4,134,658",Drug,RxNorm
45633979,96eafc06-0354-49ca-a684-a77bb2afc8f5,MOMETASONE FUROATE - mometasone furoate lotion,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45620272,1D7E21F7-00C1-4737-B663-C240BADCC206,MOMETASONE FUROATE - mometasone furoate lotion,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45634818,bc4a1807-d84c-44a1-b4ed-6f2d59607d77,MOMETASONE FUROATE - mometasone furoate lotion,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45677363,69ac2fd1-7a42-4a90-9b56-77b41f165427,MOMETASONE FUROATE - mometasone furoate solution,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45635979,f0e34967-88f3-4956-b1f5-a0dff41942e9,MOMETASONE FUROATE - mometasone furoate solution,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45626899,5128842b-99e7-4517-b595-2f3b9cdce086,MOMETASONE FUROATE - mometasone furoate solution,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45677539,7296b4a2-f180-4887-a8e0-029f81aec566,MOMETASONE FUROATE - mometasone furoate solution,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45643682,5839e534-ab67-4303-a20f-2861030b5170,MOMETASONE FUROATE - mometasone furoate solution,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45673931,ce3b155b-2e84-86cc-91db-0c86bc805ab6,MOMETASONE FUROATE - mometasone furoate solution,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45780576,1825edfc-c780-47fe-8569-6ca27776b283,mometasone furoate 1mg/g TOPICAL LOTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45803740,f9d37016-5714-4e6d-a834-8e932b486427,mometasone furoate 1mg/mL TOPICAL LOTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45652973,02247f29-7afe-46dd-a5f6-ef8f8eeec7a3,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
46239388,1a29498a-2343-4354-8cf1-e8c59bdc0a5d,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45641842,01f52d0c-5b5c-4d6e-9ead-f62addf96719,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45686434,0c4c1978-0cc1-4b78-902d-18a9cb3bd545,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45784467,3dc60051-b720-ed6f-823c-69f0b35cd3a0,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
46238248,02fa9bba-8773-4b65-a467-e66200091396,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
46240375,42368b48-0811-468b-a9b6-6a9cafb39e28,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45801320,e1c9385c-0117-c179-37c4-6a8bb1b4ce80,mometasone furoate 1mg/mL TOPICAL SOLUTION,Prescription Drug,Classification,0,"3,806,311",Drug,SPL
45666118,64bd8ed7-1cc2-4cdd-94bc-9f646a88a6f0,ELOCON - mometasone furoate lotion,Prescription Drug,Classification,0,"3,798,153",Drug,SPL
45682151,44d631b1-6e50-4dcc-9028-18761ef21d1b,mometasone furoate 1mg/mL TOPICAL LOTION [elocon],Prescription Drug,Classification,0,"3,798,153",Drug,SPL
44441766,60505083001,mometasone furoate 0.05 MG/ACTUAT Metered Dose Nasal Spray,11-digit NDC,Non-Standard,"3,318,298","3,318,298",Drug,NDC
44854654,68462019255,mometasone furoate 1 MG/ML Topical Cream,11-digit NDC,Non-Standard,"2,959,719","2,959,719",Drug,NDC
40132041,619119,mometasone Topical Lotion,Clinical Drug Form,Standard,0,"2,693,074",Drug,RxNorm
19012750,151030,mometasone furoate 1 MG/ML Topical Lotion,Clinical Drug,Standard,"2,483,931","2,689,663",Drug,RxNorm
905293,746813,30 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Quant Branded Drug,Standard,"2,655,190","2,657,724",Drug,RxNorm
21066719,OMOP277756,Mometasone Nasal Spray [Nasonex],Branded Drug Form,Standard,"8,421","2,656,714",Drug,RxNorm Extension
